Account Number,INVOICE_ID,INVOICE_AMOUNT,INVOICE_DATE,INVOICE_CURRENCY_CODE,Source Entity,INVOICE_TYPE,Source Description,SUPPLIER_NUMBER,SUPPLIER_NAME,LINE_NUMBER,LINE_TYPE,LINE_AMOUNT,Product Line Description,CHARGE_ACCOUNT
1334579,105040,598.06,2026-05-12,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,598.06,Etairos_Line_1,1270.1207.000.000.115101.0000.000
1334880,105041,5177.24,2026-05-13,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,5177.24,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1334888,105042,14140.17,2026-05-13,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,14140.17,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1334963,105043,508.67,2026-05-13,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,508.67,Etairos_Line_1,1270.1207.000.000.115101.0000.000
1335082,105044,479.58,2026-05-14,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,479.58,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1335247,104140,204.2,2026-05-14,USD,Conversion,STANDARD,CGW-01090,102405,AAON INC,1,ITEM,204.2,Etairos_Line_1,1270.1207.100.000.511000.0000.000
1335516,105045,3918.38,2026-05-15,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,3918.38,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1335831,105046,538.04,2026-05-18,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,538.04,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1335979,105047,250.43,2026-05-19,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,250.43,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1335997,105048,56.25,2026-05-19,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,56.25,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1336048,105049,2321.25,2026-05-19,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,2321.25,Etairos_Line_1,1270.1207.000.000.115101.0000.000
1336081,104141,32.68,2026-05-19,USD,Conversion,STANDARD,GRG-10417,102405,AAON INC,1,ITEM,32.68,Etairos_Line_1,1270.1209.100.000.511000.0000.000
1336259,105050,454.65,2026-05-20,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,454.65,Etairos_Line_1,1270.1207.000.000.115101.0000.000
1336268,105051,75.18,2026-05-20,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,75.18,Etairos_Line_1,1270.1207.000.000.115101.0000.000
1336562,105052,2006.22,2026-05-21,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,2006.22,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1336599,105053,406.5,2026-05-21,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,406.5,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1336778,105054,4979.25,2026-05-21,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,4979.25,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1336939,104142,117.76,2026-05-22,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,117.76,Etairos_Line_1,1270.1209.100.600.726010.0000.000
1337221,105055,243.7,2026-05-26,USD,Conversion,STANDARD,,102405,AAON INC,1,ITEM,243.7,Etairos_Line_1,1270.1207.000.000.115101.0000.000
1338409,104143,44667.96,2026-05-29,USD,Conversion,STANDARD,WJT-01086,102405,AAON INC,1,ITEM,44667.96,Etairos_Line_1,1270.1209.100.000.511000.0000.000
140478,104144,6802,2026-04-27,USD,Conversion,STANDARD,SDW-10366,102565,MGM PRODUCTS INC,1,ITEM,6802,Etairos_Line_1,1270.1209.100.000.511000.0000.000
14658172,104145,442.08,2026-05-31,USD,Conversion,STANDARD,,102579,NEXAIR LLC,1,ITEM,442.08,Etairos_Line_1,1270.1207.150.000.511000.0000.000
14666157,104146,89.89,2026-05-31,USD,Conversion,STANDARD,,102579,NEXAIR LLC,1,ITEM,89.89,Etairos_Line_1,1270.1209.100.000.511000.0000.000
15237STK2,105056,54,2026-03-16,USD,Conversion,STANDARD,,100203,American Express,1,ITEM,54,Etairos_Line_1,1270.1209.000.000.115101.0000.000
15237STK3,105057,72,2026-03-17,USD,Conversion,STANDARD,,100203,American Express,1,ITEM,72,Etairos_Line_1,1270.1209.000.000.115101.0000.000
15705,105058,940.56,2026-05-21,USD,Conversion,STANDARD,,100203,American Express,1,ITEM,940.56,Etairos_Line_1,1270.1209.000.000.115101.0000.000
161027557,105059,786.51,2026-05-26,USD,Conversion,STANDARD,,103584,EVERON LLC,1,ITEM,262.17,Etairos_Line_1,1270.1209.100.600.727040.0000.000
161027557,105059,786.51,2026-05-26,USD,Conversion,STANDARD,,103584,EVERON LLC,2,ITEM,262.17,Etairos_Line_2,1270.1209.100.600.727040.0000.000
161027557,105059,786.51,2026-05-26,USD,Conversion,STANDARD,,103584,EVERON LLC,3,ITEM,262.17,Etairos_Line_3,1270.1209.100.600.727040.0000.000
161027558,105060,666,2026-05-26,USD,Conversion,STANDARD,,103584,EVERON LLC,1,ITEM,222,Etairos_Line_1,1270.1209.100.600.727040.0000.000
161027558,105060,666,2026-05-26,USD,Conversion,STANDARD,,103584,EVERON LLC,2,ITEM,222,Etairos_Line_2,1270.1209.100.600.727040.0000.000
161027558,105060,666,2026-05-26,USD,Conversion,STANDARD,,103584,EVERON LLC,3,ITEM,222,Etairos_Line_3,1270.1209.100.600.727040.0000.000
161027559,105061,702.99,2026-05-26,USD,Conversion,STANDARD,,103584,EVERON LLC,1,ITEM,234.33,Etairos_Line_1,1270.1207.100.600.727040.0000.000
161027559,105061,702.99,2026-05-26,USD,Conversion,STANDARD,,103584,EVERON LLC,2,ITEM,234.33,Etairos_Line_2,1270.1207.100.600.727040.0000.000
161027559,105061,702.99,2026-05-26,USD,Conversion,STANDARD,,103584,EVERON LLC,3,ITEM,234.33,Etairos_Line_3,1270.1207.100.600.727040.0000.000
161027560,105062,17.07,2026-05-26,USD,Conversion,STANDARD,,103584,EVERON LLC,1,ITEM,5.69,Etairos_Line_1,1270.1207.100.600.727040.0000.000
161027560,105062,17.07,2026-05-26,USD,Conversion,STANDARD,,103584,EVERON LLC,2,ITEM,5.69,Etairos_Line_2,1270.1207.100.600.727040.0000.000
161027560,105062,17.07,2026-05-26,USD,Conversion,STANDARD,,103584,EVERON LLC,3,ITEM,5.69,Etairos_Line_3,1270.1207.100.600.727040.0000.000
16161,104147,1419.56,2026-04-29,USD,Conversion,STANDARD,JPH-10196,102851,UV RESOURCES LLC,1,ITEM,1419.56,Etairos_Line_1,1270.1207.100.000.511000.0000.000
16193,104148,2178.55,2026-05-01,USD,Conversion,STANDARD,SDW-10372,102851,UV RESOURCES LLC,1,ITEM,2178.55,Etairos_Line_1,1270.1209.100.000.511000.0000.000
180-106917,104149,2320,2026-05-27,USD,Conversion,STANDARD,GRG-10431,103185,MIH SYSTEMS GROUP,1,ITEM,2320,Etairos_Line_1,1270.1209.100.000.511000.0000.000
180328,104150,13800,2026-05-28,USD,Conversion,STANDARD,,103281,CONTROL APPLICATIONS INC,1,ITEM,13800,Etairos_Line_1,1270.1209.100.000.520200.0000.000
1864760000,105063,50.92,2026-04-17,USD,Conversion,STANDARD,,102648,UNITED REFRIGERATION,1,ITEM,50.92,Etairos_Line_1,1270.1209.000.000.151120.0000.000
1867240500,104151,101.82,2026-04-20,USD,Conversion,STANDARD,,102648,UNITED REFRIGERATION,1,ITEM,101.82,Etairos_Line_1,1270.1209.200.000.511000.0000.000
1870124500,104152,101.82,2026-04-21,USD,Conversion,STANDARD,,102648,UNITED REFRIGERATION,1,ITEM,101.82,Etairos_Line_1,1270.1209.200.000.511000.0000.000
1870848600,104153,165.5,2026-04-21,USD,Conversion,STANDARD,,102648,UNITED REFRIGERATION,1,ITEM,165.5,Etairos_Line_1,1270.1209.100.600.740010.0000.000
1873191600,104154,849.58,2026-04-22,USD,Conversion,STANDARD,,102648,UNITED REFRIGERATION,1,ITEM,849.58,Etairos_Line_1,1270.1209.200.000.511000.0000.000
1876726300,104155,86.08,2026-04-23,USD,Conversion,STANDARD,,102648,UNITED REFRIGERATION,1,ITEM,86.08,Etairos_Line_1,1270.1209.200.000.511000.0000.000
1877563400,104156,101.82,2026-04-24,USD,Conversion,STANDARD,,102648,UNITED REFRIGERATION,1,ITEM,101.82,Etairos_Line_1,1270.1209.200.000.511000.0000.000
1882528500,104157,86.08,2026-04-28,USD,Conversion,STANDARD,,102648,UNITED REFRIGERATION,1,ITEM,86.08,Etairos_Line_1,1270.1209.200.000.511000.0000.000
1886562100,104158,133.25,2026-04-29,USD,Conversion,STANDARD,,102648,UNITED REFRIGERATION,1,ITEM,133.25,Etairos_Line_1,1270.1209.200.000.511000.0000.000
1887604800,104159,287.63,2026-04-30,USD,Conversion,STANDARD,,102648,UNITED REFRIGERATION,1,ITEM,287.63,Etairos_Line_1,1270.1209.100.600.740010.0000.000
1887639100,104160,83.81,2026-04-30,USD,Conversion,STANDARD,,102648,UNITED REFRIGERATION,1,ITEM,83.81,Etairos_Line_1,1270.1209.200.600.721040.0000.000
1899834600,104161,64.67,2026-05-07,USD,Conversion,STANDARD,,102648,UNITED REFRIGERATION,1,ITEM,64.67,Etairos_Line_1,1270.1209.200.000.511000.0000.000
1900432598,105064,4985.84,2026-04-30,USD,Conversion,STANDARD,,102965,GRUNDFOS PUMPS,1,ITEM,4985.84,Etairos_Line_1,1270.1207.000.000.115101.0000.000
1900432763,105065,434.29,2026-05-01,USD,Conversion,STANDARD,,102965,GRUNDFOS PUMPS,1,ITEM,434.29,Etairos_Line_1,1270.1207.000.000.115101.0000.000
1900433493,105066,579.5,2026-05-07,USD,Conversion,STANDARD,,102965,GRUNDFOS PUMPS,1,ITEM,579.5,Etairos_Line_1,1270.1207.000.000.115101.0000.000
1900433807,105067,256.61,2026-05-11,USD,Conversion,STANDARD,,102965,GRUNDFOS PUMPS,1,ITEM,256.61,Etairos_Line_1,1270.1209.000.000.115101.0000.000
1900434019,105068,779.79,2026-05-13,USD,Conversion,STANDARD,,102965,GRUNDFOS PUMPS,1,ITEM,779.79,Etairos_Line_1,1270.1207.000.000.115101.0000.000
1900434167,104162,2835.16,2026-05-13,USD,Conversion,STANDARD,EKS-01091,102965,GRUNDFOS PUMPS,1,ITEM,2835.16,Etairos_Line_1,1270.1207.100.000.511000.0000.000
1903440200,104163,51.82,2026-05-08,USD,Conversion,STANDARD,,102648,UNITED REFRIGERATION,1,ITEM,51.82,Etairos_Line_1,1270.1209.200.000.511000.0000.000
1920015134,104164,-753.42,2026-05-13,USD,Conversion,CREDIT,,102965,GRUNDFOS PUMPS,1,ITEM,-753.42,Etairos_Line_1,1270.1207.150.000.511000.0000.000
1929034800,104165,31.36,2026-05-22,USD,Conversion,STANDARD,,102648,UNITED REFRIGERATION,1,ITEM,31.36,Etairos_Line_1,1270.1209.200.000.511000.0000.000
1935302700,104166,62.13,2026-05-27,USD,Conversion,STANDARD,,102648,UNITED REFRIGERATION,1,ITEM,62.13,Etairos_Line_1,1270.1209.200.000.511000.0000.000
2026031307,104366,314603.07,2026-03-31,USD,Conversion,STANDARD,EKS-01098,102768,FULTON THERMAL CORP,1,ITEM,314603.07,Etairos_Line_1,1270.1207.100.000.511000.0000.000
2026050096,104367,-2648.1,2026-05-27,USD,Conversion,CREDIT,,102768,FULTON THERMAL CORP,1,ITEM,-2648.1,Etairos_Line_1,1270.1207.150.000.511000.0000.000
206919244,104167,206.54,2026-04-17,USD,Conversion,STANDARD,,102645,ULINE SHIPPING SUPPLY,1,ITEM,206.54,Etairos_Line_1,1270.1209.100.000.511000.0000.000
207916957,104168,51.03,2026-05-11,USD,Conversion,STANDARD,,102645,ULINE SHIPPING SUPPLY,1,ITEM,51.03,Etairos_Line_1,1270.1209.100.600.726010.0000.000
208063025,105069,6784.44,2026-05-14,USD,Conversion,STANDARD,,102645,ULINE SHIPPING SUPPLY,1,ITEM,6784.44,Etairos_Line_1,1270.1209.000.000.151120.0000.000
208430705,104169,2544.98,2026-05-22,USD,Conversion,STANDARD,,102645,ULINE SHIPPING SUPPLY,1,ITEM,2544.98,Etairos_Line_1,1270.1209.100.600.726010.0000.000
208547310,104170,421.14,2026-05-27,USD,Conversion,STANDARD,,102645,ULINE SHIPPING SUPPLY,1,ITEM,421.14,Etairos_Line_1,1270.1209.100.600.726010.0000.000
2099477,104171,28096.42,2026-04-15,USD,Conversion,STANDARD,SDW-10369,101382,CAMFIL USA INC,1,ITEM,28096.42,Etairos_Line_1,1270.1209.100.000.511000.0000.000
2100525,105070,5038.89,2026-04-23,USD,Conversion,STANDARD,,101382,CAMFIL USA INC,1,ITEM,5038.89,Etairos_Line_1,1270.1209.000.000.115101.0000.000
2100917,105071,81.52,2026-04-27,USD,Conversion,STANDARD,,101382,CAMFIL USA INC,1,ITEM,81.52,Etairos_Line_1,1270.1209.000.000.115101.0000.000
2100961,105072,373.49,2026-04-27,USD,Conversion,STANDARD,,101382,CAMFIL USA INC,1,ITEM,373.49,Etairos_Line_1,1270.1209.000.000.115101.0000.000
2101755,105073,155.01,2026-05-04,USD,Conversion,STANDARD,,101382,CAMFIL USA INC,1,ITEM,155.01,Etairos_Line_1,1270.1209.000.000.115101.0000.000
2101829,105074,418.53,2026-05-04,USD,Conversion,STANDARD,,101382,CAMFIL USA INC,1,ITEM,418.53,Etairos_Line_1,1270.1209.000.000.115101.0000.000
2102158,104172,190.65,2026-05-06,USD,Conversion,STANDARD,ZAG-01088,101382,CAMFIL USA INC,1,ITEM,190.65,Etairos_Line_1,1270.1209.100.000.511000.0000.000
2102626,104173,2764.45,2026-05-11,USD,Conversion,STANDARD,WJT-01086,101382,CAMFIL USA INC,1,ITEM,2764.45,Etairos_Line_1,1270.1209.100.000.511000.0000.000
2102682,105075,102.51,2026-05-11,USD,Conversion,STANDARD,,101382,CAMFIL USA INC,1,ITEM,102.51,Etairos_Line_1,1270.1209.000.000.115101.0000.000
2103039,104174,127.01,2026-05-13,USD,Conversion,STANDARD,,101382,CAMFIL USA INC,1,ITEM,127.01,Etairos_Line_1,1270.1209.100.000.511000.0000.000
2103471,105076,10587.84,2026-05-15,USD,Conversion,STANDARD,,101382,CAMFIL USA INC,1,ITEM,10587.84,Etairos_Line_1,1270.1209.000.000.115101.0000.000
21528113,104175,241.78,2026-04-23,USD,Conversion,STANDARD,,100330,TRANE US INC,1,ITEM,241.78,Etairos_Line_1,1270.1209.200.000.511000.0000.000
21546981,104176,215.13,2026-04-27,USD,Conversion,STANDARD,,100330,TRANE US INC,1,ITEM,215.13,Etairos_Line_1,1270.1209.200.000.511000.0000.000
229476,105077,246.95,2026-04-21,USD,Conversion,STANDARD,,103332,HOBBS & ASSOCIATES INC,1,ITEM,246.95,Etairos_Line_1,1270.1209.000.000.115101.1281.000
229666,105078,752.42,2026-04-22,USD,Conversion,STANDARD,,103332,HOBBS & ASSOCIATES INC,1,ITEM,752.42,Etairos_Line_1,1270.1209.000.000.115101.1281.000
230763,105079,233,2026-05-01,USD,Conversion,STANDARD,,103332,HOBBS & ASSOCIATES INC,1,ITEM,233,Etairos_Line_1,1270.1209.000.000.115101.1281.000
230809,105080,251.4,2026-05-01,USD,Conversion,STANDARD,,103332,HOBBS & ASSOCIATES INC,1,ITEM,251.4,Etairos_Line_1,1270.1209.000.000.115101.1281.000
230906,104177,8993.5,2026-05-13,USD,Conversion,STANDARD,GPB-10237,102815,BERNER INTERNATIONAL CORP,1,ITEM,8993.5,Etairos_Line_1,1270.1209.100.000.511000.0000.000
231421,105081,6334.01,2026-05-08,USD,Conversion,STANDARD,,101667,HOBBS & ASSOCIATES,1,ITEM,6334.01,Etairos_Line_1,1270.1209.000.000.115101.1281.000
233000,105082,86948,2026-05-26,USD,Conversion,STANDARD,,103332,HOBBS & ASSOCIATES INC,1,ITEM,86948,Etairos_Line_1,1270.1209.000.000.115101.1281.000
24003-1125,104178,.01,2025-11-11,USD,Conversion,STANDARD,,100203,American Express,1,ITEM,.01,Etairos_Line_1,1270.1209.100.000.511000.0000.000
24386,105083,3768.73,2026-05-11,USD,Conversion,STANDARD,,102769,HOLBY VALVE INC,1,ITEM,3768.73,Etairos_Line_1,1270.1209.000.000.115101.0000.000
2567959,104179,284793.8,2026-05-18,USD,Conversion,STANDARD,SDW-10368,102766,ECON-AIR/CAPTIVE AIRE,1,ITEM,284793.8,Etairos_Line_1,1270.1209.100.000.511000.0000.000
2591053329,105084,1046.08,2026-05-07,USD,Conversion,STANDARD,,102443,BOSCH THERMOTECHNOLOGY CORP,1,ITEM,1046.08,Etairos_Line_1,1270.1209.000.000.115101.0000.000
2591055548,104180,296.56,2026-05-14,USD,Conversion,STANDARD,JPH-10198,102443,BOSCH THERMOTECHNOLOGY CORP,1,ITEM,296.56,Etairos_Line_1,1270.1207.100.000.511000.0000.000
2604004,105085,13299.9,2026-04-06,USD,Conversion,STANDARD,,102411,AIR COMPONENTS INC,1,ITEM,13299.9,Etairos_Line_1,1270.1209.000.000.115101.1190.000
2604006,105086,24588.02,2026-04-06,USD,Conversion,STANDARD,,102411,AIR COMPONENTS INC,1,ITEM,24588.02,Etairos_Line_1,1270.1209.000.000.115101.1190.000
2604007,105087,11997.21,2026-04-06,USD,Conversion,STANDARD,,102411,AIR COMPONENTS INC,1,ITEM,11997.21,Etairos_Line_1,1270.1209.000.000.115101.1190.000
2604036,104181,4257,2026-04-10,USD,Conversion,STANDARD,KMG-01281,102411,AIR COMPONENTS INC,1,ITEM,4257,Etairos_Line_1,1270.1209.100.000.511000.1190.000
2604105,104182,996,2026-04-16,USD,Conversion,STANDARD,SDW-10372,102411,AIR COMPONENTS INC,1,ITEM,996,Etairos_Line_1,1270.1209.100.000.511000.1190.000
2604160,104183,17927.7,2026-04-21,USD,Conversion,STANDARD,KMG-01243,102411,AIR COMPONENTS INC,1,ITEM,17927.7,Etairos_Line_1,1270.1209.100.000.511000.1190.000
2604185,104184,4766.02,2026-04-24,USD,Conversion,STANDARD,KMG-01243,102411,AIR COMPONENTS INC,1,ITEM,4766.02,Etairos_Line_1,1270.1209.100.000.511000.1190.000
2604208,105088,730,2026-04-27,USD,Conversion,STANDARD,,102411,AIR COMPONENTS INC,1,ITEM,730,Etairos_Line_1,1270.1209.000.000.115101.1190.000
2604220,104185,29879.5,2026-04-27,USD,Conversion,STANDARD,KMG-01243,102411,AIR COMPONENTS INC,1,ITEM,29879.5,Etairos_Line_1,1270.1209.100.000.511000.1190.000
2604249,105089,952,2026-04-30,USD,Conversion,STANDARD,,102411,AIR COMPONENTS INC,1,ITEM,952,Etairos_Line_1,1270.1209.000.000.115101.1190.000
2604255,104186,13882,2026-04-30,USD,Conversion,STANDARD,CCO-10802,102411,AIR COMPONENTS INC,1,ITEM,13882,Etairos_Line_1,1270.1209.100.000.511000.1190.000
2604280,105090,3943.98,2026-05-06,USD,Conversion,STANDARD,,102411,AIR COMPONENTS INC,1,ITEM,3943.98,Etairos_Line_1,1270.1209.000.000.115101.1190.000
