PARTY_NAME,PartyNumber,PARTY_SITE_ID,SITE_USE_ID,SITE_USE_CODE,PARTY_ID,ACCOUNT_NUMBER,ACCOUNT_NAME,CUST_ACCOUNT_ID,ACCOUNT_STATUS,PARTY_SITE_NUMBER,PARTY_SITE_STATUS,START_DATE,END_DATE,PRIMARY_FLAG,BILL_TO_FLAG,SHIP_TO_FLAG,LOCATION,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,CITY,POSTAL_CODE,STATE,COUNTRY
OSU AT OKMULGEE,13008,100000046278450,100000046286813,SHIP_TO,100000046273001,2274,OSU AT OKMULGEE,100000046283550,A,14081,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,2137,1801 E 4TH ST,,,,OKMULGEE,74447,OK,US
OSU AT OKMULGEE,13008,100000046278450,100000046287611,BILL_TO,100000046273001,2274,OSU AT OKMULGEE,100000046283550,A,14081,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,2935,1801 E 4TH ST,,,,OKMULGEE,74447,OK,US
RIVER VIEW FARMS,13009,100000046278404,100000046286951,BILL_TO,100000046273002,1135,RIVER VIEW FARMS,100000046282411,A,14035,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2275,3501 N 74TH ST W,,,,MUSKOGEE,74114,OK,US
SIMMONS PREPARED FOODS SILOAM SPGS,13010,100000046277591,100000046287934,BILL_TO,100000046273003,1482,SIMMONS PREPARED FOODS SILOAM SPGS,100000046282758,A,13225,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3258,PO BOX 430601,,,,SILOAM SPRINGS,72761,AR,US
GAUGE METAL FAB LLC,13011,100000046278174,100000046287307,BILL_TO,100000046273004,2820,GAUGE METAL FAB LLC,100000046284096,A,13806,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2631,10004 N VICTOR AVE,,,,TULSA,74110,OK,US
THE COUNTRY CLUB OF LITTLE ROCK,13012,100000046279568,100000046288921,BILL_TO,100000046273005,2821,THE COUNTRY CLUB OF LITTLE ROCK,100000046284097,A,15197,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,4245,PO BOX 7568,,,,LITTLE ROCK,72217,AR,US
ALTECH INC,13013,100000046278990,100000046287309,BILL_TO,100000046273006,2565,ALTECH INC,100000046283841,A,14621,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,2633,8530 W NEW BOSTON RD,,,,TEXARKANA,75501,TX,US
ALTECH INC,13013,100000046278990,100000046288588,SHIP_TO,100000046273006,2565,ALTECH INC,100000046283841,A,14621,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,3912,8530 W NEW BOSTON RD,,,,TEXARKANA,75501,TX,US
WESTROCK COFFEE ROASTING LLC,13014,100000046279298,100000046286965,SHIP_TO,100000046273007,2566,WESTROCK COFFEE ROASTING LLC,100000046283842,A,14928,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,2289,30 COLLINS INDUSTRIAL PL,,,,NORTH,72113,AR,US
WESTROCK COFFEE ROASTING LLC,13014,100000046279298,100000046288271,BILL_TO,100000046273007,2566,WESTROCK COFFEE ROASTING LLC,100000046283842,A,14928,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,3595,30 COLLINS INDUSTRIAL PL,,,,NORTH,72113,AR,US
BAMA,13015,100000046278464,100000046288273,BILL_TO,100000046273008,2286,BAMA,100000046283562,A,14095,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3597,PO BOX 350,,,,COLUMBUS,66725,KS,US
CHICAGO CHAIN LLC,13016,100000046278991,100000046288274,BILL_TO,100000046273009,1490,CHICAGO CHAIN LLC,100000046282766,A,14622,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3598,2401 INTERNATIONALE PKWY,,,,WOODRIDGE,60517,IL,US
CD & H INC,13017,100000046278465,100000046287635,BILL_TO,100000046273010,1145,CD & H INC,100000046282421,A,14096,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2959,2510 W 6TH AVE,,,,EL DORADO,67042,KS,US
ARNING COMPANIES,13018,100000046279578,100000046286829,BILL_TO,100000046273011,2020,ARNING COMPANIES,100000046283296,A,15207,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2153,PO BOX F,,,,CASSVILLE,65625,MO,US
EPIC TECHNICIANS HVAC LLC,13019,100000046279330,100000046288278,SHIP_TO,100000046273012,1231,EPIC TECHNICIANS HVAC LLC,100000046282507,A,14960,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,3602,6115 STARGATE COVE,,,,ALEXANDER,72002,AR,US
EPIC TECHNICIANS HVAC LLC,13019,100000046279330,100000046288930,BILL_TO,100000046273012,1231,EPIC TECHNICIANS HVAC LLC,100000046282507,A,14960,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,4254,6115 STARGATE COVE,,,,ALEXANDER,72002,AR,US
ASAP HEATING & AIR INC,13020,100000046277608,100000046287313,BILL_TO,100000046273013,1146,ASAP HEATING & AIR INC,100000046282422,A,13242,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2637,10514 E LATIMER ST,,,,TULSA,74118,OK,US
LROCK RX,13021,100000046278183,100000046286970,BILL_TO,100000046273014,2826,LROCK RX,100000046284102,A,13815,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,2294,7321 CANTRELL RD,,,,LITTLE ROCK,72207,AR,US
LROCK RX,13021,100000046278183,100000046288592,SHIP_TO,100000046273014,2826,LROCK RX,100000046284102,A,13815,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,3916,7321 CANTRELL RD,,,,LITTLE ROCK,72207,AR,US
ROGERS HOSPITALITY LLC,13022,100000046277517,100000046286833,BILL_TO,100000046273015,1149,ROGERS HOSPITALITY LLC,100000046282425,A,13151,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,2157,1101 N PROSPECT AVE,,,,ITASCA,60143,IL,US
ROGERS HOSPITALITY LLC,13022,100000046277517,100000046288281,SHIP_TO,100000046273015,1149,ROGERS HOSPITALITY LLC,100000046282425,A,13151,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,3605,1101 N PROSPECT AVE,,,,ITASCA,60143,IL,US
KISWIRE PINE BLUFF INC,13023,100000046279331,100000046287316,BILL_TO,100000046273016,2571,KISWIRE PINE BLUFF INC,100000046283847,A,14961,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,2640,5100 INDUSTRIAL DR S,,,,PINE BLUFF,71602,AR,US
KISWIRE PINE BLUFF INC,13023,100000046279331,100000046287642,SHIP_TO,100000046273016,2571,KISWIRE PINE BLUFF INC,100000046283847,A,14961,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,2966,5100 INDUSTRIAL DR S,,,,PINE BLUFF,71602,AR,US
HARP SERVICE COMPANY,13024,100000046278028,100000046287958,BILL_TO,100000046273017,1772,HARP SERVICE COMPANY,100000046283048,A,13661,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3282,5009 W 62ND ST,,,,TULSA,74131,OK,US
HARRELL SERVICE,13025,100000046279305,100000046287319,BILL_TO,100000046273018,2022,HARRELL SERVICE,100000046283298,A,14935,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2643,PO BOX 5870,,,,NORTH LITTLE ROCK,72119,AR,US
HARVEY SHEET METAL,13026,100000046279306,100000046287959,SHIP_TO,100000046273019,1154,HARVEY SHEET METAL,100000046282430,A,14936,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,3283,7914 HWY 70,,,,NORTH LITTLE ROCK,72117,AR,US
HARVEY SHEET METAL,13026,100000046279306,100000046288935,BILL_TO,100000046273019,1154,HARVEY SHEET METAL,100000046282430,A,14936,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,4259,7914 HWY 70,,,,NORTH LITTLE ROCK,72117,AR,US
HEBER SPRINGS SCHOOL DISTRICT,13027,100000046278029,100000046287644,BILL_TO,100000046273020,2575,HEBER SPRINGS SCHOOL DISTRICT,100000046283851,A,13662,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2968,800 W MOORE ST,,,,HEBER SPRINGS,72543,AR,US
MATHEWS MANAGEMENT CO,13028,100000046279308,100000046287320,BILL_TO,100000046273021,1156,MATHEWS MANAGEMENT CO,100000046282432,A,14938,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2644,PO BOX 1366,,,,SPRINGDALE,72765-1366,AR,US
RBD HOLDINGS LLC,13029,100000046278035,100000046288940,BILL_TO,100000046273022,1015,RBD HOLDINGS LLC,100000046282291,A,13668,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,4264,3001 JFK BLVD,,,,NORTH LITTLE ROCK,72116,AR,US
RED STONE CONSTRUCTION SERVICES,13030,100000046278475,100000046288288,BILL_TO,100000046273023,1775,RED STONE CONSTRUCTION SERVICES,100000046283051,A,14106,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3612,7059 ROSEBAY DR,,,,NEOSHO,64850,MO,US
REI ELECTRIC ROBBINS ENTERPRISES,13031,100000046279337,100000046287647,BILL_TO,100000046273024,1776,REI ELECTRIC ROBBINS ENTERPRISES,100000046283052,A,14967,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2971,35469 S 4465 RD,,,,VINITA,74301,OK,US
PAUL CHAMBLESS,13032,100000046278191,100000046288289,BILL_TO,100000046273025,2830,PAUL CHAMBLESS,100000046284106,A,13823,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3613,3260 HWY 73 E,,,,HOPE,71801,AR,US
U OF A COOPERATIVE,13033,100000046278038,100000046287323,BILL_TO,100000046273026,2832,U OF A COOPERATIVE,100000046284108,A,13671,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2647,2801 S UNIVERSITY,,,,LITTLE ROCK,72204,AR,US
TIMELESS TREASURES FLEA MARKET,13034,100000046279341,100000046286984,BILL_TO,100000046273027,2026,TIMELESS TREASURES FLEA MARKET,100000046283302,A,14971,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2308,1284 HEBER SPRINGS RD S,,,,HEBER SPRINGS,72543,AR,US
ROADSIDE PROPERTIES LLC,13035,100000046277765,100000046288427,BILL_TO,100000046273028,1260,ROADSIDE PROPERTIES LLC,100000046282536,A,13398,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3751,PO BOX 22690,,,,HOT SPRINGS,71903-2690,AR,US
COBARE PLUMBING,13036,100000046278785,100000046286727,BILL_TO,100000046273029,2056,COBARE PLUMBING,100000046283332,A,14416,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2051,7 CHARITCHER LN,,,,BELLA VISTA,72714,AR,US
DOUG KIRBY CASH CUST,13037,100000046278627,100000046288321,BILL_TO,100000046273030,2333,DOUG KIRBY CASH CUST,100000046283609,A,14258,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3645,675 LAURA LN,,,,TONTITOWN,72770,AR,US
HENDRIX COLLEGE,13038,100000046277914,100000046289066,BILL_TO,100000046273031,1530,HENDRIX COLLEGE,100000046282806,A,13547,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,4390,1600 WASHINGTON AVE,,,,CONWAY,72032,AR,US
PATTON AIR CONDITIONING,13039,100000046279367,100000046286731,BILL_TO,100000046273032,1809,PATTON AIR CONDITIONING,100000046283085,A,14997,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2055,PO BOX 396,,,,SAND SPRINGS,74063,OK,US
PRIME MEDICAL IMAGING,13040,100000046279068,100000046289252,BILL_TO,100000046273033,1810,PRIME MEDICAL IMAGING,100000046283086,A,14698,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,4576,320 S 9TH,,,,VAN BUREN,72956,AR,US
CHASE MCMANUS,13041,100000046278349,100000046287803,BILL_TO,100000046273034,2071,CHASE MCMANUS,100000046283347,A,13980,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3127,70 MALLARD POINT COVE,,,,LONOKE,72086,AR,US
APPLIED INDUSTRIAL TECHNOLOGIES,13042,100000046279511,100000046288436,BILL_TO,100000046273035,2870,APPLIED INDUSTRIAL TECHNOLOGIES,100000046284146,A,15140,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3760,PO BOX 93018,,,,CLEVELAND,44101,OH,US
AMERICSTAR FENDING PROD,13043,100000046277393,100000046289258,BILL_TO,100000046273036,2873,AMERICSTAR FENDING PROD,100000046284149,A,13027,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,4582,PO BOX 581000,,,,TULSA,74158-1000,OK,US
DOUBLE TREE HOTEL,13044,100000046277617,100000046286740,BILL_TO,100000046273037,1541,DOUBLE TREE HOTEL,100000046282817,A,13251,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2064,301 S E WALTON BLVD,,,,BENTONVILLE,72712,AR,US
DUCOMMUN LABARGE,13045,100000046278798,100000046288336,BILL_TO,100000046273038,2075,DUCOMMUN LABARGE,100000046283351,A,14429,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3660,403 LABARGE AVE,,,,HUNTSVILLE,72740,AR,US
JOHNSON EQUIPMENT COMPANY,13046,100000046278642,100000046287808,BILL_TO,100000046273039,1060,JOHNSON EQUIPMENT COMPANY,100000046282336,A,14273,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3132,PO BOX 802009,,,,DALLAS,75380,TX,US
OKLAHOMA BAPTIST UNIVERSITY,13047,100000046279075,100000046288441,BILL_TO,100000046273040,2877,OKLAHOMA BAPTIST UNIVERSITY,100000046284153,A,14705,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3765,CAMPUS BOX 61207,,,,SHAWNEE,74804,OK,US
MORRISON BUILDERS,13048,100000046279079,100000046287686,BILL_TO,100000046273041,1279,MORRISON BUILDERS,100000046282555,A,14709,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3010,1036 BILTMORE,,,,SPRINGDALE,72762,AR,US
SPRAY EQUIPMENT OF OKLAHOMA,13049,100000046277398,100000046287811,BILL_TO,100000046273042,2081,SPRAY EQUIPMENT OF OKLAHOMA,100000046283357,A,13032,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3135,PO BOX 470703,,,,TULSA,74147,OK,US
SHARP HEATING & AIR,13050,100000046279083,100000046289082,BILL_TO,100000046273043,3082,SHARP HEATING & AIR,100000046284358,A,14713,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,4406,9210 N 163 E AVE,,,,OWASSO,74055,OK,US
SOUTHERN PIPE & SUPPLY,13051,100000046277922,100000046287812,BILL_TO,100000046273044,1820,SOUTHERN PIPE & SUPPLY,100000046283096,A,13555,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,N,Y,N,3136,PO BOX 13092135,,,,CONWAY,72032,AR,US
SOUTHERN PIPE & SUPPLY,13051,100000046278648,100000046286754,BILL_TO,100000046273044,1820,SOUTHERN PIPE & SUPPLY,100000046283096,A,14279,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2078,3012 BROADWAY AVE,,,,ALEXANDRIA,71307-4405,LA,US
COMMERCIAL FACILITIES MANAGEMENT,13052,100000046277923,100000046287813,BILL_TO,100000046273045,2346,COMMERCIAL FACILITIES MANAGEMENT,100000046283622,A,13556,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3137,1785 GOLDEN FIELD DR,,,,GREENWOOD,46143,IN,US
VA HOSPITAL,13053,100000046277925,100000046286756,BILL_TO,100000046273046,1550,VA HOSPITAL,100000046282826,A,13558,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2080,1100 N COLLEGE AVE,,,,FAYETTEVILLE,72703,AR,US
VENTAIRE LLC,13054,100000046278362,100000046286757,BILL_TO,100000046273047,1823,VENTAIRE LLC,100000046283099,A,13993,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,2081,909 N WHEELING AVE,,,,TULSA,74110,OK,US
VENTAIRE LLC,13054,100000046278362,100000046289085,SHIP_TO,100000046273047,1823,VENTAIRE LLC,100000046283099,A,13993,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,4409,909 N WHEELING AVE,,,,TULSA,74110,OK,US
OKC HOUSING AUTHORITY,13055,100000046277629,100000046287814,BILL_TO,100000046273048,2348,OKC HOUSING AUTHORITY,100000046283624,A,13263,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3138,1700 NE 4TH,,,,OKC,73117,OK,US
CHURCH OF CHRIST 29TH & YALE,13056,100000046279524,100000046288454,BILL_TO,100000046273049,2350,CHURCH OF CHRIST 29TH & YALE,100000046283626,A,15153,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3778,2901 S YALE,,,,TULSA,74114,OK,US
ARKANSAS STATE UNIVERISTY BEEBE,13057,100000046279088,100000046287046,BILL_TO,100000046273050,2966,ARKANSAS STATE UNIVERISTY BEEBE,100000046284242,A,14718,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2370,PO BOX 1000,,,,BEEBE,72012,AR,US
AIR ASSURANCE,13058,100000046278954,100000046287500,BILL_TO,100000046273051,2649,AIR ASSURANCE,100000046283925,A,14585,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2824,1301 SW EXPRESSWAY DR,,,,BROKEN ARROW,74012,OK,US
ALL POINTS CONSTRUCTION,13059,100000046279380,100000046288772,BILL_TO,100000046273052,2650,ALL POINTS CONSTRUCTION,100000046283926,A,15010,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,4096,345 YELLOW ROCK RD,,,,STIGLER,74462,OK,US
AMERICAN AC MECHANICAL,13060,100000046279381,100000046288140,BILL_TO,100000046273053,1312,AMERICAN AC MECHANICAL,100000046282588,A,15011,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3464,PO BOX 6145,,,,SPRINGDALE,72766,AR,US
DYNA SERVICE,13061,100000046277435,100000046287420,BILL_TO,100000046273054,2127,DYNA SERVICE,100000046283403,A,13069,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2744,5136 S 94TH E AVE,,,,TULSA,74145,OK,US
IDEAL CONSTRUCTION CO,13062,100000046279383,100000046288073,BILL_TO,100000046273055,2656,IDEAL CONSTRUCTION CO,100000046283932,A,15013,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3397,803 W FIRST AVE HWY 82,,,,CROSSETT,71635,AR,US
KMS,13063,100000046277438,100000046287421,SHIP_TO,100000046273056,1087,KMS,100000046282363,A,13072,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,2745,5004 E ARCHER,,,,TULSA,74115,OK,US
KMS,13063,100000046277438,100000046288774,BILL_TO,100000046273056,1087,KMS,100000046282363,A,13072,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,4098,5004 E ARCHER,,,,TULSA,74115,OK,US
STERLING DICKSON,13064,100000046279230,100000046289304,BILL_TO,100000046273057,1091,STERLING DICKSON,100000046282367,A,14860,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,4628,2617 E GALVESTON PL,,,,BROKEN ARROW,74014,OK,US
SOONER QUALITY SERVICES,13065,100000046277661,100000046288730,BILL_TO,100000046273058,2660,SOONER QUALITY SERVICES,100000046283936,A,13295,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,4054,6755 E 335 RD,,,,TALALA,74080,OK,US
CAMP GRUBER,13066,100000046277961,100000046287510,BILL_TO,100000046273059,2138,CAMP GRUBER,100000046283414,A,13594,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2834,6000 HWY 10,,,,BRAGGS,,OK,US
ARKANSAS SERVICE ONE HVAC INC,13067,100000046277962,100000046287512,BILL_TO,100000046273060,2718,ARKANSAS SERVICE ONE HVAC INC,100000046283994,A,13595,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,2836,3015 CORPORATE CENTER DR,,,,BRYANT,72022,AR,US
ARKANSAS SERVICE ONE HVAC INC,13067,100000046277962,100000046288732,SHIP_TO,100000046273060,2718,ARKANSAS SERVICE ONE HVAC INC,100000046283994,A,13595,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,4056,3015 CORPORATE CENTER DR,,,,BRYANT,72022,AR,US
REXEL USA,13161,100000046279216,100000046287143,BILL_TO,100000046273154,1834,REXEL USA,100000046283110,A,14846,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,2467,2800 S ZERO ST,,,,FORT SMITH,72901,AR,US
CITY OF HOT SPRINGS,13068,100000046279236,100000046288149,BILL_TO,100000046273061,2461,CITY OF HOT SPRINGS,100000046283737,A,14866,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,3473,PO BOX 6300,,,,HOT SPRINGS,71902,AR,US
LBP LLC,13069,100000046278237,100000046287427,BILL_TO,100000046273062,1932,LBP LLC,100000046283208,A,13868,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,P,2751,5211 N SMITH ST,,,,EL DORADO,71730,AR,US
