Ship-To Code,Transaction Source,Transaction Class,Transaction Type,Complete,Status,Customer,Entered Amount,Currency,Transaction Date,Operating Company (OpCo),Accounting Date,Bill-to Customer Site,Disc Due Date,Primary Salesperson,Ship to,Bill-to Customer Account Number,Ship-to Site
55281,Conversion,Invoice,Invoice,Yes,Complete,SOURCE BLUE,2790,USD,46122,Etairos,46173,26244,46152,Gregory Brown,SOURCE BLUE,16489,31124
55282,Conversion,Invoice,Invoice,Yes,Complete,SOURCE BLUE,62500.4,USD,46122,Etairos,46173,26244,46152,Gregory Brown,SOURCE BLUE,16489,31124
52981,Conversion,Invoice,Invoice,Yes,Complete,SOURCE BLUE,10425,USD,46008,Etairos,46173,26244,46038,Gregory Brown,SOURCE BLUE,16489,31124
53109,Conversion,Invoice,Invoice,Yes,Complete,SOURCE BLUE,68200,USD,46014,Etairos,46173,26244,46044,Gregory Brown,SOURCE BLUE,16489,31124
55395,Conversion,Invoice,Invoice,Yes,Complete,AMPLIFY CELL TECHNOLOGIES,103485,USD,46132,Etairos,46173,26714,46162,Gregory Brown,AMPLIFY CELL TECHNOLOGIES,17316,32297
55396,Conversion,Invoice,Invoice,Yes,Complete,AMPLIFY CELL TECHNOLOGIES,233095,USD,46132,Etairos,46173,26714,46162,Gregory Brown,AMPLIFY CELL TECHNOLOGIES,17316,32297
55397,Conversion,Invoice,Invoice,Yes,Complete,AMPLIFY CELL TECHNOLOGIES,335685,USD,46132,Etairos,46173,26714,46162,Gregory Brown,AMPLIFY CELL TECHNOLOGIES,17316,32297
55398,Conversion,Invoice,Invoice,Yes,Complete,AMPLIFY CELL TECHNOLOGIES,144150,USD,46132,Etairos,46173,26714,46162,Gregory Brown,AMPLIFY CELL TECHNOLOGIES,17316,32297
55520,Conversion,Invoice,Invoice,Yes,Complete,SOURCE BLUE,3800,USD,46139,Etairos,46173,26244,46169,Gregory Brown,SOURCE BLUE,16489,31124
55522,Conversion,Invoice,Invoice,Yes,Complete,SOURCE BLUE,2200,USD,46139,Etairos,46173,26244,46169,Gregory Brown,SOURCE BLUE,16489,31124
56267,Conversion,Invoice,Invoice,Yes,Complete,ACCURATE AIR COMPANY INC,660,USD,46171,Etairos,46173,28423,46201,Kenneth Gonzales,ACCURATE AIR COMPANY INC,17264,30587
56282,Conversion,Invoice,Invoice,Yes,Complete,OSB SERVICES LLC,4300,USD,46173,Etairos,46173,26278,46203,Kenneth Gonzales,OSB SERVICES LLC,15604,30980
56291,Conversion,Invoice,Invoice,Yes,Complete,JC HARTSFIELD CO INC,576.19,USD,46173,Etairos,46173,28336,46203,Kenneth Gonzales,JC HARTSFIELD CO INC,17000,31087
56237,Conversion,Invoice,Invoice,Yes,Complete,JC HARTSFIELD CO INC,932.88,USD,46169,Etairos,46173,28336,46199,Kenneth Gonzales,JC HARTSFIELD CO INC,17000,31087
56239,Conversion,Invoice,Invoice,Yes,Complete,JC HARTSFIELD CO INC,1821.85,USD,46169,Etairos,46173,28336,46199,Kenneth Gonzales,JC HARTSFIELD CO INC,17000,31087
39571,Conversion,Invoice,Invoice,Yes,Complete,CANOPY MEMPHIS DOWNTOWN,1245.66,USD,45412,Etairos,46173,28316,45442,Kenneth Gonzales,CANOPY MEMPHIS DOWNTOWN,15616,31788
55196,Conversion,Invoice,Invoice,Yes,Complete,JC HARTSFIELD CO INC,4938.75,USD,46112,Etairos,46173,28336,46142,Kenneth Gonzales,JC HARTSFIELD CO INC,17000,31087
55981,Conversion,Invoice,Invoice,Yes,Complete,JC HARTSFIELD CO INC,11473.36,USD,46157,Etairos,46173,28336,46187,Kenneth Gonzales,JC HARTSFIELD CO INC,17000,31087
55835,Conversion,Invoice,Invoice,Yes,Complete,GRINDER TABER & GRINDER,610252,USD,46150,Etairos,46173,27360,46180,Kenneth Gonzales,GRINDER TABER & GRINDER,17215,31938
56015,Conversion,Invoice,Invoice,Yes,Complete,OSB SERVICES LLC,85300,USD,46160,Etairos,46173,26278,46190,Kenneth Gonzales,OSB SERVICES LLC,15604,30980
55375,Conversion,Invoice,Invoice,Yes,Complete,OSB SERVICES LLC,1510,USD,46127,Etairos,46173,26278,46157,Kenneth Gonzales,OSB SERVICES LLC,15604,30980
55381,Conversion,Invoice,Invoice,Yes,Complete,JC HARTSFIELD CO INC,7885.54,USD,46127,Etairos,46173,28336,46157,Kenneth Gonzales,JC HARTSFIELD CO INC,17000,31087
56173,Conversion,Invoice,Invoice,Yes,Complete,MECHANICAL SYSTEMS COMPANY LLC,4895,USD,46163,Etairos,46173,28149,46193,Kenneth Gonzales,MECHANICAL SYSTEMS COMPANY LLC,16765,32407
56174,Conversion,Invoice,Invoice,Yes,Complete,JC HARTSFIELD CO INC,2610,USD,46163,Etairos,46173,28336,46193,Kenneth Gonzales,JC HARTSFIELD CO INC,17000,31087
54443,Conversion,Invoice,Invoice,Yes,Complete,JC HARTSFIELD CO INC,3237,USD,46079,Etairos,46173,28336,46109,Kenneth Gonzales,JC HARTSFIELD CO INC,17000,31087
55754,Conversion,Invoice,Invoice,Yes,Complete,ACCURATE AIR COMPANY INC,26425.4,USD,46142,Etairos,46173,28423,46172,Kenneth Gonzales,ACCURATE AIR COMPANY INC,17264,30587
54898,Conversion,Invoice,Invoice,Yes,Complete,JC HARTSFIELD CO INC,85900,USD,46100,Etairos,46173,28336,46130,Kenneth Gonzales,JC HARTSFIELD CO INC,17000,31087
55035,Conversion,Invoice,Invoice,Yes,Complete,ACCURATE AIR COMPANY INC,13380,USD,46106,Etairos,46173,28423,46136,Kenneth Gonzales,ACCURATE AIR COMPANY INC,17264,30587
55848,Conversion,Invoice,Invoice,Yes,Complete,MIDWEST MACHINERY KC NEWCO LLC,8808,USD,46153,Etairos,46173,26681,46183,Jacob Wilson,MIDWEST MACHINERY KC NEWCO LLC,15292,30929
55112,Conversion,Invoice,Invoice,Yes,Complete,WILLIAMS MECHANICAL SERVICES,9999,USD,46112,Etairos,46173,26974,46112,Jacob Wilson,WILLIAMS MECHANICAL SERVICES,15310,31846
55980,Conversion,Invoice,Invoice,Yes,Complete,GOODMAN MECHANICAL LLC,411.56,USD,46157,Etairos,46173,27647,46187,Jacob Wilson,GOODMAN MECHANICAL LLC,15680,31981
55854,Conversion,Invoice,Invoice,Yes,Complete,MIDWEST MACHINERY KC NEWCO LLC,3323,USD,46153,Etairos,46173,26681,46183,Jacob Wilson,MIDWEST MACHINERY KC NEWCO LLC,15292,30929
56078,Conversion,Invoice,Invoice,Yes,Complete,FEDERAL CORRECTION CENTER,75000,USD,46161,Etairos,46173,27505,46191,Jacob Wilson,FEDERAL CORRECTION CENTER,15387,31588
56087,Conversion,Invoice,Invoice,Yes,Complete,WILLIAMS MECHANICAL SERVICES,44693,USD,46161,Etairos,46173,26974,46161,Jacob Wilson,WILLIAMS MECHANICAL SERVICES,15310,31846
52637,Conversion,Invoice,Invoice,Yes,Complete,GASTRO ONE,10788,USD,45991,Etairos,46173,28252,46021,Jacob Wilson,GASTRO ONE,15224,30756
55294,Conversion,Invoice,Invoice,Yes,Complete,WILLIAMS MECHANICAL SERVICES,14500,USD,46126,Etairos,46173,26974,46126,Jacob Wilson,WILLIAMS MECHANICAL SERVICES,15310,31846
55414,Conversion,Invoice,Invoice,Yes,Complete,GOODMAN MECHANICAL LLC,4062.94,USD,46133,Etairos,46173,27647,46163,Jacob Wilson,GOODMAN MECHANICAL LLC,15680,31981
56183,Conversion,Invoice,Invoice,Yes,Complete,SOUTH COAST BAKING,16138,USD,46164,Etairos,46173,27909,46194,Jacob Wilson,SOUTH COAST BAKING,17371,30709
54075,Conversion,Invoice,Invoice,Yes,Complete,WILLIAMS MECHANICAL SERVICES,34750,USD,46064,Etairos,46173,26974,46064,Jacob Wilson,WILLIAMS MECHANICAL SERVICES,15310,31846
54123,Conversion,Invoice,Invoice,Yes,Complete,BLYTHEVILLE-GOSNELL REGIONAL AIRPORT AUTHORITY,121752,USD,46069,Etairos,46173,26280,46099,Jacob Wilson,BLYTHEVILLE-GOSNELL REGIONAL AIRPORT AUTHORITY,16904,31784
55526,Conversion,Invoice,Invoice,Yes,Complete,BLYTHEVILLE-GOSNELL REGIONAL AIRPORT AUTHORITY,42500,USD,46139,Etairos,46173,26280,46169,Jacob Wilson,BLYTHEVILLE-GOSNELL REGIONAL AIRPORT AUTHORITY,16904,31784
54864,Conversion,Invoice,Invoice,Yes,Complete,GASTRO ONE,152739,USD,46098,Etairos,46173,28252,46128,Jacob Wilson,GASTRO ONE,15224,30756
55037,Conversion,Invoice,Invoice,Yes,Complete,GASTRO ONE,6585,USD,46106,Etairos,46173,28252,46136,Jacob Wilson,GASTRO ONE,15224,30756
55550,Conversion,Invoice,Invoice,Yes,Complete,BLYTHEVILLE-GOSNELL REGIONAL AIRPORT AUTHORITY,42500,USD,46140,Etairos,46173,26280,46170,Jacob Wilson,BLYTHEVILLE-GOSNELL REGIONAL AIRPORT AUTHORITY,16904,31784
56252,Conversion,Invoice,Invoice,Yes,Complete,RGB SHEET METAL,149.76,USD,46171,Etairos,46173,26954,46201,Robert Bergin,RGB SHEET METAL,15295,30242
56257,Conversion,Invoice,Invoice,Yes,Complete,TRI STAR COMPANIES INC,97580.85,USD,46171,Etairos,46173,28441,46201,Robert Bergin,TRI STAR COMPANIES INC,17303,31323
56263,Conversion,Invoice,Invoice,Yes,Complete,BILLY ROGERS PLBG HTG & AIR,384.13,USD,46171,Etairos,46173,26502,46201,Robert Bergin,BILLY ROGERS PLBG HTG & AIR,16657,32348
56266,Conversion,Invoice,Invoice,Yes,Complete,SM LAWRENCE,79650,USD,46171,Etairos,46173,27771,46201,Robert Bergin,SM LAWRENCE,17127,31022
56284,Conversion,Invoice,Invoice,Yes,Complete,BILLY ROGERS PLBG HTG & AIR,49387.5,USD,46173,Etairos,46173,26502,46203,Robert Bergin,BILLY ROGERS PLBG HTG & AIR,16657,32348
40377,Conversion,Invoice,Invoice,Yes,Complete,CARRIER ENTER - E SYRACUSE,2058.75,USD,45442,Etairos,46173,28463,45472,Robert Bergin,CARRIER ENTER - E SYRACUSE,16537,31620
55826,Conversion,Invoice,Invoice,Yes,Complete,BILLY ROGERS PLBG HTG & AIR,2001.84,USD,46149,Etairos,46173,26502,46179,Robert Bergin,BILLY ROGERS PLBG HTG & AIR,16657,32348
56011,Conversion,Invoice,Invoice,Yes,Complete,PHILLIPS HOME SERVICES LLC,10011.67,USD,46160,Etairos,46173,27706,46190,Robert Bergin,PHILLIPS HOME SERVICES LLC,15264,30545
56025,Conversion,Invoice,Invoice,Yes,Complete,BILLY ROGERS PLBG HTG & AIR,2743.75,USD,46160,Etairos,46173,26502,46190,Robert Bergin,BILLY ROGERS PLBG HTG & AIR,16657,32348
56083,Conversion,Invoice,Invoice,Yes,Complete,SM LAWRENCE,141125,USD,46161,Etairos,46173,27771,46191,Robert Bergin,SM LAWRENCE,17127,31022
54715,Conversion,Invoice,Invoice,Yes,Complete,DENNIS ENGINEERING GROUP LLC,10000,USD,46092,Etairos,46173,27425,46122,Robert Bergin,DENNIS ENGINEERING GROUP LLC,15836,30761
54729,Conversion,Invoice,Invoice,Yes,Complete,TRI STAR COMPANIES INC,16215,USD,46092,Etairos,46173,28441,46122,Robert Bergin,TRI STAR COMPANIES INC,17303,31323
OA0054,Conversion,Credit Memo,Credit Memo,Yes,Complete,HILTON GARDEN INN - COVINGTON,-872.2,USD,44256,Etairos,46173,27520,,EBS House Account,HILTON GARDEN INN - COVINGTON,15398,31596
OA0056,Conversion,Credit Memo,Credit Memo,Yes,Complete,W A SOEFKER & SON INC,-131.7,USD,44256,Etairos,46173,27465,,EBS House Account,W A SOEFKER & SON INC,15639,31324
OA0070,Conversion,Credit Memo,Credit Memo,Yes,Complete,JEM LLC,-825,USD,44315,Etairos,46173,27364,,EBS House Account,JEM LLC,15207,30738
OA0102,Conversion,Credit Memo,Credit Memo,Yes,Complete,KERIOTH,-11.2,USD,44460,Etairos,46173,27665,,EBS House Account,KERIOTH,17151,31811
OA0120,Conversion,Credit Memo,Credit Memo,Yes,Complete,MLM MEDICAL LABS,-4090.63,USD,44533,Etairos,46173,26837,,EBS House Account,MLM MEDICAL LABS,16643,30732
OA0134,Conversion,Credit Memo,Credit Memo,Yes,Complete,HAMPTON INN LAKE CHARLES,-475,USD,44629,Etairos,46173,26657,,EBS House Account,HAMPTON INN LAKE CHARLES,15280,30830
OA0146,Conversion,Credit Memo,Credit Memo,Yes,Complete,PHENIX SALON SUITES,-45,USD,44651,Etairos,46173,28167,,EBS House Account,PHENIX SALON SUITES,16846,31589
OA0160,Conversion,Credit Memo,Credit Memo,Yes,Complete,MAKAN HOSPITALITY MANAGEMENT,-54.72,USD,44733,Etairos,46173,28195,,EBS House Account,MAKAN HOSPITALITY MANAGEMENT,15785,31424
OA0162,Conversion,Credit Memo,Credit Memo,Yes,Complete,HAJOCA CORPORATION/ FT SMITH,-215,USD,44736,Etairos,46173,28028,,EBS House Account,HAJOCA CORPORATION/ FT SMITH,16731,30566
OA0207,Conversion,Credit Memo,Credit Memo,Yes,Complete,TEXAS AIR SYSTEMS,-14.63,USD,44963,Etairos,46173,26829,,EBS House Account,TEXAS AIR SYSTEMS,16685,30550
OA0223,Conversion,Credit Memo,Credit Memo,Yes,Complete,TRANE OF MEMPHIS,-780,USD,45035,Etairos,46173,26508,,EBS House Account,TRANE OF MEMPHIS,15979,30574
OA0230,Conversion,Credit Memo,Credit Memo,Yes,Complete,MORGAN & THORNBURG INC,-109.75,USD,45120,Etairos,46173,27014,,EBS House Account,MORGAN & THORNBURG INC,16511,32149
OA0231,Conversion,Credit Memo,Credit Memo,Yes,Complete,NORFOLK SOUTHERN INTERMODAL TERMINAL,-1885.96,USD,45124,Etairos,46173,26556,,EBS House Account,NORFOLK SOUTHERN INTERMODAL TERMINAL,16429,31935
OA0252,Conversion,Credit Memo,Credit Memo,Yes,Complete,SALVATION REVELATION MINISTRIE,-32.11,USD,45342,Etairos,46173,27648,,EBS House Account,SALVATION REVELATION MINISTRIE,16315,30913
OA0302,Conversion,Credit Memo,Credit Memo,Yes,Complete,JOHNSON CONTROLS MEMPHIS,-4136,USD,45618,Etairos,46173,26977,,EBS House Account,JOHNSON CONTROLS MEMPHIS,15317,31038
OA0304,Conversion,Credit Memo,Credit Memo,Yes,Complete,SWITCH MEDICAL WASTE SERVICES,-10,USD,45636,Etairos,46173,27923,,EBS House Account,SWITCH MEDICAL WASTE SERVICES,15906,31730
OA0265,Conversion,Credit Memo,Credit Memo,Yes,Complete,UPCHURCH SERVICES RIDGELAND,-54.73,USD,45425,Etairos,46173,27373,,EBS House Account,UPCHURCH SERVICES RIDGELAND,16784,31371
OA0269,Conversion,Credit Memo,Credit Memo,Yes,Complete,KERIOTH,-3673.42,USD,45436,Etairos,46173,27665,,EBS House Account,KERIOTH,17151,31811
OA0275,Conversion,Credit Memo,Credit Memo,Yes,Complete,J L ROBERTS MECHANICAL,-15000,USD,45489,Etairos,46173,27778,,EBS House Account,J L ROBERTS MECHANICAL,16500,31218
OA0301,Conversion,Credit Memo,Credit Memo,Yes,Complete,UNIVERSITY OF MISSISSIPPI,-6370.04,USD,45618,Etairos,46173,28440,,EBS House Account,UNIVERSITY OF MISSISSIPPI,17302,30332
OA0311,Conversion,Credit Memo,Credit Memo,Yes,Complete,ARROW MECHANICAL,-979.47,USD,45684,Etairos,46173,28274,,EBS House Account,ARROW MECHANICAL,15537,30871
OA0313,Conversion,Credit Memo,Credit Memo,Yes,Complete,SOEFKER SERVICES,-131.7,USD,45693,Etairos,46173,27077,,EBS House Account,SOEFKER SERVICES,16104,31859
OA0317,Conversion,Credit Memo,Credit Memo,Yes,Complete,NORFOLK SOUTHERN INTERMODAL TERMINAL,-436,USD,45772,Etairos,46173,26556,,EBS House Account,NORFOLK SOUTHERN INTERMODAL TERMINAL,16429,31935
OA0326,Conversion,Credit Memo,Credit Memo,Yes,Complete,EVERROAD MECHANICAL CONTRACTOR,-500,USD,45812,Etairos,46173,27507,,EBS House Account,EVERROAD MECHANICAL CONTRACTOR,16880,31761
OA0345,Conversion,Credit Memo,Credit Memo,Yes,Complete,HOBBS & ASSOCIATES INC,-2105,USD,45876,Etairos,46173,27836,,EBS House Account,HOBBS & ASSOCIATES INC,16911,30799
OA0356,Conversion,Credit Memo,Credit Memo,Yes,Complete,ALPHA ENERGY SOLUTIONS,-97,USD,45909,Etairos,46173,28227,,EBS House Account,ALPHA ENERGY SOLUTIONS,16636,31533
OA0371,Conversion,Credit Memo,Credit Memo,Yes,Complete,CASH,-88.9,USD,45975,Etairos,46173,28004,,EBS House Account,CASH,17146,32245
OA0378,Conversion,Credit Memo,Credit Memo,Yes,Complete,CALIBER COLLISION,-820,USD,46024,Etairos,46173,27377,,EBS House Account,CALIBER COLLISION,15829,32382
OA0380,Conversion,Credit Memo,Credit Memo,Yes,Complete,MARTIN & WHITE,-0.09,USD,46045,Etairos,46173,27102,,EBS House Account,MARTIN & WHITE,16126,31774
OA0385,Conversion,Credit Memo,Credit Memo,Yes,Complete,CHAWLA HOTELS,-588.5,USD,46070,Etairos,46173,26590,,EBS House Account,CHAWLA HOTELS,17210,30416
OA0387,Conversion,Credit Memo,Credit Memo,Yes,Complete,CHAWLA HOTELS,-588.5,USD,46076,Etairos,46173,26590,,EBS House Account,CHAWLA HOTELS,17210,30416
OA0390,Conversion,Credit Memo,Credit Memo,Yes,Complete,PIKE COUNTY,-800,USD,46097,Etairos,46173,26826,,EBS House Account,PIKE COUNTY,16682,30461
OA0392,Conversion,Credit Memo,Credit Memo,Yes,Complete,MEMPHIS JOB CORPS FINANCE DEPT,-525,USD,46118,Etairos,46173,27165,,EBS House Account,MEMPHIS JOB CORPS FINANCE DEPT,17012,31709
OA0395,Conversion,Credit Memo,Credit Memo,Yes,Complete,SOEFKER SERVICES,-1210.54,USD,46148,Etairos,46173,27077,,EBS House Account,SOEFKER SERVICES,16104,31859
OA0396,Conversion,Credit Memo,Credit Memo,Yes,Complete,SOEFKER SERVICES,-53.6,USD,46148,Etairos,46173,27077,,EBS House Account,SOEFKER SERVICES,16104,31859
OA0398,Conversion,Credit Memo,Credit Memo,Yes,Complete,GASTRO ONE,-2785.31,USD,46155,Etairos,46173,28252,,EBS House Account,GASTRO ONE,15224,30756
OA0399,Conversion,Credit Memo,Credit Memo,Yes,Complete,GASTRO ONE,-250,USD,46168,Etairos,46173,28252,,EBS House Account,GASTRO ONE,15224,30756
OA0400,Conversion,Credit Memo,Credit Memo,Yes,Complete,AIRE SERV OF TIPTON COUNTY / M,-669,USD,46168,Etairos,46173,28080,,EBS House Account,AIRE SERV OF TIPTON COUNTY / M,16199,32448
OA0394,Conversion,Credit Memo,Credit Memo,Yes,Complete,ENGINEERED COMFORT INC,-1014.09,USD,46146,Etairos,46173,28097,,EBS House Account,ENGINEERED COMFORT INC,16212,30487
56249,Conversion,Invoice,Invoice,Yes,Complete,HOWARD INDUSTRIES,717,USD,46171,Etairos,46173,27854,46201,EBS House Account,HOWARD INDUSTRIES,16853,31949
56250,Conversion,Invoice,Invoice,Yes,Complete,KERIOTH,2447.41,USD,46171,Etairos,46173,27665,46201,EBS House Account,KERIOTH,17151,31811
56251,Conversion,Invoice,Invoice,Yes,Complete,IVEY MECHANICAL CO LLC,920,USD,46171,Etairos,46173,28305,46201,EBS House Account,IVEY MECHANICAL CO LLC,16191,32446
56260,Conversion,Invoice,Invoice,Yes,Complete,AIR COMPONENTS INC,100,USD,46171,Etairos,46173,26436,46201,EBS House Account,AIR COMPONENTS INC,16404,31378
56271,Conversion,Invoice,Invoice,Yes,Complete,KNIGHT HEAT AND AIR,1202.86,USD,46171,Etairos,46173,27176,46201,EBS House Account,KNIGHT HEAT AND AIR,16236,31100
56273,Conversion,Invoice,Invoice,Yes,Complete,COLLIERVILLE SCHOOLS,172,USD,46171,Etairos,46173,26937,46201,EBS House Account,COLLIERVILLE SCHOOLS,15757,31610
56275,Conversion,Invoice,Invoice,Yes,Complete,MARTIN & WHITE,30.73,USD,46171,Etairos,46173,27102,46201,EBS House Account,MARTIN & WHITE,16126,31774
56278,Conversion,Invoice,Invoice,Yes,Complete,CASH,2277.31,USD,46172,Etairos,46173,28004,46202,EBS House Account,CASH,17146,32245
56279,Conversion,Invoice,Invoice,Yes,Complete,AIRETECH CORP,82.8,USD,46172,Etairos,46173,28424,46202,EBS House Account,AIRETECH CORP,16519,32017
56280,Conversion,Invoice,Invoice,Yes,Complete,A & P SHEET METAL,41.71,USD,46172,Etairos,46173,28365,46202,EBS House Account,A & P SHEET METAL,16400,31006
56289,Conversion,Invoice,Invoice,Yes,Complete,AIR COMPONENTS INC,868,USD,46173,Etairos,46173,26436,46203,EBS House Account,AIR COMPONENTS INC,16404,31378
56293,Conversion,Invoice,Invoice,Yes,Complete,HYATT CENTRIC BEALE STREET,4728.77,USD,46173,Etairos,46173,27110,46203,EBS House Account,HYATT CENTRIC BEALE STREET,16182,30797
56295,Conversion,Invoice,Invoice,Yes,Complete,AMERICAN ESOTERIC LABORATORIES,70354.88,USD,46173,Etairos,46173,27982,46203,EBS House Account,AMERICAN ESOTERIC LABORATORIES,15667,32103
56297,Conversion,Invoice,Invoice,Yes,Complete,REGIONAL ONE HEALTH,765,USD,46173,Etairos,46173,27259,46203,EBS House Account,REGIONAL ONE HEALTH,15871,30727
56298,Conversion,Invoice,Invoice,Yes,Complete,UNIVERSITY OF MEMPHIS,695,USD,46173,Etairos,46173,27623,46203,EBS House Account,UNIVERSITY OF MEMPHIS,15963,30743
56301,Conversion,Invoice,Invoice,Yes,Complete,COURTYARD BY MARRIOTT,2321.34,USD,46173,Etairos,46173,26982,46203,EBS House Account,COURTYARD BY MARRIOTT,15930,31039
56302,Conversion,Invoice,Invoice,Yes,Complete,GASTRO ONE,1684.82,USD,46173,Etairos,46173,28252,46203,EBS House Account,GASTRO ONE,15224,30756
56303,Conversion,Invoice,Invoice,Yes,Complete,JM SMUCKER COMPANY,688.29,USD,46173,Etairos,46173,27136,46203,EBS House Account,JM SMUCKER COMPANY,16534,30344
56304,Conversion,Invoice,Invoice,Yes,Complete,JM SMUCKER COMPANY,19995.94,USD,46173,Etairos,46173,27136,46203,EBS House Account,JM SMUCKER COMPANY,16534,30344
56305,Conversion,Invoice,Invoice,Yes,Complete,WHATABURGER,1574.24,USD,46173,Etairos,46173,27862,46203,EBS House Account,WHATABURGER,15602,31598
56306,Conversion,Invoice,Invoice,Yes,Complete,SM LAWRENCE CO,1196,USD,46173,Etairos,46173,26629,46203,EBS House Account,SM LAWRENCE CO,16865,30354
56307,Conversion,Invoice,Invoice,Yes,Complete,SPRINGHILL SUITES - DOWNTOWN,243.29,USD,46173,Etairos,46173,27687,46203,EBS House Account,SPRINGHILL SUITES - DOWNTOWN,15856,32185
56308,Conversion,Invoice,Invoice,Yes,Complete,ALLIANCE HEALTH SERVICES,1955,USD,46173,Etairos,46173,26971,46203,EBS House Account,ALLIANCE HEALTH SERVICES,16061,30256
56310,Conversion,Invoice,Invoice,Yes,Complete,MEMPHIS SCHOOL OF EXCELLENCE,685,USD,46173,Etairos,46173,26730,46203,EBS House Account,MEMPHIS SCHOOL OF EXCELLENCE,15795,32183
56314,Conversion,Invoice,Invoice,Yes,Complete,SHREYA INVESTMENTS,939.25,USD,46173,Etairos,46173,27605,46203,EBS House Account,SHREYA INVESTMENTS,15909,30809
56315,Conversion,Invoice,Invoice,Yes,Complete,1385 CORPORATE AVENUE LLC,243.29,USD,46173,Etairos,46173,28142,46203,EBS House Account,1385 CORPORATE AVENUE LLC,17260,30426
56316,Conversion,Invoice,Invoice,Yes,Complete,SUMMIT OF GERMANTOWN,263.29,USD,46173,Etairos,46173,27896,46203,EBS House Account,SUMMIT OF GERMANTOWN,17294,32051
56317,Conversion,Invoice,Invoice,Yes,Complete,A1 HANDYMAN SERVICES,122.71,USD,46172,Etairos,46173,26713,46202,EBS House Account,A1 HANDYMAN SERVICES,16586,30623
56309,Conversion,Invoice,Invoice,Yes,Complete,DYER COUNTY BOARD OF EDUCATION,4610.71,USD,46173,Etairos,46173,26807,46203,EBS House Account,DYER COUNTY BOARD OF EDUCATION,16079,31941
56322,Conversion,Invoice,Invoice,Yes,Complete,WALKER-J-WALKER INC,1343.35,USD,46173,Etairos,46173,27397,46203,EBS House Account,WALKER-J-WALKER INC,16758,30670
56324,Conversion,Invoice,Invoice,Yes,Complete,CULLEY MECHANICAL,2349.92,USD,46173,Etairos,46173,26452,46203,EBS House Account,CULLEY MECHANICAL,15694,32210
56325,Conversion,Invoice,Invoice,Yes,Complete,ALL FLORIDA MECHANICAL SERVICE,747.67,USD,46173,Etairos,46173,27958,46203,EBS House Account,ALL FLORIDA MECHANICAL SERVICE,15364,30270
