Source Entity,Source Account #,Source Product Line,Product Line Description,Source Branch,Branch Description,Source Description,Account Number,Account Desc
Etairos,1100,0,Equipment,0,Headquarters,Receivable Other:,11010,Trade accounts receivable
Etairos,1110,0,Equipment,0,Headquarters,Accounts Receivable:,11010,Trade accounts receivable
Etairos,1111,0,Equipment,0,Headquarters,Ar-Gs,11010,Trade accounts receivable
Etairos,1112,0,Equipment,0,Headquarters,Ar-Mwg,11010,Trade accounts receivable
Etairos,1113,0,Equipment,0,Headquarters,Accts Rec Allow For Bad Debt,11499,Allowance for doubt accounts
Etairos,1115,0,Equipment,0,Headquarters,Accts Receivable Ford,11010,Trade accounts receivable
Etairos,1120,0,Equipment,0,Headquarters,Employee Loans,13090,Employee Advances
Etairos,1130,0,Equipment,0,Headquarters,Receivable From Stockholder,11250,Other receivables
Etairos,1150,0,Equipment,0,Headquarters,Retainage Receivable,11010,Trade accounts receivable
Etairos,1150,0,Equipment,1,Memphis,Retainage,11010,Trade accounts receivable
Etairos,1150,1,Equipment,0,Headquarters,Retainage,11010,Trade accounts receivable
Etairos,1160,0,Equipment,0,Headquarters,Note Receivable-Greg Brown,11510,Notes Receivable
Etairos,1170,0,Equipment,0,Headquarters,Deferred Charges,13010,Prepaid expenses
Etairos,1180,0,Equipment,0,Headquarters,Inventory,12000,Inventory
Etairos,1180,1,Equipment,1,Memphis,Inventory Equipment Mph,12000,Inventory
Etairos,1180,1,Equipment,2,Jackson,Inventory Service Memphis,12000,Inventory
Etairos,1180,1,Equipment,3,Arkansas,Inventory: Parts Memphis,12000,Inventory
Etairos,1180,1,Equipment,4,Headquarters,Inventory Ad Memphis,12000,Inventory
Etairos,1180,2,Service,1,Memphis,Inventory Service Memphis,12000,Inventory
Etairos,1180,2,Service,2,Jackson,Inventory Service Jackson,12000,Inventory
Etairos,1180,2,Service,3,Arkansas,Inventory Parts Jackson,12000,Inventory
Etairos,1180,3,Parts,1,Memphis,Inventory: Parts Memphis,12000,Inventory
Etairos,1180,3,Parts,2,Jackson,Inventory Parts Jackson,12000,Inventory
Etairos,1180,3,Parts,3,Arkansas,Inventroy Parts Little Rock,12000,Inventory
Etairos,1180,4,General/HQ,1,Memphis,Inventory Ad Memphis,12000,Inventory
Etairos,1185,0,Equipment,0,Headquarters,Inventory Reserve,12070,Inventory Reserve
Etairos,1190,0,Equipment,0,Headquarters,Inventory Clearing,12000,Inventory
Etairos,1190,1,Equipment,3,Arkansas,Inventory Clearing-Memphis,12000,Inventory
Etairos,1190,2,Service,3,Arkansas,Inventory Clearing - Jackson,12000,Inventory
Etairos,1200,0,Equipment,0,Headquarters,Non Stock Clearing:,12000,Inventory
Etairos,1210,0,Equipment,0,Headquarters,Leasehold Improvements,14250,Leasehold Improvement
Etairos,1215,0,Equipment,0,Headquarters,Construction In Process,14125,Building
Etairos,1220,0,Equipment,0,Headquarters,Accum Depreciation,14750,A/D Leasehold imprvmts
Etairos,1220,0,Equipment,0,Headquarters,Accum Deprn - Leasehold Impr,14750,A/D Leasehold imprvmts
Etairos,1250,0,Equipment,0,Headquarters,Equipment & Furnishings,14150,Furniture/fixtures
Etairos,1260,0,Equipment,0,Headquarters,Accum Deprn - Equipment & Furn,14650,A/D Furniture/fixtures
Etairos,1260,0,Equipment,0,Headquarters,Dnu Accum Deprn -,14650,A/D Furniture/fixtures
Etairos,1265,0,Equipment,0,Headquarters,Accruals,13900,Other Current Assets
Etairos,1300,0,Equipment,0,Headquarters,Autos:,14200,Vehicles
Etairos,1310,0,Equipment,0,Headquarters,Accum Deprn - Autos,14700,AD Vehicles
Etairos,1310,0,Equipment,0,Headquarters,Dnu Accum Deprn,14700,AD Vehicles
Etairos,1400,0,Equipment,0,Headquarters,Prepaid Hobbs Expense,13010,Prepaid expenses
Etairos,1400,0,Equipment,0,Headquarters,Prepaid Other,13010,Prepaid expenses
Etairos,1405,0,Equipment,0,Headquarters,Security Deposit-Mlgw,16000,Deposits
Etairos,1410,0,Equipment,0,Headquarters,Tn Sales Tax Overpayment,22102,Sales tax payable-TN
Etairos,1415,0,General/HQ,0,Headquarters,Prepaid Deposit Crestview,13010,Prepaid expenses
Etairos,1416,0,General/HQ,0,Headquarters,Prepaid Rent Crestview,13010,Prepaid expenses
Etairos,1420,0,Equipment,0,Headquarters,Prepaid Income Tax,13010,Prepaid expenses
Etairos,1425,0,Equipment,0,Headquarters,Prepaid Expense,13010,Prepaid expenses
Etairos,1450,0,Equipment,0,Headquarters,Intercompany Receivable,19000,Intercompany
Etairos,1550,0,Equipment,0,Headquarters,Cash Value Officers Life Ins.,13010,Prepaid expenses
Etairos,1560,0,Equipment,0,Headquarters,Loan Closing Cost,17010,Goodwill
Etairos,1565,0,Equipment,0,Headquarters,Loan Closing Cost Loc Guaranty,17010,Goodwill
Etairos,1566,0,Equipment,0,Headquarters,Accum Amortization,17900,Accumulated Amortization
Etairos,1600,0,Equipment,0,Headquarters,Goodwill,17010,Goodwill
Etairos,1800,0,Equipment,0,Headquarters,Rou Asset,14400,ROUA Operating Leases
Etairos,2010,0,Equipment,0,Headquarters,Note Payable Iberiabank,26052,Notes Payable
Etairos,2014,0,Equipment,0,Headquarters,Ar Crs Reclass To Liability,20000,Accounts payable
Etairos,2015,0,Equipment,0,Headquarters,Note Payable First Commercial,26001,Notes Payable
Etairos,2020,0,Equipment,0,Headquarters,Note Payable - Autos,26002,Notes Payable
Etairos,2020,0,Equipment,1,Memphis,Note Payable - Autos,26002,Notes Payable
Etairos,2020,1,Equipment,1,Memphis,Note Payable Autos,26053,Notes Payable
Etairos,2021,0,Equipment,0,Headquarters,Np-Guaranty Bank Loc,26003,Notes Payable
Etairos,2025,0,Equipment,0,Headquarters,Dts Ppp Loan,26054,Notes Payable
Etairos,2030,0,Equipment,0,Headquarters,Note Payable - Shareholders,26055,Notes Payable
Etairos,2035,0,Equipment,0,Headquarters,Due To/From-Hobbs,19100,Due to Hobbs & Associates
Etairos,2040,0,Equipment,0,Headquarters,Np-Ppp Loan Guaranty Bk,26004,Notes Payable
Etairos,2045,0,General/HQ,0,Headquarters,Due To/From Air,19121,Due To/From Air Control Concepts
Etairos,2048,0,Equipment,0,Headquarters,St Lease Liability,22403,Operating Lease Liabilities-ST
Etairos,2049,0,Equipment,0,Headquarters,Lt Lease Liability,25010,Long Term Operating Lease
Etairos,2050,0,Equipment,0,Headquarters,Accounts Payable,20005,Accounts payable
Etairos,2051,0,Equipment,0,Headquarters,Ap-Gs,20006,Accounts payable
Etairos,2052,0,Equipment,0,Headquarters,Ap-Mwg,20007,Accounts payable
Etairos,2054,0,Equipment,0,Headquarters,Ap: Outstanding Checks,20020,A/P-Other (Receipts)
Etairos,2055,0,Equipment,0,Headquarters,Checks Due To Vendor,20000,Accounts payable
Etairos,2060,0,Equipment,0,Headquarters,Due To G/S Real Estate,19000,Intercompany
Etairos,2070,0,Equipment,0,Headquarters,Retainage Payable,20020,A/P-Other (Receipts)
Etairos,2080,0,Equipment,0,Headquarters,Inventory Accrual,22010,Accrued Expenses
Etairos,2090,0,Equipment,0,Headquarters,Due To/From Ernie Strahan,19000,Intercompany
Etairos,2100,0,Equipment,0,Headquarters,Accrued Expenses,22010,Accrued Expenses
Etairos,2150,0,Equipment,0,Headquarters,Other Accrued Expenses,22010,Accrued Expenses
Etairos,2200,0,Equipment,0,Headquarters,Fica & Withholding,21100,FICA Tax Payable
Etairos,2210,0,Equipment,0,Headquarters,Ms Suta Payable,21060,SUTA Tax Payable
Etairos,2220,0,Equipment,0,Headquarters,Mississippi Withholding,21060,SUTA Tax Payable
Etairos,2240,0,Equipment,0,Headquarters,Arkansas Withholding,21060,SUTA Tax Payable
Etairos,2250,0,Equipment,0,Headquarters,Futa Accrual,21040,FUTA Tax Payable
Etairos,2255,0,Equipment,0,Headquarters,Suta Payable,21060,SUTA Tax Payable
Etairos,2260,0,Equipment,0,Headquarters,Tdes Accrual,22010,Accrued Expenses
Etairos,2265,0,Equipment,0,Headquarters,Customer Deposits,22310,Billings in Excess of Cost
Etairos,2270,0,Equipment,0,Headquarters,Deferred Revenue,22310,Billings in Excess of Cost
Etairos,2300,0,Equipment,0,Headquarters,Sales Tax Payable,22100,Sales tax payable
Etairos,2300,0,Equipment,3,Arkansas,Sales Tax Payable,22100,Sales tax payable
Etairos,2320,0,Equipment,0,Headquarters,Due To/From Ovrhd Aircomponent,19113,Due To/(From)-Air Components
Etairos,2330,0,Equipment,0,Headquarters,Mississippi Sales Tax,22112,Sales tax payable-MS
Etairos,2333,0,Equipment,0,Headquarters,Jackson Mississppi Sales Tax,22100,Sales tax payable
Etairos,2335,0,Equipment,0,Headquarters,Accrued Ms Sales Tax,22112,Sales tax payable-MS
Etairos,2340,0,Equipment,0,Headquarters,Arkansas Sales Tax,22104,Sales tax payable-AR
Etairos,2345,0,Equipment,0,Headquarters,Tn Business Tax Payable,22102,Sales tax payable-TN
Etairos,2350,0,Equipment,0,Headquarters,Accrued Bonuses,21015,Bonus Accrual
Etairos,2350,0,Equipment,0,Headquarters,Accrued Salaries,21010,Salaries and Wages Payable
Etairos,2353,0,Equipment,0,Headquarters,Accured Payroll,21000,Payroll Accrual
Etairos,2355,0,Equipment,0,Headquarters,Accrued Commissions,21090,Commissions Payable
Etairos,2360,0,Equipment,0,Headquarters,Accrued 125 Plan Contribution,21080,Benefits Payable
Etairos,2365,0,Equipment,0,Headquarters,Hsa Plan,21030,HSA Payable
Etairos,2370,0,Equipment,0,Headquarters,Florida Sales Tax,22105,Sales tax payable-FL
Etairos,2390,0,Equipment,0,Headquarters,Income Taxes Payable,22230,Income taxes Payable
Etairos,2400,0,Equipment,0,Headquarters,Accrued Profit Sharing/Pension,21090,Commissions Payable
Etairos,2401,0,Equipment,0,Headquarters,401K Loan Repayment,21020,401 K deductions payable
Etairos,2440,0,Equipment,0,Headquarters,Employee Insurance Withholding,21080,Benefits Payable
Etairos,2450,0,Equipment,0,Headquarters,Federal Income Taxes Payable,22210,Income taxes payable - Federal
Etairos,2500,0,Equipment,0,Headquarters,State Income Tax Payable,22220,Income taxes Payable - State
Etairos,2510,0,Equipment,0,Headquarters,Accrued Fran,22010,Accrued Expenses
Etairos,2520,0,Equipment,0,Headquarters,Tn Corp Taxes Payable,22300,Other taxes payable
Etairos,2521,0,Equipment,0,Headquarters,Ms Corp Taxes Payable,22300,Other taxes payable
Etairos,2522,0,Equipment,0,Headquarters,Ar Corp Taxes Payable,22300,Other taxes payable
Etairos,2550,0,Equipment,0,Headquarters,Long Term Debt,25000,Long-term Liabilities
Etairos,2600,0,Equipment,0,Headquarters,Due To/From Air Components,19513,Due To/From Trade - Air Components
Etairos,2601,0,Equipment,0,Headquarters,Due To/From Faulkner Haynes,19124,Due To/(From)-Hahn Mason
Etairos,2605,0,Equipment,0,Headquarters,Due To/From Insight Partners,19112,Due To/(From)-HT Carolinas
Etairos,2606,0,Equipment,0,Headquarters,Due To/From Airetech,19104,Due To/(From)-Airtech
Etairos,2607,0,Equipment,0,Headquarters,Due To/From Northrich Co.,19106,Due To/(From)-Northrich
Etairos,2609,0,Equipment,0,Headquarters,Due To/From Bay Associates,19070,"Due To/(From)-Bay & Assoc, LLC"
Etairos,2610,0,Equipment,0,Headquarters,Due To/From Jm O'Connor,19142,Due To/(From)-Jm O'Connor
Etairos,2611,0,Equipment,0,Headquarters,Due To/From Klima New York,19050,"Due To/(From)-Klima N.Y., LLC"
Etairos,2612,0,General/HQ,0,Headquarters,Due To/From Marrs,19134,Due To/(From)-Marrs Distro
Etairos,2613,0,Equipment,0,Headquarters,Due To/From Midwest Mechanical,19127,Due To/(From)-Midwest Mech Sol
Etairos,2614,0,Equipment,0,Headquarters,Due To/From Air Carolinas Gvil,19150,Due To/(From)-Air Carolinas
Etairos,2615,0,Equipment,0,Headquarters,Due To/From Bcs,19157,Due To/(From)-Building Controls & Services
Etairos,3000,0,Equipment,0,Headquarters,Common Stock,30010,Common stock
Etairos,3050,0,Equipment,0,Headquarters,Capital-Gs,30080,Investors-Other
Etairos,3060,0,Equipment,0,Headquarters,Capital-Mwg,30080,Investors-Other
Etairos,3070,0,Equipment,0,Headquarters,Capital Dts,30080,Investors-Other
Etairos,3075,0,Equipment,0,Headquarters,Due To/From,19000,Intercompany
Etairos,3100,0,Equipment,0,Headquarters,Retained Earnings,30030,Retained earnings
Etairos,3908,0,Equipment,0,Headquarters,Net Parent Investment,39080,Net Parent Investment
Etairos,4010,1,Equipment,1,Memphis,Sales - Equipment Memphis,40100,Revenue
Etairos,4010,1,Equipment,2,Jackson,Sales Jackson Ms,40100,Revenue
Etairos,4010,1,Equipment,3,Arkansas,Sales Equip Little Rock,40100,Revenue
Etairos,4010,2,Service,1,Memphis,Service Installation Memphis,40100,Revenue
Etairos,4010,4,General/HQ,1,Memphis,Sales Ad Memphis,40100,Revenue
Etairos,4015,1,Equipment,1,Memphis,Sales Ad Memphis,40100,Revenue
Etairos,4015,1,Service,2,Jackson,Sales Ad Jackson,40100,Revenue
Etairos,4020,2,Service,1,Memphis,Service Labor Memphis,40100,Revenue
Etairos,4020,2,Service,2,Jackson,Service Labor Jackson,40100,Revenue
Etairos,4025,1,Hydronic,1,Memphis,Sales Hydronics Memphis,40100,Revenue
Etairos,4025,1,Hydronic,2,Jackson,Sales Hydronics,40100,Revenue
Etairos,4030,2,Service,1,Memphis,Service Parts Memphis,40100,Revenue
Etairos,4030,2,Service,2,Jackson,Service Parts Jackson,40100,Revenue
Etairos,4040,1,Parts,1,Memphis,Sales Parts Equip Memphis,40100,Revenue
Etairos,4040,3,Parts,1,Memphis,Sales Parts Memphis,40100,Revenue
Etairos,4040,3,Parts,2,Jackson,Sales Parts Jackson,40100,Revenue
Etairos,4040,3,Parts,3,Arkansas,Sales Parts - Ar,40100,Revenue
Etairos,4040,4,General/HQ,1,Memphis,Dnu Sales Ad Memphis,40100,Revenue
Etairos,4045,3,Parts,1,Memphis,Aaon Parts Sales Memphis,40100,Revenue
Etairos,4045,3,Parts,2,Jackson,Aaon Parts Sales Ms,40100,Revenue
Etairos,4046,3,Parts,1,Memphis,Stock Ad Sales Parts Memphis,40100,Revenue
Etairos,4047,3,Parts,1,Memphis,Stock Equip Sales Parts Mem,40100,Revenue
Etairos,4048,3,Parts,1,Memphis,Aftermarket Filter Sales Parts,40100,Revenue
Etairos,4048,3,Parts,2,Jackson,Aftermarket Filter Sales Parts,40100,Revenue
Etairos,4050,3,Parts,1,Memphis,Freight Sales Parts Memphis,40500,Shipping
Etairos,4050,3,Parts,2,Jackson,Freight Sales Parts Jackson,40500,Shipping
Etairos,4050,3,Parts,3,Arkansas,Freight Sales Ar,40500,Shipping
Etairos,4080,2,Service,1,Memphis,Service Agreements Mem,40100,Revenue
Etairos,4080,2,Service,2,Jackson,Service Agreements Ms,40100,Revenue
Etairos,4090,1,Equipment,1,Memphis,Dnu Inter-Co Part Memphis,49999,Intercompany Revenue
Etairos,4090,1,Equipment,1,Memphis,Inter-Co Eqp Memphis,49999,Intercompany Revenue
Etairos,4090,1,Equipment,1,Memphis,Intra-Co Eqp Memphis,49999,Intercompany Revenue
Etairos,4090,1,Equipment,2,Jackson,Dnu Inter-Co Part Memphis,49999,Intercompany Revenue
Etairos,4090,1,Equipment,2,Jackson,Inter-Co Equipment Ms,49999,Intercompany Revenue
Etairos,4090,1,Service,2,Jackson,Intra-Co Equipment Ms,49998,Intra Business Revenue
Etairos,4090,2,Service,1,Memphis,Dnu Inter-Co Part Memphis,49999,Intercompany Revenue
Etairos,4090,2,Service,1,Memphis,Inter Co Service Memphis,49999,Intercompany Revenue
Etairos,4090,2,Service,1,Memphis,Intra Co Service Memphis,49999,Intercompany Revenue
Etairos,4090,2,Service,2,Jackson,Dnu Inter-Co Part Memphis,49999,Intercompany Revenue
Etairos,4090,2,Service,2,Jackson,Inter Co Service Ms,49999,Intercompany Revenue
Etairos,4090,2,Service,2,Jackson,Intra Co Service Ms,49999,Intercompany Revenue
Etairos,4090,2,Service,3,Arkansas,Interco Service Ar,49999,Intercompany Revenue
Etairos,4090,3,Parts,1,Memphis,Dnu Inter-Co Part Memphis,49999,Intercompany Revenue
Etairos,4090,3,Parts,2,Jackson,Dnu Inter-Co Part Memphis,49999,Intercompany Revenue
Etairos,4090,3,Parts,2,Jackson,Dnu Inter-Co Parts Ms,49999,Intercompany Revenue
Etairos,4090,3,Parts,3,Arkansas,Interco Parts Ar,49999,Intercompany Revenue
Etairos,4100,1,Equipment,1,Memphis,Commissions Eqp Memphis,40200,Commissions
Etairos,4100,1,Equipment,2,Jackson,Commissions Eqp Ms,40200,Commissions
Etairos,4100,1,Equipment,3,Arkansas,Commission Ar,40200,Commissions
Etairos,4100,3,Parts,1,Memphis,Commissions Parts Memphis,40200,Commissions
Etairos,4100,3,Parts,2,Jackson,Commission Parts Ms,40200,Commissions
Etairos,4100,3,Parts,3,Arkansas,Commission Parts Ar,40200,Commissions
Etairos,4100,4,General/HQ,1,Memphis,Commissions Ad Memphis,40200,Commissions
Etairos,4105,1,Hydronic,2,Jackson,Commission Hydronics Jackson,40200,Commissions
Etairos,4120,1,Equipment,1,Memphis,Inter Co Sales Eqp Memphis,49999,Intercompany Revenue
Etairos,4120,3,Parts,1,Memphis,Inter Co Sales Parts Memphis,49999,Intercompany Revenue
Etairos,4120,3,Parts,1,Memphis,Intra Co Sales Parts Mem,49999,Intercompany Revenue
Etairos,4120,3,Parts,2,Jackson,Inter Co Sales Parts Ms,49999,Intercompany Revenue
Etairos,4120,3,Parts,2,Jackson,Intra Co Sales Parts Ms,49999,Intercompany Revenue
Etairos,4200,2,Service,1,Memphis,Truck Environmental Svc Memphi,40100,Revenue
Etairos,4200,2,Service,2,Jackson,Truck Environmental Svc Ms,40100,Revenue
Etairos,4200,3,Parts,1,Memphis,Freight Sales Parts Memphis,40500,Shipping
Etairos,4200,4,General/HQ,1,Memphis,Truck Environmental Bas Mem,40100,Revenue
Etairos,4250,1,Equipment,1,Memphis,Freight Sales Eqp Memphis,40500,Shipping
Etairos,4300,1,Equipment,1,Memphis,Credit Card Fee Eq Mem,69120,Fees- Credit Card
Etairos,4300,1,Equipment,2,Jackson,Credit Card Fee Eq Ms,69120,Fees- Credit Card
Etairos,4300,2,Service,1,Memphis,Credit Card Fee Svc Mem,69120,Fees- Credit Card
Etairos,4300,2,Service,2,Jackson,Credit Card Fee Svc Ms,69120,Fees- Credit Card
Etairos,4300,3,Parts,1,Memphis,Credit Card Fee Parts Memphis,69120,Fees- Credit Card
Etairos,4300,3,Parts,2,Jackson,Credit Card Fee Parts Ms,69120,Fees- Credit Card
Etairos,4300,4,General/HQ,1,Memphis,Credit Card Fee Ad Memphis,69120,Fees- Credit Card
Etairos,4400,1,Equipment,1,Memphis,Other Income/Misc Equip Mem,91000,Other Income/Expenses
Etairos,4400,1,Equipment,2,Jackson,Other Income/Misc Equip Jx,91000,Other Income/Expenses
Etairos,4400,1,Equipment,3,Arkansas,Other Income/Misc Equip Ar,91000,Other Income/Expenses
Etairos,4400,2,Service,1,Memphis,Other Income/Misc Service,91000,Other Income/Expenses
Etairos,4400,3,Parts,1,Memphis,Other Income/Misc Wholesale Me,91000,Other Income/Expenses
Etairos,4400,3,Parts,2,Jackson,Other Income/Misc Wholesale Jx,91000,Other Income/Expenses
Etairos,4500,2,Service,1,Memphis,(Gain)/Loss On Disposals,94010,Gain/Loss on Sale of Asset
Etairos,4600,0,Equipment,0,Headquarters,Interest Income,93000,Interest Income
Etairos,5000,1,Equipment,1,Memphis,Subcontracts Eqp Memphis,50201,Std Labor COGS - Subcontract
Etairos,5000,1,Equipment,2,Jackson,Subcontracts Eqp Ms,50201,Std Labor COGS - Subcontract
Etairos,5000,2,Service,1,Memphis,Subcontracts Svc Memphis,50201,Std Labor COGS - Subcontract
Etairos,5010,1,Equipment,1,Memphis,Cost Of Equipment Memphis,50100,Material COGS
Etairos,5010,1,Equipment,2,Jackson,Cost Of Equipment Ms,50100,Material COGS
Etairos,5010,1,Equipment,3,Arkansas,Cost Of Equip Arkansas,50100,Material COGS
Etairos,5010,2,Service,1,Memphis,Cost Of Sales Svc Memphis,50100,Material COGS
Etairos,5010,2,Service,2,Jackson,Cost Of Sales Svc Ms,50100,Material COGS
Etairos,5010,3,Parts,1,Memphis,Dnucost Of Equip Parts Memphis,50100,Material COGS
Etairos,5010,3,Parts,2,Jackson,Cost Of Equip Parts Ms,50100,Material COGS
Etairos,5010,4,General/HQ,1,Memphis,Cost Of Sales Ad Memphis,50100,Material COGS
Etairos,5015,1,Equipment,2,Jackson,Cost Of Sales Ad Jackson,50100,Material COGS
Etairos,5015,1,General/HQ,1,Memphis,Cost Of Sales Ad Memphis,50100,Material COGS
Etairos,5020,1,Equipment,1,Memphis,Shipping Costs Equip Memphis,50500,Freight
Etairos,5020,1,Equipment,2,Jackson,Shipping Costs Equip Ms,50500,Freight
Etairos,5020,2,Service,1,Memphis,Shipping Costs Svc Memphis,50500,Freight
Etairos,5020,2,Service,2,Jackson,Shipping Costs Svc Ms,50500,Freight
Etairos,5020,3,Parts,1,Memphis,Shipping Costs Parts Memphis,50500,Freight
Etairos,5020,3,Parts,2,Jackson,Shipping Costs Parts Ms,50500,Freight
Etairos,5020,3,Parts,3,Arkansas,Shipping Cost Parts Ar,50500,Freight
Etairos,5020,4,General/HQ,1,Memphis,Shipping Costs Bas Memphis,50500,Freight
Etairos,5025,1,Hydronic,1,Memphis,Cost Of Sales Hydronics Mem,50100,Material COGS
Etairos,5025,1,Hydronic,2,Jackson,Cost Of Sales Hydronics Jx,50100,Material COGS
Etairos,5030,2,Service,1,Memphis,Cost Of Svc Parts Memphis,50100,Material COGS
Etairos,5030,2,Service,2,Jackson,Cost Of Svc Parts Ms,50100,Material COGS
Etairos,5030,3,Service,2,Jackson,Cost Of Service Parts Ms,50100,Material COGS
Etairos,5030,4,Service,1,Memphis,Dnu Cost Of Service Parts Ad,50100,Material COGS
Etairos,5035,1,Service,1,Memphis,2025 Crestview Move,66000,Moving Expense
Etairos,5035,2,Service,1,Memphis,2025 Crestview Move,66000,Moving Expense
Etairos,5035,3,Service,1,Memphis,2025 Crestview Move,66000,Moving Expense
Etairos,5040,1,Equipment,1,Memphis,Dnu Cost Of Sales Parts Mem,50100,Material COGS
Etairos,5040,2,Parts,1,Memphis,Dnu Cost Of Sales Parts,50100,Material COGS
Etairos,5040,2,Parts,2,Jackson,Dnu Cost Of Sales Parts,50100,Material COGS
Etairos,5040,3,Parts,1,Memphis,Cost Of Sales Parts Memphis,50100,Material COGS
Etairos,5040,3,Parts,2,Jackson,Cost Of Sales: Parts Ms,50100,Material COGS
Etairos,5040,3,Parts,3,Arkansas,Cost Of Sales Parts Ar,50100,Material COGS
Etairos,5045,3,Parts,1,Memphis,Cogs Inventory Excess,55010,Inventory Excess and Obsolete Reserve
Etairos,5045,3,Parts,1,Memphis,Cogs Whole Inv Excess,55010,Inventory Excess and Obsolete Reserve
Etairos,5045,3,Parts,2,Jackson,Cogs Inventory Excess,55010,Inventory Excess and Obsolete Reserve
Etairos,5045,3,Parts,2,Jackson,Cogs Whole Inv Excess,55010,Inventory Excess and Obsolete Reserve
Etairos,5050,3,Parts,1,Memphis,Aaon Parts Cost Memphis,50100,Material COGS
Etairos,5050,3,Parts,2,Jackson,Aaon Parts Cost Ms,50100,Material COGS
Etairos,5051,3,Parts,1,Memphis,Cost Of Stock Ad Sales Memphis,50100,Material COGS
Etairos,5052,3,Parts,1,Memphis,Cost Of Stock Equip Sales Mem,50100,Material COGS
Etairos,5053,3,Parts,1,Memphis,Cost Of Aftermarket Filtersale,50100,Material COGS
Etairos,5053,3,Parts,2,Jackson,Cost Of Aftermarket Filtersale,50100,Material COGS
Etairos,5060,1,Equipment,1,Memphis,Cost Of Hilton Service,50100,Material COGS
Etairos,5060,1,Equipment,2,Jackson,Cost Of Start Up,50100,Material COGS
Etairos,5060,3,Parts,1,Memphis,Inventory Variance Mem,55000,Inventory Adjustments
Etairos,5060,3,Parts,2,Jackson,Inventory Variance Ms,55000,Inventory Adjustments
Etairos,5060,3,Parts,3,Arkansas,Inventory Variance Ar,55000,Inventory Adjustments
Etairos,5080,1,Equipment,1,Memphis,Inter-Co Cost Of Sales Eqp Mem,50100,Material COGS
Etairos,5080,1,Equipment,1,Memphis,Intra-Co Cost Of Sales Eqp Mem,50100,Material COGS
Etairos,5080,1,Equipment,2,Jackson,Inter-Co Cost Of Sales Eqp Ms,50100,Material COGS
Etairos,5080,1,Equipment,2,Jackson,Intra-Co Cost Of Sales Eqp Ms,50100,Material COGS
Etairos,5080,1,Equipment,3,Arkansas,Iinter-Co Cost Of Sales Equ Ar,50100,Material COGS
Etairos,5080,2,Service,1,Memphis,Inter-Co Cost Of Sales Svc Mem,50100,Material COGS
Etairos,5080,2,Service,1,Memphis,Intra-Co Cost Of Sales Svc Mem,50100,Material COGS
Etairos,5080,2,Service,2,Jackson,Inter-Co Cost Of Sales Svc Ms,50100,Material COGS
Etairos,5080,2,Service,2,Jackson,Intra-Co Cost Of Sales Svc Ms,50100,Material COGS
Etairos,5080,3,Parts,1,Memphis,Inter-Co Cost Sales Parts Mem,50100,Material COGS
Etairos,5080,3,Parts,1,Memphis,Intra-Co Cost Sales Parts Mem,50100,Material COGS
