Account Desc,Source Branch,Source Entity,Account Number,Source Account #,Branch Description,Source Description,Source Product Line,Product Line Description
Prepaid expenses,0,Etairos,13010,1400,Headquarters,Prepaid Other,0,Equipment
Deposits,0,Etairos,16000,1405,Headquarters,Security Deposit-Mlgw,0,Equipment
Sales tax payable-TN,0,Etairos,22102,1410,Headquarters,Tn Sales Tax Overpayment,0,Equipment
Prepaid expenses,0,Etairos,13010,1415,Headquarters,Prepaid Deposit Crestview,0,General/HQ
Prepaid expenses,0,Etairos,13010,1416,Headquarters,Prepaid Rent Crestview,0,General/HQ
Prepaid expenses,0,Etairos,13010,1420,Headquarters,Prepaid Income Tax,0,Equipment
Prepaid expenses,0,Etairos,13010,1425,Headquarters,Prepaid Expense,0,Equipment
Intercompany,0,Etairos,19000,1450,Headquarters,Intercompany Receivable,0,Equipment
Prepaid expenses,0,Etairos,13010,1550,Headquarters,Cash Value Officers Life Ins.,0,Equipment
Goodwill,0,Etairos,17010,1560,Headquarters,Loan Closing Cost,0,Equipment
Goodwill,0,Etairos,17010,1565,Headquarters,Loan Closing Cost Loc Guaranty,0,Equipment
Accumulated Amortization,0,Etairos,17900,1566,Headquarters,Accum Amortization,0,Equipment
Goodwill,0,Etairos,17010,1600,Headquarters,Goodwill,0,Equipment
ROUA Operating Leases,0,Etairos,14400,1800,Headquarters,Rou Asset,0,Equipment
Notes Payable,0,Etairos,26052,2010,Headquarters,Note Payable Iberiabank,0,Equipment
Accounts payable,0,Etairos,20000,2014,Headquarters,Ar Crs Reclass To Liability,0,Equipment
Notes Payable,0,Etairos,26001,2015,Headquarters,Note Payable First Commercial,0,Equipment
Notes Payable,0,Etairos,26002,2020,Headquarters,Note Payable - Autos,0,Equipment
Notes Payable,1,Etairos,26002,2020,Memphis,Note Payable - Autos,0,Equipment
Notes Payable,1,Etairos,26053,2020,Memphis,Note Payable Autos,1,Equipment
Notes Payable,0,Etairos,26003,2021,Headquarters,Np-Guaranty Bank Loc,0,Equipment
Notes Payable,0,Etairos,26054,2025,Headquarters,Dts Ppp Loan,0,Equipment
Notes Payable,0,Etairos,26055,2030,Headquarters,Note Payable - Shareholders,0,Equipment
Due to Hobbs & Associates,0,Etairos,19100,2035,Headquarters,Due To/From-Hobbs,0,Equipment
Notes Payable,0,Etairos,26004,2040,Headquarters,Np-Ppp Loan Guaranty Bk,0,Equipment
Due To/From Air Control Concepts,0,Etairos,19121,2045,Headquarters,Due To/From Air,0,General/HQ
Operating Lease Liabilities-ST,0,Etairos,22403,2048,Headquarters,St Lease Liability,0,Equipment
Long Term Operating Lease,0,Etairos,25010,2049,Headquarters,Lt Lease Liability,0,Equipment
Accounts payable,0,Etairos,20005,2050,Headquarters,Accounts Payable,0,Equipment
Accounts payable,0,Etairos,20006,2051,Headquarters,Ap-Gs,0,Equipment
Accounts payable,0,Etairos,20007,2052,Headquarters,Ap-Mwg,0,Equipment
A/P-Other (Receipts),0,Etairos,20020,2054,Headquarters,Ap: Outstanding Checks,0,Equipment
Accounts payable,0,Etairos,20000,2055,Headquarters,Checks Due To Vendor,0,Equipment
Intercompany,0,Etairos,19000,2060,Headquarters,Due To G/S Real Estate,0,Equipment
A/P-Other (Receipts),0,Etairos,20020,2070,Headquarters,Retainage Payable,0,Equipment
Accrued Expenses,0,Etairos,22010,2080,Headquarters,Inventory Accrual,0,Equipment
Intercompany,0,Etairos,19000,2090,Headquarters,Due To/From Ernie Strahan,0,Equipment
Accrued Expenses,0,Etairos,22010,2100,Headquarters,Accrued Expenses,0,Equipment
Accrued Expenses,0,Etairos,22010,2150,Headquarters,Other Accrued Expenses,0,Equipment
FICA Tax Payable,0,Etairos,21100,2200,Headquarters,Fica & Withholding,0,Equipment
SUTA Tax Payable,0,Etairos,21060,2210,Headquarters,Ms Suta Payable,0,Equipment
SUTA Tax Payable,0,Etairos,21060,2220,Headquarters,Mississippi Withholding,0,Equipment
SUTA Tax Payable,0,Etairos,21060,2240,Headquarters,Arkansas Withholding,0,Equipment
FUTA Tax Payable,0,Etairos,21040,2250,Headquarters,Futa Accrual,0,Equipment
SUTA Tax Payable,0,Etairos,21060,2255,Headquarters,Suta Payable,0,Equipment
Accrued Expenses,0,Etairos,22010,2260,Headquarters,Tdes Accrual,0,Equipment
Billings in Excess of Cost,0,Etairos,22310,2265,Headquarters,Customer Deposits,0,Equipment
Billings in Excess of Cost,0,Etairos,22310,2270,Headquarters,Deferred Revenue,0,Equipment
Sales tax payable,0,Etairos,22100,2300,Headquarters,Sales Tax Payable,0,Equipment
Sales tax payable,3,Etairos,22100,2300,Arkansas,Sales Tax Payable,0,Equipment
Due To/(From)-Air Components,0,Etairos,19113,2320,Headquarters,Due To/From Ovrhd Aircomponent,0,Equipment
Sales tax payable-MS,0,Etairos,22112,2330,Headquarters,Mississippi Sales Tax,0,Equipment
Sales tax payable,0,Etairos,22100,2333,Headquarters,Jackson Mississppi Sales Tax,0,Equipment
Sales tax payable-MS,0,Etairos,22112,2335,Headquarters,Accrued Ms Sales Tax,0,Equipment
Sales tax payable-AR,0,Etairos,22104,2340,Headquarters,Arkansas Sales Tax,0,Equipment
Sales tax payable-TN,0,Etairos,22102,2345,Headquarters,Tn Business Tax Payable,0,Equipment
Bonus Accrual,0,Etairos,21015,2350,Headquarters,Accrued Bonuses,0,Equipment
Salaries and Wages Payable,0,Etairos,21010,2350,Headquarters,Accrued Salaries,0,Equipment
Payroll Accrual,0,Etairos,21000,2353,Headquarters,Accured Payroll,0,Equipment
Commissions Payable,0,Etairos,21090,2355,Headquarters,Accrued Commissions,0,Equipment
Benefits Payable,0,Etairos,21080,2360,Headquarters,Accrued 125 Plan Contribution,0,Equipment
HSA Payable,0,Etairos,21030,2365,Headquarters,Hsa Plan,0,Equipment
Sales tax payable-FL,0,Etairos,22105,2370,Headquarters,Florida Sales Tax,0,Equipment
Income taxes Payable,0,Etairos,22230,2390,Headquarters,Income Taxes Payable,0,Equipment
Commissions Payable,0,Etairos,21090,2400,Headquarters,Accrued Profit Sharing/Pension,0,Equipment
401 K deductions payable,0,Etairos,21020,2401,Headquarters,401K Loan Repayment,0,Equipment
Benefits Payable,0,Etairos,21080,2440,Headquarters,Employee Insurance Withholding,0,Equipment
Income taxes payable - Federal,0,Etairos,22210,2450,Headquarters,Federal Income Taxes Payable,0,Equipment
Income taxes Payable - State,0,Etairos,22220,2500,Headquarters,State Income Tax Payable,0,Equipment
Accrued Expenses,0,Etairos,22010,2510,Headquarters,Accrued Fran,0,Equipment
Other taxes payable,0,Etairos,22300,2520,Headquarters,Tn Corp Taxes Payable,0,Equipment
Other taxes payable,0,Etairos,22300,2521,Headquarters,Ms Corp Taxes Payable,0,Equipment
Other taxes payable,0,Etairos,22300,2522,Headquarters,Ar Corp Taxes Payable,0,Equipment
Long-term Liabilities,0,Etairos,25000,2550,Headquarters,Long Term Debt,0,Equipment
Due To/From Trade - Air Components,0,Etairos,19513,2600,Headquarters,Due To/From Air Components,0,Equipment
Due To/(From)-Hahn Mason,0,Etairos,19124,2601,Headquarters,Due To/From Faulkner Haynes,0,Equipment
Due To/(From)-HT Carolinas,0,Etairos,19112,2605,Headquarters,Due To/From Insight Partners,0,Equipment
Due To/(From)-Airtech,0,Etairos,19104,2606,Headquarters,Due To/From Airetech,0,Equipment
Due To/(From)-Northrich,0,Etairos,19106,2607,Headquarters,Due To/From Northrich Co.,0,Equipment
"Due To/(From)-Bay & Assoc, LLC",0,Etairos,19070,2609,Headquarters,Due To/From Bay Associates,0,Equipment
Due To/(From)-Jm O'Connor,0,Etairos,19142,2610,Headquarters,Due To/From Jm O'Connor,0,Equipment
"Due To/(From)-Klima N.Y., LLC",0,Etairos,19050,2611,Headquarters,Due To/From Klima New York,0,Equipment
Due To/(From)-Marrs Distro,0,Etairos,19134,2612,Headquarters,Due To/From Marrs,0,General/HQ
Due To/(From)-Midwest Mech Sol,0,Etairos,19127,2613,Headquarters,Due To/From Midwest Mechanical,0,Equipment
Due To/(From)-Air Carolinas,0,Etairos,19150,2614,Headquarters,Due To/From Air Carolinas Gvil,0,Equipment
Due To/(From)-Building Controls & Services,0,Etairos,19157,2615,Headquarters,Due To/From Bcs,0,Equipment
Common stock,0,Etairos,30010,3000,Headquarters,Common Stock,0,Equipment
Investors-Other,0,Etairos,30080,3050,Headquarters,Capital-Gs,0,Equipment
Investors-Other,0,Etairos,30080,3060,Headquarters,Capital-Mwg,0,Equipment
Investors-Other,0,Etairos,30080,3070,Headquarters,Capital Dts,0,Equipment
Intercompany,0,Etairos,19000,3075,Headquarters,Due To/From,0,Equipment
Retained earnings,0,Etairos,30030,3100,Headquarters,Retained Earnings,0,Equipment
Net Parent Investment,0,Etairos,39080,3908,Headquarters,Net Parent Investment,0,Equipment
Revenue,1,Etairos,40100,4010,Memphis,Sales - Equipment Memphis,1,Equipment
Revenue,2,Etairos,40100,4010,Jackson,Sales Jackson Ms,1,Equipment
Revenue,3,Etairos,40100,4010,Arkansas,Sales Equip Little Rock,1,Equipment
Revenue,1,Etairos,40100,4010,Memphis,Service Installation Memphis,2,Service
Revenue,1,Etairos,40100,4010,Memphis,Sales Ad Memphis,4,General/HQ
Revenue,1,Etairos,40100,4015,Memphis,Sales Ad Memphis,1,Equipment
Revenue,2,Etairos,40100,4015,Jackson,Sales Ad Jackson,1,Service
Revenue,1,Etairos,40100,4020,Memphis,Service Labor Memphis,2,Service
Revenue,2,Etairos,40100,4025,Jackson,Sales Hydronics,1,Hydronic
Revenue,1,Etairos,40100,4030,Memphis,Service Parts Memphis,2,Service
Revenue,2,Etairos,40100,4030,Jackson,Service Parts Jackson,2,Service
Revenue,1,Etairos,40100,4040,Memphis,Sales Parts Equip Memphis,1,Parts
Revenue,1,Etairos,40100,4040,Memphis,Sales Parts Memphis,3,Parts
Revenue,2,Etairos,40100,4040,Jackson,Sales Parts Jackson,3,Parts
Revenue,3,Etairos,40100,4040,Arkansas,Sales Parts - Ar,3,Parts
Revenue,1,Etairos,40100,4040,Memphis,Dnu Sales Ad Memphis,4,General/HQ
Revenue,1,Etairos,40100,4045,Memphis,Aaon Parts Sales Memphis,3,Parts
Revenue,2,Etairos,40100,4045,Jackson,Aaon Parts Sales Ms,3,Parts
Revenue,1,Etairos,40100,4046,Memphis,Stock Ad Sales Parts Memphis,3,Parts
Revenue,1,Etairos,40100,4047,Memphis,Stock Equip Sales Parts Mem,3,Parts
Revenue,1,Etairos,40100,4048,Memphis,Aftermarket Filter Sales Parts,3,Parts
Revenue,2,Etairos,40100,4048,Jackson,Aftermarket Filter Sales Parts,3,Parts
Shipping,1,Etairos,40500,4050,Memphis,Freight Sales Parts Memphis,3,Parts
Shipping,2,Etairos,40500,4050,Jackson,Freight Sales Parts Jackson,3,Parts
Shipping,3,Etairos,40500,4050,Arkansas,Freight Sales Ar,3,Parts
Revenue,1,Etairos,40100,4080,Memphis,Service Agreements Mem,2,Service
Revenue,2,Etairos,40100,4080,Jackson,Service Agreements Ms,2,Service
Intercompany Revenue,1,Etairos,49999,4090,Memphis,Dnu Inter-Co Part Memphis,1,Equipment
Intercompany Revenue,1,Etairos,49999,4090,Memphis,Inter-Co Eqp Memphis,1,Equipment
Intercompany Revenue,1,Etairos,49999,4090,Memphis,Intra-Co Eqp Memphis,1,Equipment
Intercompany Revenue,2,Etairos,49999,4090,Jackson,Dnu Inter-Co Part Memphis,1,Equipment
Intercompany Revenue,2,Etairos,49999,4090,Jackson,Inter-Co Equipment Ms,1,Equipment
Intra Business Revenue,2,Etairos,49998,4090,Jackson,Intra-Co Equipment Ms,1,Service
Intercompany Revenue,1,Etairos,49999,4090,Memphis,Dnu Inter-Co Part Memphis,2,Service
Intercompany Revenue,1,Etairos,49999,4090,Memphis,Inter Co Service Memphis,2,Service
Intercompany Revenue,1,Etairos,49999,4090,Memphis,Intra Co Service Memphis,2,Service
Intercompany Revenue,2,Etairos,49999,4090,Jackson,Dnu Inter-Co Part Memphis,2,Service
Intercompany Revenue,2,Etairos,49999,4090,Jackson,Inter Co Service Ms,2,Service
Intercompany Revenue,2,Etairos,49999,4090,Jackson,Intra Co Service Ms,2,Service
Intercompany Revenue,3,Etairos,49999,4090,Arkansas,Interco Service Ar,2,Service
Intercompany Revenue,1,Etairos,49999,4090,Memphis,Dnu Inter-Co Part Memphis,3,Parts
Intercompany Revenue,2,Etairos,49999,4090,Jackson,Dnu Inter-Co Part Memphis,3,Parts
Intercompany Revenue,2,Etairos,49999,4090,Jackson,Dnu Inter-Co Parts Ms,3,Parts
Intercompany Revenue,3,Etairos,49999,4090,Arkansas,Interco Parts Ar,3,Parts
Commissions,1,Etairos,40200,4100,Memphis,Commissions Eqp Memphis,1,Equipment
Commissions,2,Etairos,40200,4100,Jackson,Commissions Eqp Ms,1,Equipment
Commissions,3,Etairos,40200,4100,Arkansas,Commission Ar,1,Equipment
Commissions,1,Etairos,40200,4100,Memphis,Commissions Parts Memphis,3,Parts
Commissions,2,Etairos,40200,4100,Jackson,Commission Parts Ms,3,Parts
Commissions,3,Etairos,40200,4100,Arkansas,Commission Parts Ar,3,Parts
Commissions,1,Etairos,40200,4100,Memphis,Commissions Ad Memphis,4,General/HQ
Commissions,2,Etairos,40200,4105,Jackson,Commission Hydronics Jackson,1,Hydronic
Intercompany Revenue,1,Etairos,49999,4120,Memphis,Inter Co Sales Eqp Memphis,1,Equipment
Intercompany Revenue,1,Etairos,49999,4120,Memphis,Inter Co Sales Parts Memphis,3,Parts
Intercompany Revenue,1,Etairos,49999,4120,Memphis,Intra Co Sales Parts Mem,3,Parts
Intercompany Revenue,2,Etairos,49999,4120,Jackson,Inter Co Sales Parts Ms,3,Parts
Intercompany Revenue,2,Etairos,49999,4120,Jackson,Intra Co Sales Parts Ms,3,Parts
Revenue,1,Etairos,40100,4200,Memphis,Truck Environmental Svc Memphi,2,Service
Revenue,2,Etairos,40100,4200,Jackson,Truck Environmental Svc Ms,2,Service
Shipping,1,Etairos,40500,4200,Memphis,Freight Sales Parts Memphis,3,Parts
Revenue,1,Etairos,40100,4200,Memphis,Truck Environmental Bas Mem,4,General/HQ
Shipping,1,Etairos,40500,4250,Memphis,Freight Sales Eqp Memphis,1,Equipment
Fees- Credit Card,1,Etairos,69120,4300,Memphis,Credit Card Fee Eq Mem,1,Equipment
Fees- Credit Card,2,Etairos,69120,4300,Jackson,Credit Card Fee Eq Ms,1,Equipment
Fees- Credit Card,1,Etairos,69120,4300,Memphis,Credit Card Fee Svc Mem,2,Service
Fees- Credit Card,2,Etairos,69120,4300,Jackson,Credit Card Fee Svc Ms,2,Service
Fees- Credit Card,1,Etairos,69120,4300,Memphis,Credit Card Fee Parts Memphis,3,Parts
Fees- Credit Card,2,Etairos,69120,4300,Jackson,Credit Card Fee Parts Ms,3,Parts
Fees- Credit Card,1,Etairos,69120,4300,Memphis,Credit Card Fee Ad Memphis,4,General/HQ
Other Income/Expenses,1,Etairos,91000,4400,Memphis,Other Income/Misc Equip Mem,1,Equipment
Other Income/Expenses,2,Etairos,91000,4400,Jackson,Other Income/Misc Equip Jx,1,Equipment
Other Income/Expenses,3,Etairos,91000,4400,Arkansas,Other Income/Misc Equip Ar,1,Equipment
Other Income/Expenses,1,Etairos,91000,4400,Memphis,Other Income/Misc Service,2,Service
Other Income/Expenses,1,Etairos,91000,4400,Memphis,Other Income/Misc Wholesale Me,3,Parts
Other Income/Expenses,2,Etairos,91000,4400,Jackson,Other Income/Misc Wholesale Jx,3,Parts
Gain/Loss on Sale of Asset,1,Etairos,94010,4500,Memphis,(Gain)/Loss On Disposals,2,Service
Interest Income,0,Etairos,93000,4600,Headquarters,Interest Income,0,Equipment
Std Labor COGS - Subcontract,1,Etairos,50201,5000,Memphis,Subcontracts Eqp Memphis,1,Equipment
Std Labor COGS - Subcontract,2,Etairos,50201,5000,Jackson,Subcontracts Eqp Ms,1,Equipment
Std Labor COGS - Subcontract,1,Etairos,50201,5000,Memphis,Subcontracts Svc Memphis,2,Service
Material COGS,1,Etairos,50100,5010,Memphis,Cost Of Equipment Memphis,1,Equipment
Material COGS,2,Etairos,50100,5010,Jackson,Cost Of Equipment Ms,1,Equipment
Material COGS,3,Etairos,50100,5010,Arkansas,Cost Of Equip Arkansas,1,Equipment
Material COGS,1,Etairos,50100,5010,Memphis,Cost Of Sales Svc Memphis,2,Service
Material COGS,2,Etairos,50100,5010,Jackson,Cost Of Sales Svc Ms,2,Service
Material COGS,1,Etairos,50100,5010,Memphis,Dnucost Of Equip Parts Memphis,3,Parts
Material COGS,2,Etairos,50100,5010,Jackson,Cost Of Equip Parts Ms,3,Parts
Material COGS,1,Etairos,50100,5010,Memphis,Cost Of Sales Ad Memphis,4,General/HQ
Material COGS,2,Etairos,50100,5015,Jackson,Cost Of Sales Ad Jackson,1,Equipment
Material COGS,1,Etairos,50100,5015,Memphis,Cost Of Sales Ad Memphis,1,General/HQ
Freight,1,Etairos,50500,5020,Memphis,Shipping Costs Equip Memphis,1,Equipment
Freight,2,Etairos,50500,5020,Jackson,Shipping Costs Equip Ms,1,Equipment
Freight,1,Etairos,50500,5020,Memphis,Shipping Costs Svc Memphis,2,Service
Freight,2,Etairos,50500,5020,Jackson,Shipping Costs Svc Ms,2,Service
Freight,1,Etairos,50500,5020,Memphis,Shipping Costs Parts Memphis,3,Parts
Freight,2,Etairos,50500,5020,Jackson,Shipping Costs Parts Ms,3,Parts
Freight,3,Etairos,50500,5020,Arkansas,Shipping Cost Parts Ar,3,Parts
Freight,1,Etairos,50500,5020,Memphis,Shipping Costs Bas Memphis,4,General/HQ
Material COGS,1,Etairos,50100,5025,Memphis,Cost Of Sales Hydronics Mem,1,Hydronic
Material COGS,2,Etairos,50100,5025,Jackson,Cost Of Sales Hydronics Jx,1,Hydronic
Material COGS,1,Etairos,50100,5030,Memphis,Cost Of Svc Parts Memphis,2,Service
Material COGS,2,Etairos,50100,5030,Jackson,Cost Of Svc Parts Ms,2,Service
Material COGS,2,Etairos,50100,5030,Jackson,Cost Of Service Parts Ms,3,Service
Material COGS,1,Etairos,50100,5030,Memphis,Dnu Cost Of Service Parts Ad,4,Service
Moving Expense,1,Etairos,66000,5035,Memphis,2025 Crestview Move,1,Service
Moving Expense,1,Etairos,66000,5035,Memphis,2025 Crestview Move,2,Service
Moving Expense,1,Etairos,66000,5035,Memphis,2025 Crestview Move,3,Service
Material COGS,1,Etairos,50100,5040,Memphis,Dnu Cost Of Sales Parts Mem,1,Equipment
Material COGS,1,Etairos,50100,5040,Memphis,Dnu Cost Of Sales Parts,2,Parts
Material COGS,2,Etairos,50100,5040,Jackson,Dnu Cost Of Sales Parts,2,Parts
Material COGS,1,Etairos,50100,5040,Memphis,Cost Of Sales Parts Memphis,3,Parts
Material COGS,2,Etairos,50100,5040,Jackson,Cost Of Sales: Parts Ms,3,Parts
Material COGS,3,Etairos,50100,5040,Arkansas,Cost Of Sales Parts Ar,3,Parts
Inventory Excess and Obsolete Reserve,1,Etairos,55010,5045,Memphis,Cogs Inventory Excess,3,Parts
Inventory Excess and Obsolete Reserve,1,Etairos,55010,5045,Memphis,Cogs Whole Inv Excess,3,Parts
Inventory Excess and Obsolete Reserve,2,Etairos,55010,5045,Jackson,Cogs Inventory Excess,3,Parts
Inventory Excess and Obsolete Reserve,2,Etairos,55010,5045,Jackson,Cogs Whole Inv Excess,3,Parts
Material COGS,1,Etairos,50100,5050,Memphis,Aaon Parts Cost Memphis,3,Parts
Material COGS,2,Etairos,50100,5050,Jackson,Aaon Parts Cost Ms,3,Parts
Material COGS,1,Etairos,50100,5051,Memphis,Cost Of Stock Ad Sales Memphis,3,Parts
Material COGS,1,Etairos,50100,5052,Memphis,Cost Of Stock Equip Sales Mem,3,Parts
Material COGS,1,Etairos,50100,5053,Memphis,Cost Of Aftermarket Filtersale,3,Parts
Material COGS,2,Etairos,50100,5053,Jackson,Cost Of Aftermarket Filtersale,3,Parts
Material COGS,1,Etairos,50100,5060,Memphis,Cost Of Hilton Service,1,Equipment
Material COGS,2,Etairos,50100,5060,Jackson,Cost Of Start Up,1,Equipment
Inventory Adjustments,1,Etairos,55000,5060,Memphis,Inventory Variance Mem,3,Parts
Inventory Adjustments,2,Etairos,55000,5060,Jackson,Inventory Variance Ms,3,Parts
Inventory Adjustments,3,Etairos,55000,5060,Arkansas,Inventory Variance Ar,3,Parts
Material COGS,1,Etairos,50100,5080,Memphis,Inter-Co Cost Of Sales Eqp Mem,1,Equipment
Material COGS,1,Etairos,50100,5080,Memphis,Intra-Co Cost Of Sales Eqp Mem,1,Equipment
Material COGS,2,Etairos,50100,5080,Jackson,Inter-Co Cost Of Sales Eqp Ms,1,Equipment
Material COGS,2,Etairos,50100,5080,Jackson,Intra-Co Cost Of Sales Eqp Ms,1,Equipment
Material COGS,3,Etairos,50100,5080,Arkansas,Iinter-Co Cost Of Sales Equ Ar,1,Equipment
Material COGS,1,Etairos,50100,5080,Memphis,Inter-Co Cost Of Sales Svc Mem,2,Service
Material COGS,1,Etairos,50100,5080,Memphis,Intra-Co Cost Of Sales Svc Mem,2,Service
Material COGS,2,Etairos,50100,5080,Jackson,Inter-Co Cost Of Sales Svc Ms,2,Service
Material COGS,2,Etairos,50100,5080,Jackson,Intra-Co Cost Of Sales Svc Ms,2,Service
Material COGS,1,Etairos,50100,5080,Memphis,Inter-Co Cost Sales Parts Mem,3,Parts
Material COGS,1,Etairos,50100,5080,Memphis,Intra-Co Cost Sales Parts Mem,3,Parts
