Invoice Number,INVOICE_ID,Invoice Amount,Invoice date,INVOICE_CURRENCY_CODE,SOURCE,Invoice Type,INVOICE_DESCRIPTION,SUPPLIER_NUMBER,SUPPLIER_NAME,LINE_NUMBER,LINE_TYPE,LINE_AMOUNT,LINE_DESCRIPTION,CHARGE_ACCOUNT
163557,103698,1186.96,2026-02-13,USD,Conversion,STANDARD,FB: PO# - 26-11053  Created for SO #245216,100786,YOUNG REGULATOR COMPANY,1,ITEM,1186.96,Dorse_Line_1,1510.1601.100.000.511000.0000.000
168903,103953,5018.19,2026-02-18,USD,Conversion,STANDARD,FB: PO# - 26-10270  Created for SO #243581,100382,RAYMON ENTERPRISES INC,1,ITEM,5018.19,Dorse_Line_1,1510.1601.150.000.511000.0000.000
182448069X,103719,10568.69,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10123  Created for SO #243866,101066,GE APPLIANCES A HAIER COMPANY,1,ITEM,10568.69,Dorse_Line_1,1510.1602.100.000.511000.0000.000
182644504,103720,1256,2026-02-05,USD,Conversion,STANDARD,FB: PO# - 26-10123  Created for SO #243866,101066,GE APPLIANCES A HAIER COMPANY,1,ITEM,1256,Dorse_Line_1,1510.1602.100.000.511000.0000.000
182970400,103003,2287,2026-02-23,USD,Conversion,STANDARD,FB: PO# - 26-10804  Created for SO #245055,101066,GE APPLIANCES A HAIER COMPANY,1,ITEM,2287,Dorse_Line_1,1510.1601.100.000.511000.0000.000
194064628,104122,150.68,2026-02-23,USD,Conversion,STANDARD,,100972,DIAMOND LINE DELIVERY SYSTEMS INC,1,ITEM,150.68,Dorse_Line_1,1510.1601.100.000.514000.0000.000
194064630,104124,248.04,2026-02-25,USD,Conversion,STANDARD,,100972,DIAMOND LINE DELIVERY SYSTEMS INC,1,ITEM,248.04,Dorse_Line_1,1510.1601.100.000.514000.0000.000
194091171,104120,301.35,2026-02-10,USD,Conversion,STANDARD,,100972,DIAMOND LINE DELIVERY SYSTEMS INC,1,ITEM,301.35,Dorse_Line_1,1510.1601.100.000.514000.0000.000
194093744,104121,277.19,2026-02-13,USD,Conversion,STANDARD,,100972,DIAMOND LINE DELIVERY SYSTEMS INC,1,ITEM,277.19,Dorse_Line_1,1510.1601.100.000.514000.0000.000
194093757,104123,178.48,2026-02-23,USD,Conversion,STANDARD,,100972,DIAMOND LINE DELIVERY SYSTEMS INC,1,ITEM,178.48,Dorse_Line_1,1510.1601.100.000.514000.0000.000
194253706,104117,203.2,2026-02-02,USD,Conversion,STANDARD,,100972,DIAMOND LINE DELIVERY SYSTEMS INC,1,ITEM,203.2,Dorse_Line_1,1510.1601.100.000.514000.0000.000
194253771,104119,150.4,2026-02-05,USD,Conversion,STANDARD,,100972,DIAMOND LINE DELIVERY SYSTEMS INC,1,ITEM,150.4,Dorse_Line_1,1510.1601.100.000.514000.0000.000
194263606,104118,171.88,2026-02-04,USD,Conversion,STANDARD,,100972,DIAMOND LINE DELIVERY SYSTEMS INC,1,ITEM,171.88,Dorse_Line_1,1510.1601.100.000.514000.0000.000
200310,106047,3938,2026-02-06,USD,Conversion,STANDARD,,101095,INTELLIGENT TECHNICAL SOLUTIONS LLC,1,ITEM,3938,Dorse_Line_1,1510.1601.100.705.728040.0000.000
200472,106048,565.11,2026-02-06,USD,Conversion,STANDARD,,101095,INTELLIGENT TECHNICAL SOLUTIONS LLC,1,ITEM,565.11,Dorse_Line_1,1510.1601.100.705.728040.0000.000
200495,106049,413.46,2026-02-06,USD,Conversion,STANDARD,,101095,INTELLIGENT TECHNICAL SOLUTIONS LLC,1,ITEM,413.46,Dorse_Line_1,1510.1601.100.705.728040.0000.000
200503,106050,358.74,2026-02-06,USD,Conversion,STANDARD,,101095,INTELLIGENT TECHNICAL SOLUTIONS LLC,1,ITEM,358.74,Dorse_Line_1,1510.1601.100.705.728040.0000.000
20260086,103695,5600,2026-01-16,USD,Conversion,STANDARD,FB: PO# - 25-17603  Created for SO #241343,100603,VULNIX FIRE PROTECTION,1,ITEM,5600,Dorse_Line_1,1510.1601.100.000.511000.0000.000
204072134,106040,1674.98,2026-02-11,USD,Conversion,STANDARD,,100363,ULINE,1,ITEM,1674.98,Dorse_Line_1,1510.1601.100.705.740010.0000.000
204233049,106041,2390.66,2026-02-16,USD,Conversion,STANDARD,,100363,ULINE,1,ITEM,2390.66,Dorse_Line_1,1510.1601.100.705.740010.0000.000
22545674,103717,23331,2026-02-12,USD,Conversion,STANDARD,FB: PO# - 26-10924  Created for SO #245271  Quote Number: 73294  Site Contact: Joel Carson 509-4...,101119,FRIEDRICH AIR CONDITIONING INC,1,ITEM,23331,Dorse_Line_1,1510.1602.100.000.511000.0000.000
22922,106017,15742.7,2026-01-30,USD,Conversion,STANDARD,FB: PO# - 26-10414,100710,RAINIER METAL WORKS LLC,1,ITEM,15742.7,Dorse_Line_1,1510.1601.000.000.115101.0000.000
23027,106018,5505.4,2026-02-13,USD,Conversion,STANDARD,FB: PO# - 26-10856,100710,RAINIER METAL WORKS LLC,1,ITEM,5505.4,Dorse_Line_1,1510.1601.000.000.115101.0000.000
23082,106019,783,2026-02-20,USD,Conversion,STANDARD,FB: PO# - 26-11069,100710,RAINIER METAL WORKS LLC,1,ITEM,783,Dorse_Line_1,1510.1601.000.000.115101.0000.000
24409,103702,8885,2026-02-05,USD,Conversion,STANDARD,FB: PO# - 26-10784  Created for SO #245021  Proposal Q-29858-3  Site Contact: Andrea C 509-734-0669,100829,AIRIUS LLC,1,ITEM,8885,Dorse_Line_1,1510.1602.100.000.511000.0000.000
24483,106024,842,2026-02-10,USD,Conversion,STANDARD,FB: PO# - 26-10564  Attn: Stephen Zakowski  Marketing Materials  Freight to be added when invoiced,100829,AIRIUS LLC,1,ITEM,842,Dorse_Line_1,1510.1601.000.000.115101.0000.000
24635,103956,14019.4,2026-02-27,USD,Conversion,STANDARD,FB: PO# - 26-11312  Created for SO #245908  Site Contact: Jeremy M - 509-319-0250,100829,AIRIUS LLC,1,ITEM,14019.4,Dorse_Line_1,1510.1601.100.000.511000.0000.000
24636,103955,1734,2026-02-27,USD,Conversion,STANDARD,FB: PO# - 26-10967  Created for SO #245352,100829,AIRIUS LLC,1,ITEM,1734,Dorse_Line_1,1510.1601.100.000.511000.0000.000
247268CR,106026,-250,2025-10-29,USD,Conversion,CREDIT,FB: PO# - 24-17268CR  Created from RMA #841.,101014,DYNAMIC LOGISTIX,1,ITEM,-250,Dorse_Line_1,1510.1601.000.000.115101.0000.000
259616 X Partial Shi,106004,8145,2026-02-09,USD,Conversion,STANDARD,FB: PO# - 26-10140,100649,DESIGN POLYMERICS,1,ITEM,8145,Dorse_Line_1,1510.1601.000.000.115101.0000.000
266546,106002,2602.1,2026-02-17,USD,Conversion,STANDARD,FB: PO# - 26-11019,100863,AMERICAN LOUVER COMPANY-WA,1,ITEM,2602.1,Dorse_Line_1,1510.1601.000.000.115101.0000.000
3141684,106005,3399.02,2026-02-11,USD,Conversion,STANDARD,FB: PO# - 26-10964,101133,DURO DYNE CORP,1,ITEM,3399.02,Dorse_Line_1,1510.1601.000.000.115101.0000.000
32103944,103713,576,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10061  Created for SO #243747,101119,FRIEDRICH AIR CONDITIONING INC,1,ITEM,576,Dorse_Line_1,1510.1602.100.000.511000.0000.000
32105862,103714,942,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 26-10061  Created for SO #243747,101119,FRIEDRICH AIR CONDITIONING INC,1,ITEM,942,Dorse_Line_1,1510.1602.100.000.511000.0000.000
32106019,103715,3097.32,2026-02-05,USD,Conversion,STANDARD,"FB: PO# - 26-10562  Please mark shipment: ""Tulip Buildings Project""  Per quote 72518",101119,FRIEDRICH AIR CONDITIONING INC,1,ITEM,3097.32,Dorse_Line_1,1510.1602.100.000.511000.0000.000
32114577,103716,1170,2026-02-11,USD,Conversion,STANDARD,FB: PO# - 26-10924  Created for SO #245271  Quote Number: 73294  Site Contact: Joel Carson 509-4...,101119,FRIEDRICH AIR CONDITIONING INC,1,ITEM,1170,Dorse_Line_1,1510.1602.100.000.511000.0000.000
32123952,103718,1997.04,2026-02-23,USD,Conversion,STANDARD,"FB: PO# - 26-10562  Please mark shipment: ""Tulip Buildings Project""  Per quote 72518",101119,FRIEDRICH AIR CONDITIONING INC,1,ITEM,1997.04,Dorse_Line_1,1510.1602.100.000.511000.0000.000
357293,104109,3493.84,2026-01-28,USD,Conversion,STANDARD,FB: PO# - 25-18706  Created for SO #242960  Site Contact: Andrea C 509-734-0669,101143,SOLER & PALAU USA,1,ITEM,3493.84,Dorse_Line_1,1510.1602.100.000.511000.0000.000
357785,104107,83,2026-02-09,USD,Conversion,STANDARD,FB: PO# - 26-10194  Created for SO #243967,101143,SOLER & PALAU USA,1,ITEM,83,Dorse_Line_1,1510.1602.100.000.511000.0000.000
357931,104108,164.66,2026-02-12,USD,Conversion,STANDARD,FB: PO# - 26-10194  Created for SO #243967,101143,SOLER & PALAU USA,1,ITEM,164.66,Dorse_Line_1,1510.1602.100.000.511000.0000.000
358072,103683,1159.84,2026-02-17,USD,Conversion,STANDARD,FB: PO# - 25-18185  Created for SO #242303  Project ID: 861314  Site Contact: Justin Dodd 509-58...,101143,SOLER & PALAU USA,1,ITEM,1159.84,Dorse_Line_1,1510.1601.100.000.511000.0000.000
358318,103684,5476.75,2026-02-23,USD,Conversion,STANDARD,FB: PO# - 26-10194  Created for SO #243967,101143,SOLER & PALAU USA,1,ITEM,5476.75,Dorse_Line_1,1510.1601.100.000.511000.0000.000
358323,103686,6883,2026-02-23,USD,Conversion,STANDARD,FB: PO# - 26-10476  Created for SO #244392,101143,SOLER & PALAU USA,1,ITEM,6883,Dorse_Line_1,1510.1601.100.000.511000.0000.000
358327,103685,10570,2026-02-23,USD,Conversion,STANDARD,FB: PO# - 26-10556  Created for SO #244591  Project ID 890709  Site Contact: Jeremy M 509.724.9090,101143,SOLER & PALAU USA,1,ITEM,10570,Dorse_Line_1,1510.1601.100.000.511000.0000.000
36365,106023,1675,2026-02-06,USD,Conversion,STANDARD,FB: PO# - 26-10044  Created for SO #242736,100464,360 SHEET METAL LLC,1,ITEM,1675,Dorse_Line_1,1510.1601.000.000.115101.0000.000
36426,103701,682,2026-02-11,USD,Conversion,STANDARD,FB: PO# - 26-10516  Created for SO #244525  Site Contact: Jeremy M 509.724.9090,100464,360 SHEET METAL LLC,1,ITEM,682,Dorse_Line_1,1510.1602.100.000.511000.0000.000
374031DUPL,106035,-1308.18,2025-06-22,USD,Conversion,CREDIT,Duplicate Pmt Inv 374031,100753,MIDWEST SNIPS,1,ITEM,-1308.18,Dorse_Line_1,1510.1601.000.000.115101.0000.000
44320,103957,726,2026-02-09,USD,Conversion,STANDARD,FB: PO# - 25-18789  Created for SO #243420  Quote # 12222025-41854-JHAAKE-083807  Site Contact: ...,101163,A-J MANUFACTURING CO,1,ITEM,726,Dorse_Line_1,1510.1601.100.000.511000.0000.000
449158 X,103959,777.5,2026-02-18,USD,Conversion,STANDARD,FB: PO# - 25-18479  Created for SO #241538  SO Note: Sean Camarata   COM Service Calls   PO 1660...,100869,AMERICAN ALDES,1,ITEM,777.5,Dorse_Line_1,1510.1601.100.000.511000.0000.000
449528,103962,32955.5,2026-02-26,USD,Conversion,STANDARD,FB: PO# - 26-10920  Created for SO #245265,100869,AMERICAN ALDES,1,ITEM,32955.5,Dorse_Line_1,1510.1601.100.000.511000.0000.000
449552,103958,280.54,2026-02-13,USD,Conversion,STANDARD,FB: PO# - 26-10995  Created for SO #244714,100869,AMERICAN ALDES,1,ITEM,280.54,Dorse_Line_1,1510.1601.100.000.511000.0000.000
449595,103961,764.08,2026-02-23,USD,Conversion,STANDARD,FB: PO# - 26-11177  Created for SO #245646,100869,AMERICAN ALDES,1,ITEM,764.08,Dorse_Line_1,1510.1601.100.000.511000.0000.000
449609,103960,849.4,2026-02-23,USD,Conversion,STANDARD,FB: PO# - 26-11199  Created for SO #245722  SO Note: Contact phone number: 206-200-2353 David GC...,100869,AMERICAN ALDES,1,ITEM,849.4,Dorse_Line_1,1510.1601.100.000.511000.0000.000
449624,103703,1767.39,2026-02-23,USD,Conversion,STANDARD,FB: PO# - 26-11251  Created for SO #245799,100869,AMERICAN ALDES,1,ITEM,1767.39,Dorse_Line_1,1510.1602.100.000.511000.0000.000
478280 X,103606,123.19,2026-02-17,USD,Conversion,STANDARD,FB: PO# - 25-18719A  Created for SO #245648,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,123.19,Dorse_Line_1,1510.1601.100.000.511000.0000.000
479162,104080,12216.28,2026-01-16,USD,Conversion,STANDARD,FB: PO# - 25-18211  Created for SO #242336  SO Note: Pricing is OK,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,12216.28,Dorse_Line_1,1510.1602.100.000.511000.0000.000
479455,103609,807.82,2026-01-20,USD,Conversion,STANDARD,FB: PO# - 26-10112  Created for SO #243850  Site Contact: Jeremy M 509-724-9090,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,807.82,Dorse_Line_1,1510.1601.100.000.511000.0000.000
480124,103610,12844.12,2026-01-22,USD,Conversion,STANDARD,"FB: PO# - 25-16286  Please mark shipment: ""Legacy PO# JM00537""  Per quote # Q-421899",100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,12844.12,Dorse_Line_1,1510.1601.100.000.511000.0000.000
481081,104081,2246.14,2026-01-27,USD,Conversion,STANDARD,FB: PO# - 26-10318  Created for SO #244207  Quote # Q-437698  Site Contact: Vince M,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,2246.14,Dorse_Line_1,1510.1602.100.000.511000.0000.000
481454,103611,5727.38,2026-01-28,USD,Conversion,STANDARD,FB: PO# - 26-10047  Created for SO #243714  Quote # Q-442082  Site Contact: Andrea C 509-734-066...,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,5727.38,Dorse_Line_1,1510.1601.100.000.511000.0000.000
481455,103612,1116.88,2026-01-28,USD,Conversion,STANDARD,FB: PO# - 26-10268  Created for SO #244126,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,1116.88,Dorse_Line_1,1510.1601.100.000.511000.0000.000
481875X,104073,3585.3,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 25-18719  Created for SO #243284  Site Contact: Robert D 509.934.0572,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,3585.3,Dorse_Line_1,1510.1602.100.000.511000.0000.000
481876X,104075,699.87,2026-02-02,USD,Conversion,STANDARD,"FB: PO# - 26-10090  Please mark shipment: ""McKinstry PO# 26007070""  Attn: Carolyn Hall (509) 676...",100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,699.87,Dorse_Line_1,1510.1602.100.000.511000.0000.000
481877X,104074,528.85,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10572  PACKING SLIP MUST REFERENCE CUSTOMER PO# BMM1358,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,528.85,Dorse_Line_1,1510.1602.100.000.511000.0000.000
481878X,103596,1143.29,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 26-10580  Created for SO #244615  Site Contact: Andrea C 509-734-0669 ext 121,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,1143.29,Dorse_Line_1,1510.1601.100.000.511000.0000.000
482676,103597,362.7,2026-02-03,USD,Conversion,STANDARD,FB: PO# - 26-10580  Created for SO #244615  Site Contact: Andrea C 509-734-0669 ext 121,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,362.7,Dorse_Line_1,1510.1601.100.000.511000.0000.000
482911,103598,143.79,2026-02-04,USD,Conversion,STANDARD,FB: PO# - 26-10599  Created for SO #244669,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,143.79,Dorse_Line_1,1510.1601.100.000.511000.0000.000
483215,104076,1115.58,2026-02-05,USD,Conversion,STANDARD,"FB: PO# - 26-10090  Please mark shipment: ""McKinstry PO# 26007070""  Attn: Carolyn Hall (509) 676...",100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,1115.58,Dorse_Line_1,1510.1602.100.000.511000.0000.000
483216,103599,222.39,2026-02-05,USD,Conversion,STANDARD,FB: PO# - 26-10599  Created for SO #244669,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,222.39,Dorse_Line_1,1510.1601.100.000.511000.0000.000
483458,103600,6598.88,2026-02-06,USD,Conversion,STANDARD,"FB: PO# - 25-18200  Per Quote Q-432593  Please mark shipment: ""Bruce PO# 31446""",100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,6598.88,Dorse_Line_1,1510.1601.100.000.511000.0000.000
484088,103601,296,2026-02-09,USD,Conversion,STANDARD,FB: PO# - 25-18520  Created for SO #242889  SO Note: Felicia Smith 657-799-4901  TARG627-HVAC  P...,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,296,Dorse_Line_1,1510.1601.100.000.511000.0000.000
484549,104077,990.4,2026-02-10,USD,Conversion,STANDARD,FB: PO# - 26-10580  Created for SO #244615  Site Contact: Andrea C 509-734-0669 ext 121,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,990.4,Dorse_Line_1,1510.1602.100.000.511000.0000.000
484550,103602,151.52,2026-02-10,USD,Conversion,STANDARD,FB: PO# - 26-10586  Created for SO #244633  Site Contact: Chris M: 509.572.7087,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,151.52,Dorse_Line_1,1510.1601.100.000.511000.0000.000
485015,103603,125.26,2026-02-11,USD,Conversion,STANDARD,FB: PO# - 26-10599  Created for SO #244669,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,125.26,Dorse_Line_1,1510.1601.100.000.511000.0000.000
485016,103604,554.22,2026-02-11,USD,Conversion,STANDARD,FB: PO# - 26-10599  Created for SO #244669,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,554.22,Dorse_Line_1,1510.1601.100.000.511000.0000.000
486081,103605,1208.04,2026-02-14,USD,Conversion,STANDARD,FB: PO# - 26-10599  Created for SO #244669,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,1208.04,Dorse_Line_1,1510.1601.100.000.511000.0000.000
486891,103607,340.84,2026-02-17,USD,Conversion,STANDARD,FB: PO# - 26-10829  Created for SO #245096,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,340.84,Dorse_Line_1,1510.1601.100.000.511000.0000.000
488378,104078,1097.81,2026-02-23,USD,Conversion,STANDARD,FB: PO# - 26-11277  Created for SO #245845,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,1097.81,Dorse_Line_1,1510.1602.100.000.511000.0000.000
489031,104079,553.49,2026-02-25,USD,Conversion,STANDARD,FB: PO# - 26-11055  Created for SO #245495  Site Contact: Mary H 509-940-0296,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,553.49,Dorse_Line_1,1510.1602.100.000.511000.0000.000
489301,103608,99.68,2026-02-26,USD,Conversion,STANDARD,FB: PO# - 26-11294  Created for SO #245863,100628,MARLEY ENGINEERED PRODUCTS,1,ITEM,99.68,Dorse_Line_1,1510.1601.100.000.511000.0000.000
51831,103682,517.7,2026-02-26,USD,Conversion,STANDARD,FB: PO# - 26-11336  Created for SO #245937  SO Note: Jason Walston - 206.501.8520  Seattle House...,100382,RAYMON ENTERPRISES INC,1,ITEM,517.7,Dorse_Line_1,1510.1601.100.000.511000.0000.000
558971,103967,3644,2026-01-30,USD,Conversion,STANDARD,FB: PO# - 26-10543  Created for SO #244571  Site Contact: Andrea C 509-734-0669,100418,CDI CURBS-WA,1,ITEM,3644,Dorse_Line_1,1510.1601.100.000.511000.0000.000
562223,103968,4180,2026-02-25,USD,Conversion,STANDARD,FB: PO# - 26-11207  Created for SO #245736,100418,CDI CURBS-WA,1,ITEM,4180,Dorse_Line_1,1510.1601.100.000.511000.0000.000
58202X,103690,10200,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 25-18760  Created for SO #243370  Ramie Havens  C: 206.852.6021,100922,VAW SYSTEMS LTD,1,ITEM,10200,Dorse_Line_1,1510.1601.100.000.511000.0000.000
58212,103691,2840,2026-02-02,USD,Conversion,STANDARD,FB: PO# - 25-18565  Packing slip must reference customer PO# 404858    Reference quote # 2592844,100922,VAW SYSTEMS LTD,1,ITEM,2840,Dorse_Line_1,1510.1601.100.000.511000.0000.000
58260,104114,1150,2026-02-10,USD,Conversion,STANDARD,FB: PO# - 25-18838  Created for SO #243536  Quote #: 2593159  Site Contact: Eric R 208-660-2876,100922,VAW SYSTEMS LTD,1,ITEM,1150,Dorse_Line_1,1510.1602.100.000.511000.0000.000
58277,104115,1720,2026-02-11,USD,Conversion,STANDARD,FB: PO# - 26-10319  Created for SO #244209  Quote # 2593531,100922,VAW SYSTEMS LTD,1,ITEM,1720,Dorse_Line_1,1510.1602.100.000.511000.0000.000
