Transaction Type,Trx Date,Trx Number/ Cross Ref,Po Number,Customer Name (Only Bill to/ No Ship To),Customer Address,Payment Term,Due Date,Invoice Amount,Salesperson Name,Sales credit percentage
Type,Date,Num,P. O. #,Name,Name Address,Terms,Due Date,Open Balance,,
Invoice,2026-01-27 00:00:00,243476-1,60940774,Acco Engineered Systems (401856):ACC-ACCO Small Projects (401856),"C/o Dorse & Company 5000 1st Ave S Seattle, WA 98134",Net 30,2026-02-26 00:00:00,310,House Account,1
Invoice,2026-01-27 00:00:00,244647,26-6006,DB Solutions:DB Solutions GOF,"2100 196th St SW #122 Lynnwood, WA 98036 USA",Net 30,2026-02-26 00:00:00,243,House Account,1
Invoice,2026-01-27 00:00:00,244368,25-484,Enviromech:Enviromech - Special Projects,"430 SW 153rd St Burien, WA 98166 USA",Net 30,2026-02-26 00:00:00,712.5,House Account,1
Invoice,2026-01-27 00:00:00,244368-1,25-484,Enviromech:Enviromech - Special Projects,"430 SW 153rd St Burien, WA 98166 USA",Net 30,2026-02-26 00:00:00,712.5,House Account,1
Invoice,2026-01-27 00:00:00,244585,689391,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-26 00:00:00,196.63,House Account,1
Invoice,2026-01-27 00:00:00,244562-1,Paid CC,Counter Sale,"5000 1st Ave S Seattle, WA 98134",Immediate,2026-01-27 00:00:00,334.97,House Account,1
Invoice,2026-01-28 00:00:00,243788,305227,Vital Mechanical Service:Vit-Vital Mechanical Special Projects,"1420 Maple Ave SW Renton, WA 98057 USA",Net 30,2026-02-27 00:00:00,251.78,House Account,1
Invoice,2026-01-28 00:00:00,243683,690005,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-27 00:00:00,106.96,House Account,1
Invoice,2026-01-28 00:00:00,244337,690006,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-27 00:00:00,228,House Account,1
Invoice,2026-01-28 00:00:00,244560,690027,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-27 00:00:00,75.65,House Account,1
Invoice,2025-12-01 00:00:00,241693,19866,Ocean Park Mechanical Inc:OCE-Yesler Block South Tower,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2025-12-31 00:00:00,15705,House Account,1
Invoice,2025-12-03 00:00:00,242477,Puyallup 1,Diamond Construction Services LLC:Diamond Construction - Special Project,"35420 Military Rd S Auburn, WA 98001 USA",Net 30,2026-01-02 00:00:00,234.5,House Account,1
Invoice,2025-12-05 00:00:00,242544,2333-2725,Ocean Park Mechanical Inc:OCE-1200 Stewart,"2428 King George Boulevard Surrey, BC V4P 1H5 CANADA",Net 30,2026-01-04 00:00:00,1267.91,House Account,1
Invoice,2025-12-10 00:00:00,242624,2201-2740,Ocean Park Mechanical Inc:OCE-Seattle House Apartments,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-01-09 00:00:00,1330,House Account,1
Invoice,2025-12-12 00:00:00,242315,2511-2775,Ocean Park Mechanical Inc:OCE-Special Projects,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-01-11 00:00:00,960,House Account,1
Invoice,2025-12-16 00:00:00,242872,SeaTac Concourse C,Apollo Mechanical Contractors:APO-SeaTac Concourse C Expansion,"1207 W Columbia Dr Kennewick, WA 99336 USA",Net 30,2026-01-15 00:00:00,5514.9,House Account,1
Invoice,2025-12-17 00:00:00,242947-1,2201-2725,Ocean Park Mechanical Inc:OCE-Seattle House Apartments,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-01-16 00:00:00,16.96,House Account,1
Invoice,2025-12-17 00:00:00,242947,2201-2725,Ocean Park Mechanical Inc:OCE-Seattle House Apartments,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-01-16 00:00:00,1426.16,House Account,1
Invoice,2025-12-17 00:00:00,243005,2201-2725,Ocean Park Mechanical Inc:OCE-Seattle House Apartments,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-01-16 00:00:00,400.73,House Account,1
Invoice,2025-12-17 00:00:00,242939-1,2515-2720,Ocean Park Mechanical Inc:OCE-Special Projects,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-01-16 00:00:00,80,House Account,1
Invoice,2025-12-17 00:00:00,242939,2515-2720,Ocean Park Mechanical Inc:OCE-Special Projects,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-01-16 00:00:00,332.31,House Account,1
Invoice,2025-12-17 00:00:00,242970,2333-2720,Ocean Park Mechanical Inc:OCE-1200 Stewart,"2428 King George Boulevard Surrey, BC V4P 1H5 CANADA",Net 30,2026-01-16 00:00:00,1456.2,House Account,1
Invoice,2025-12-18 00:00:00,243072,2333-2720,Ocean Park Mechanical Inc:OCE-1200 Stewart,"2428 King George Boulevard Surrey, BC V4P 1H5 CANADA",Net 30,2026-01-17 00:00:00,411.04,House Account,1
Invoice,2025-12-18 00:00:00,243117,2201-2725,Ocean Park Mechanical Inc:OCE-Seattle House Apartments,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-01-17 00:00:00,1644.43,House Account,1
Invoice,2025-12-22 00:00:00,243281,2245-2720,Ocean Park Mechanical Inc:OCE-Special Projects,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-01-21 00:00:00,93.2,House Account,1
Invoice,2025-12-22 00:00:00,243281-1,2245-2720,Ocean Park Mechanical Inc:OCE-Special Projects,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-01-21 00:00:00,261.83,House Account,1
Invoice,2025-12-22 00:00:00,243281-2,2245-2720,Ocean Park Mechanical Inc:OCE-Special Projects,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-01-21 00:00:00,1173.92,House Account,1
Invoice,2025-12-22 00:00:00,243235,2918-1165-1217,PSF Mechanical:PSF-Small Projects,"PO Box 84046 Seattle, WA 98124 USA",Net 30,2026-01-21 00:00:00,300.42,House Account,1
Invoice,2025-12-23 00:00:00,243393-1,HEK,Diamond Construction Services LLC:Diamond Construction - Special Project,"35420 Military Rd S Auburn, WA 98001 USA",Net 30,2026-01-22 00:00:00,24.08,House Account,1
Invoice,2025-12-23 00:00:00,243393,HEK,Diamond Construction Services LLC:Diamond Construction - Special Project,"35420 Military Rd S Auburn, WA 98001 USA",Net 30,2026-01-22 00:00:00,36.69,House Account,1
Invoice,2025-12-23 00:00:00,243384,2333-0181,Ocean Park Mechanical Inc:OCE-1200 Stewart,"2428 King George Boulevard Surrey, BC V4P 1H5 CANADA",Net 30,2026-01-22 00:00:00,194.22,,
Invoice,2025-12-23 00:00:00,243361,2918-1165-1222,PSF Mechanical:PSF-Small Projects,"PO Box 84046 Seattle, WA 98124 USA",Net 30,2026-01-22 00:00:00,211.27,House Account,1
Invoice,2025-12-29 00:00:00,243403,20075,Ocean Park Mechanical Inc:OCE-Special Projects,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-01-28 00:00:00,1464,House Account,1
Invoice,2025-12-29 00:00:00,243418-1,260756,Acco Engineered Systems (401856):ACC-ACCO Small Projects (401856),"C/o Dorse & Company 5000 1st Ave S Seattle, WA 98134",Net 30,2026-01-28 00:00:00,79.76,House Account,1
Invoice,2025-12-29 00:00:00,243436,Hotel #2,"Air 1 Heating, Inc:Air 1 - Special Projects","1402 Lake Tapps Pkwy SE  #104-120 Auburn, WA 98092 USA",Net 30,2026-01-28 00:00:00,336,House Account,1
Invoice,2025-12-29 00:00:00,243428,3083,Trimble Mechanical:TBM-Special Projects,"PO Box 2327 Buckley, WA 98321 USA",Net 30,2026-01-28 00:00:00,88.61,House Account,1
Invoice,2023-09-27 00:00:00,207759,Holiday inn express - Lac,Counter Sale,"5000 1st Ave S Seattle, WA 98134",Immediate,2023-09-27 00:00:00,3.26,House Account,1
Invoice,2023-10-05 00:00:00,208298,Sound Transit,Counter Sale,"5000 1st Ave S Seattle, WA 98134",Immediate,2023-10-05 00:00:00,0.01,House Account,1
Invoice,2023-10-11 00:00:00,208286,,Counter Sale,"5000 1st Ave S Seattle, WA 98134",Immediate,2023-10-11 00:00:00,0.01,House Account,1
Invoice,2023-10-11 00:00:00,208217,,Counter Sale,"5000 1st Ave S Seattle, WA 98134",Immediate,2023-10-11 00:00:00,0.01,House Account,1
Invoice,2023-10-24 00:00:00,207166-1,239571,Counter Sale,"5000 1st Ave S Seattle, WA 98134",Immediate,2023-10-24 00:00:00,0.01,House Account,1
Invoice,2024-01-02 00:00:00,210737,Replace,Counter Sale,"5000 1st Ave S Seattle, WA 98134",Immediate,2024-01-02 00:00:00,1.06,House Account,1
Invoice,2025-04-29 00:00:00,231605,F1185/W-00147,Apollo Mechanical Contractors:APO-SeaTac Concourse C Expansion,"1207 W Columbia Dr Kennewick, WA 99336 USA",Net 30,2025-05-29 00:00:00,1694,House Account,1
Invoice,2025-06-19 00:00:00,209892,,Counter Sale,"5000 1st Ave S Seattle, WA 98134",Immediate,2025-06-19 00:00:00,0.03,House Account,1
Invoice,2025-08-04 00:00:00,237091,25206120,McKinstry Company:MCK-Project Borealis,"PO Box 24406 Seattle, WA 98124 USA",Net 30,2025-09-03 00:00:00,550,House Account,1
Invoice,2025-09-23 00:00:00,239531,ms3r,GB Systems:GB-Special Projects,"7202 NE 175Th St Kenmore, WA 98028 USA",Net 30,2025-10-23 00:00:00,64,House Account,1
Invoice,2025-09-30 00:00:00,239568,Robert Danko,Counter Sale,"5000 1st Ave S Seattle, WA 98134",Immediate,2025-09-30 00:00:00,93.8,House Account,1
Invoice,2025-11-10 00:00:00,240855,Pizza,Counter Sale,"5000 1st Ave S Seattle, WA 98134",Immediate,2025-11-10 00:00:00,0.01,House Account,1
Invoice,2026-02-02 00:00:00,243805-1,26007070,McKinstry Company:MCK-Argonne Library HVAC Update,"PO Box 24406 Seattle, WA 98124 USA",Net 30,2026-03-04 00:00:00,909,House Account,1
Invoice,2026-02-03 00:00:00,243866,1674-40-40,Stewart Mechanical Inc:SWT-Touchmark Memory Care - Assisted Li,"1802 SE 16th St #101 Battle Ground, WA 98604 USA",Net 30,2026-03-05 00:00:00,13334,House Account,1
Invoice,2026-02-05 00:00:00,245025,691471,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-07 00:00:00,1252,House Account,1
Invoice,2026-02-06 00:00:00,243866-1,1674-40-40,Stewart Mechanical Inc:SWT-Touchmark Memory Care - Assisted Li,"1802 SE 16th St #101 Battle Ground, WA 98604 USA",Net 30,2026-03-08 00:00:00,1584,House Account,1
Invoice,2026-02-06 00:00:00,243805-2,26007070,McKinstry Company:MCK-Argonne Library HVAC Update,"PO Box 24406 Seattle, WA 98124 USA",Net 30,2026-03-08 00:00:00,1446,House Account,1
Invoice,2026-02-12 00:00:00,245449,TFT002#19,Mackin & Little,"2627 E Trent Avenue Spokane, WA 99202 USA",Net 30,2026-03-14 00:00:00,231.2,House Account,1
Invoice,2026-02-17 00:00:00,245097,1520,JRT Mechanical Inc:JRT-Old Apostolic Lutheran Church - Tri,"Battle Ground, WA 98604 USA",Net 30,2026-03-19 00:00:00,210,House Account,1
Invoice,2026-02-18 00:00:00,244710,690069,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-20 00:00:00,78,House Account,1
Invoice,2026-02-18 00:00:00,245256,1520,JRT Mechanical Inc:JRT-Old Apostolic Lutheran Church - Tri,"Battle Ground, WA 98604 USA",Net 30,2026-03-20 00:00:00,2220,House Account,1
Invoice,2026-02-20 00:00:00,244242,BM1354,Blue Mountain Mechanical Inc:BLU-Special Projects,"9227 Blue Mountain Lane SW, Ste A Tumwater, WA 98512 USA",Net 30,2026-03-22 00:00:00,595,House Account,1
Invoice,2026-02-26 00:00:00,244993,1520,JRT Mechanical Inc:JRT-Old Apostolic Lutheran Church - Tri,"Battle Ground, WA 98604 USA",Net 30,2026-03-28 00:00:00,2085,House Account,1
Invoice,2026-02-26 00:00:00,245528,691913,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-28 00:00:00,268.75,House Account,1
Invoice,2026-02-27 00:00:00,245784,1520,JRT Mechanical Inc:JRT-Old Apostolic Lutheran Church - Tri,"Battle Ground, WA 98604 USA",Net 30,2026-03-29 00:00:00,1361,House Account,1
Invoice,2026-02-27 00:00:00,245528-1,691913,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-03-29 00:00:00,806.25,House Account,1
Invoice,2026-01-06 00:00:00,242091-1,214047,MBI Construction Services:MBI-DWORSHAK Dam & Reservoir Fish Hatch,"2016 Fruitvale Blvd Yakima, WA 98902-1220 USA",Net 30,2026-02-05 00:00:00,881,House Account,1
Invoice,2026-01-21 00:00:00,242179,1674-40-40,Stewart Mechanical Inc:SWT-Touchmark Memory Care - Assisted Li,"1802 SE 16th St #101 Battle Ground, WA 98604 USA",Net 30,2026-02-20 00:00:00,197.5,House Account,1
Invoice,2025-12-22 00:00:00,242090-1,DWORSHAK Dam & Reservoir,MBI Construction Services:MBI-DWORSHAK Dam & Reservoir Fish Hatch,"2016 Fruitvale Blvd Yakima, WA 98902-1220 USA",Net 30,2026-01-21 00:00:00,2562,,
Invoice,2023-09-14 00:00:00,207249,H07-Colville,Counter Sale,"5000 1st Ave S Seattle, WA 98134",Immediate,2023-09-14 00:00:00,0.01,,
Invoice,2026-02-10 00:00:00,245087,C26-5632,Narrows Heating & Air Cond.:NAR-JAX Luxury Salon TI,"5121 S Burlington Way Tacoma, WA 98409 USA",Net 30,2026-03-12 00:00:00,350,House Account,1
Invoice,2026-01-22 00:00:00,244421,C25-5600,Narrows Heating & Air Cond.:NAR-Titus Building Proctor Project,"5121 S Burlington Way Tacoma, WA 98409 USA",Net 30,2026-02-21 00:00:00,180,House Account,1
Invoice,2026-02-28 00:00:00,244920-4,BF928870,"Evergreen Refrigeration, LLC:EVE-Prologis Emerald Gateway Building 3","727 S Kenyon St, Ste B Seattle, WA 98108 USA",Net 30,2026-03-30 00:00:00,745,House Account,1
Invoice,2026-02-28 00:00:00,244920-5,BF928870,"Evergreen Refrigeration, LLC:EVE-Prologis Emerald Gateway Building 3","727 S Kenyon St, Ste B Seattle, WA 98108 USA",Net 30,2026-03-30 00:00:00,340,,
Invoice,2026-02-28 00:00:00,244920-6,BF928870,"Evergreen Refrigeration, LLC:EVE-Prologis Emerald Gateway Building 3","727 S Kenyon St, Ste B Seattle, WA 98108 USA",Net 30,2026-03-30 00:00:00,3300,House Account,1
Invoice,2026-02-28 00:00:00,244920-7,BF928870,"Evergreen Refrigeration, LLC:EVE-Prologis Emerald Gateway Building 3","727 S Kenyon St, Ste B Seattle, WA 98108 USA",Net 30,2026-03-30 00:00:00,5000,House Account,1
Invoice,2026-02-28 00:00:00,245227,BF928547,"Evergreen Refrigeration, LLC:Evergreen - Special Projects","727 S Kenyon St Seattle, WA 98108 USA",Net 30,2026-03-30 00:00:00,1400,House Account,1
Invoice,2026-02-28 00:00:00,245228-3,54347-9897,United Systems Mechanical Inc:USM-Wesley Bradley Park Phase 2,"1400 Airport Way South Suite 202 Seattle, WA 98134",Net 30,2026-03-30 00:00:00,1040,House Account,1
Credit Memo,2026-02-28 00:00:00,246198,BF928870,"Evergreen Refrigeration, LLC:EVE-Prologis Emerald Gateway Building 3","727 S Kenyon St, Ste B Seattle, WA 98108 USA",Net 30,2026-03-30 00:00:00,-21035,House Account,1
Invoice,2026-01-29 00:00:00,244777,690270,"MacDonald-Miller Facility Solutions, Inc.:MAC-RSQ Russell","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-28 00:00:00,303.29,House Account,1
Invoice,2026-01-29 00:00:00,244740,C25-5590,Narrows Heating & Air Cond.:NAR-Titus Will,"5121 S Burlington Way Tacoma, WA 98409 USA",Net 30,2026-02-28 00:00:00,21,House Account,1
Invoice,2026-01-29 00:00:00,244659,1022494-499961,Holaday-Parks Inc:HOL-small projects,"4600 S 134th Place Tukwila, WA 98168-3241 USA",Net 30,2026-02-28 00:00:00,79.25,House Account,1
Invoice,2026-01-29 00:00:00,243708,25259.0058,"JH Kelly, LLC:JHK-SIHB Thunderbird Treatment Facility","PO BOX 2038 Longview, WA 98632 USA",Net 30,2026-02-28 00:00:00,135.36,House Account,1
Invoice,2026-01-29 00:00:00,244385,305596,Vital Mechanical Service:Vit-TerraPower,"1420 Maple Ave SW Renton, WA 98057 USA",Net 30,2026-02-28 00:00:00,132.08,House Account,1
Invoice,2026-01-29 00:00:00,244682,SP928851,"Evergreen Refrigeration, LLC:Evergreen - Special Projects","727 S Kenyon St Seattle, WA 98108 USA",Net 30,2026-02-28 00:00:00,230.16,House Account,1
Invoice,2026-01-29 00:00:00,244689,SP928852,"Evergreen Refrigeration, LLC:Evergreen - Special Projects","727 S Kenyon St Seattle, WA 98108 USA",Net 30,2026-02-28 00:00:00,28.8,House Account,1
Invoice,2026-01-29 00:00:00,244664-1,PO037971,Hermanson Company:HER-Small Projects,"Hermanson Company 1221 2nd Ave N Kent, WA 98032",Net 30,2026-02-28 00:00:00,18.61,House Account,1
Invoice,2026-01-29 00:00:00,244664,PO037971,Hermanson Company:HER-Small Projects,"Hermanson Company 1221 2nd Ave N Kent, WA 98032",Net 30,2026-02-28 00:00:00,247.66,House Account,1
Invoice,2026-01-29 00:00:00,244302,PO037533-1 14-25-27869,Hermanson Company:HER-Small Projects,"Hermanson Company 1221 2nd Ave N Kent, WA 98032",Net 30,2026-02-28 00:00:00,772,House Account,1
Invoice,2026-01-29 00:00:00,243821,25460.0061,"JH Kelly, LLC:JHK-Crossroads Bible Church","PO BOX 2038 Longview, WA 98632 USA",Net 30,2026-02-28 00:00:00,226.56,House Account,1
Invoice,2026-01-29 00:00:00,241525,PO034145,Hermanson Company:HER-616 Battery,"1221 2nd Ave N Kent, WA 98032 USA",Net 30,2026-02-28 00:00:00,4598.86,House Account,1
Invoice,2026-01-29 00:00:00,244588,PO037872,Hermanson Company:HER-Small Projects,"Hermanson Company 1221 2nd Ave N Kent, WA 98032",Net 30,2026-02-28 00:00:00,2234.37,House Account,1
Invoice,2026-01-29 00:00:00,244588-1,PO037872,Hermanson Company:HER-Small Projects,"Hermanson Company 1221 2nd Ave N Kent, WA 98032",Net 30,2026-02-28 00:00:00,11.79,House Account,1
Invoice,2026-01-29 00:00:00,244587-1,1022384-45248,Holaday-Parks Inc:HOL-Seattle Tennis Club,"4600 S 134th Place Tukwila, WA 98168-3241 USA",Net 30,2026-02-28 00:00:00,300,House Account,1
Invoice,2026-01-29 00:00:00,244126,FS 11 13,Capital Heating & Cooling:CAP-Fire Station 11 & 13,"PO Box 3387 Lacey, WA 98509-3387 USA",Net 30,2026-02-28 00:00:00,1330,House Account,1
Invoice,2026-01-29 00:00:00,244329,252349,Nordic Temperature Control:NTC-Ace Anacortes Greenhouse,"380 Pease Road Burlington, WA 98233 USA",Net 30,2026-02-28 00:00:00,1020,House Account,1
Invoice,2026-01-29 00:00:00,242736-1,1057114-09495,University Mechanical Contractors Inc:UMC-Small Projects,"Attn: Accts Payable PO Box 67 Mukilteo, WA 98275-4255",Net 30,2026-02-28 00:00:00,245,House Account,1
Invoice,2026-01-29 00:00:00,244691,DSHS,Farrington Air Quality Services:Far-Farrington Dampers,"PO Box 760 Sumner, WA 98390 USA",Net 30,2026-02-28 00:00:00,380,House Account,1
Invoice,2026-01-29 00:00:00,244530,2395-342,"Crescent Mechanical, Inc:CRE-Fire Station 21","1320 26th Ave NW  #16 Auburn, WA 98001 USA",Net 30,2026-02-28 00:00:00,627.76,House Account,1
Invoice,2026-01-29 00:00:00,242150,3553-2511-635,Delta Technology Corporation:DEL-Evergreen School South Campus,"1223 Valentine Ave SE Pacific, WA 98047 USA",Net 30,2026-02-28 00:00:00,915,House Account,1
Invoice,2026-01-29 00:00:00,244061,1011171-80161,Holaday-Parks Inc,"4600 S 134th Pl Tukwila, WA 98168-3241 USA",Net 30,2026-02-28 00:00:00,35935,House Account,1
Invoice,2026-01-29 00:00:00,241932-1,256033,Acco Engineered Systems (401856):ACC-NE 8th Ground Level 01 Retail Suite,"888 E. Walnut St (401856) Pasadena, CA 91101 USA",Net 30,2026-02-28 00:00:00,9710.38,House Account,1
Invoice,2026-01-29 00:00:00,243151,676829,"MacDonald-Miller Facility Solutions, Inc.:MAC-UW Elevator Modernization Project","PO Box 47983 Seattle, WA 98146 USA",Net 30,2026-02-28 00:00:00,4315,House Account,1
Invoice,2026-01-29 00:00:00,242759-2,14911,Blythe Mechanical Inc:BLY-Robin Hall Expansion,"3000 W Illinois St Bellingham, WA 98225 USA",Net 30,2026-02-28 00:00:00,3575,House Account,1
Invoice,2026-01-30 00:00:00,244723,25259.0063,"JH Kelly, LLC:JHK-SIHB Thunderbird Treatment Facility","PO BOX 2038 Longview, WA 98632 USA",Net 30,2026-03-01 00:00:00,154.56,House Account,1
Invoice,2026-01-30 00:00:00,244855,1022611-53867,Holaday-Parks Inc:HOL-small projects,"4600 S 134th Place Tukwila, WA 98168-3241 USA",Net 30,2026-03-01 00:00:00,286.88,House Account,1
Invoice,2026-01-30 00:00:00,244775,26030030,McKinstry Company:MCK-Artise TI,"PO Box 24406 Seattle, WA 98124 USA",Net 30,2026-03-01 00:00:00,222,House Account,1
Invoice,2026-01-30 00:00:00,241523-2,PO034137,Hermanson Company:HER-616 Battery,"1221 2nd Ave N Kent, WA 98032 USA",Net 30,2026-03-01 00:00:00,3623.42,House Account,1
Invoice,2026-01-30 00:00:00,244767,PO038100,Hermanson Company:HER-616 Battery,"1221 2nd Ave N Kent, WA 98032 USA",Net 30,2026-03-01 00:00:00,139.2,House Account,1
Invoice,2026-01-30 00:00:00,244555,1022319-63374,Holaday-Parks Inc:HOL-small projects,"4600 S 134th Place Tukwila, WA 98168-3241 USA",Net 30,2026-03-01 00:00:00,54,House Account,1
Invoice,2026-01-30 00:00:00,244570,PO037854,Hermanson Company:HER-Small Projects,"Hermanson Company 1221 2nd Ave N Kent, WA 98032",Net 30,2026-03-01 00:00:00,771.23,House Account,1
Invoice,2026-01-30 00:00:00,244872,PO038240,Hermanson Company:HER-North Basin Restroom and Laundry Re,"1221 2nd Ave N Kent, WA 98032 USA",Net 30,2026-03-01 00:00:00,310.24,House Account,1
Invoice,2026-01-30 00:00:00,244766,3195,Trimble Mechanical:TBM-Willamette Building,"PO Box 2327 Buckley, WA 98321 USA",Net 30,2026-03-01 00:00:00,52.56,House Account,1
Invoice,2026-01-30 00:00:00,244765,3194,Trimble Mechanical:TBM-Kirkland Supportive Housing,"PO Box 2327 Buckley, WA 98321 USA",Net 30,2026-03-01 00:00:00,31,House Account,1
Invoice,2026-01-30 00:00:00,244805-1,2509-2720,Ocean Park Mechanical Inc:OCE-Live Nation TI,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-03-01 00:00:00,39.36,House Account,1
Invoice,2026-01-30 00:00:00,244805,2509-2720,Ocean Park Mechanical Inc:OCE-Live Nation TI,"2428 King George Hwy  Suite102 Surrey, BC V4P 1H5 CANADA",Net 30,2026-03-01 00:00:00,888,House Account,1
Invoice,2026-01-30 00:00:00,244784,1022619-53867,Holaday-Parks Inc:HOL-small projects,"4600 S 134th Place Tukwila, WA 98168-3241 USA",Net 30,2026-03-01 00:00:00,360.55,House Account,1
Invoice,2026-01-30 00:00:00,244873,jm928910,"Evergreen Refrigeration, LLC:Evergreen - Special Projects","727 S Kenyon St Seattle, WA 98108 USA",Net 30,2026-03-01 00:00:00,27.96,House Account,1
Invoice,2026-01-30 00:00:00,243223-1,BF928363,"Evergreen Refrigeration, LLC:Evergreen - Special Projects","727 S Kenyon St Seattle, WA 98108 USA",Net 30,2026-03-01 00:00:00,542,House Account,1
Invoice,2026-01-30 00:00:00,244758,jm928901,"Evergreen Refrigeration, LLC:Evergreen - Special Projects","727 S Kenyon St Seattle, WA 98108 USA",Net 30,2026-03-01 00:00:00,100.44,House Account,1
Invoice,2026-02-02 00:00:00,240349,60127,Code Mechanical Inc,"8619 17th Ave E Tacoma, WA 98445 USA",Net 30,2026-03-04 00:00:00,5055,House Account,1
Invoice,2026-02-02 00:00:00,244397,Parkshore,"Pacific One Construction, Inc.:PON-Parkshore Juanita Bay","PO Box 2097 Kirkland, WA 98083 USA",Net 30,2026-03-04 00:00:00,215,House Account,1
Invoice,2026-02-02 00:00:00,244441-1,1022319-63374,Holaday-Parks Inc:HOL-small projects,"4600 S 134th Place Tukwila, WA 98168-3241 USA",Net 30,2026-03-04 00:00:00,100,House Account,1
Invoice,2026-02-02 00:00:00,244327,22727,TRS Mechanical Inc:TRS-Sumner Operations Facility Phase 3,"9523 19th Ave E Tacoma, WA 98445 USA",Net 30,2026-03-04 00:00:00,396.97,House Account,1
Invoice,2026-02-02 00:00:00,244121,PO037293-1 21-25-28193,Hermanson Company:HER-Small Projects,"Hermanson Company 1221 2nd Ave N Kent, WA 98032",Net 30,2026-03-04 00:00:00,481,House Account,1
Invoice,2026-02-02 00:00:00,244545,1057809-09741,University Mechanical Contractors Inc:UMC-Lynden WWTP Expansion Stage 2,"Attn:  Accts Payable 19020 33rd AVE W STE 400 Lynnwood, WA 98036",Net 30,2026-03-04 00:00:00,5355,House Account,1
Invoice,2026-02-02 00:00:00,244916,30014739,Apollo Mechanical Contractors:APO-Seattle Small Projects,"1201 W Columbia Dr Kennewick, WA 99336 USA",Net 30,2026-03-04 00:00:00,450,,
Invoice,2026-02-02 00:00:00,244692,63655,DK Systems:DK -Special Projects,"PO Box 886 Burlington, WA 98233 USA",Net 30,2026-03-04 00:00:00,1250,,
Invoice,2026-02-02 00:00:00,244886,5948-EB966145S,C E D - Port Angeles,"11 Prospect Place Port Angeles, WA 98362 USA",Net 30,2026-03-04 00:00:00,453,House Account,1
Invoice,2026-02-02 00:00:00,244648,24344140,McKinstry Company:MCK-KC Metro Equipment Transit Center,"PO Box 24406 Seattle, WA 98124 USA",Net 30,2026-03-04 00:00:00,700,House Account,1
Invoice,2026-02-02 00:00:00,244329-1,252349,Nordic Temperature Control:NTC-Ace Anacortes Greenhouse,"380 Pease Road Burlington, WA 98233 USA",Net 30,2026-03-04 00:00:00,1785,House Account,1
Invoice,2026-02-02 00:00:00,243773-1,Reber Ranch,Sound Heating And A/C:Sou-Reber Ranch,"5526 184th Street E Suite A Puyallup, WA 98375",Net 30,2026-03-04 00:00:00,6250,House Account,1
Invoice,2026-02-02 00:00:00,244775-2,26030030,McKinstry Company:MCK-Artise TI,"PO Box 24406 Seattle, WA 98124 USA",Net 30,2026-03-04 00:00:00,175,House Account,1
Invoice,2026-02-02 00:00:00,244507,926843,Hermanson Company:HER-Small Projects,"Hermanson Company 1221 2nd Ave N Kent, WA 98032",Net 30,2026-03-04 00:00:00,138,House Account,1
Invoice,2026-02-02 00:00:00,243220,PO204657,PSR Mechanical Inc:PSR-Carillon Point Bldg 2000,"PO Box 27073 Seattle, WA 98165 USA",Net 30,2026-03-04 00:00:00,3750,House Account,1
