0,1,2,3,4,5
P-1053,Acme Corp 53,53 Main St,City13,State3,3040.26
P-1054,Acme Corp 54,54 Main St,City14,State4,267.68
P-1055,Acme Corp 55,55 Main St,City15,State0,2149.35
P-1056,Acme Corp 56,56 Main St,City16,State1,3633.27
P-1057,Acme Corp 57,57 Main St,City17,State2,3743.15
P-1058,Acme Corp 58,58 Main St,City18,State3,3643.36
P-1059,Acme Corp 59,59 Main St,City19,State4,178.2
P-1060,Acme Corp 60,60 Main St,City0,State0,2585.06
P-1061,Acme Corp 61,61 Main St,City1,State1,4990.37
P-1062,Acme Corp 62,62 Main St,City2,State2,1263.13
P-1063,Acme Corp 63,63 Main St,City3,State3,212.41
P-1064,Acme Corp 64,64 Main St,City4,State4,4555.15
P-1065,Acme Corp 65,65 Main St,City5,State0,701.63
P-1066,Acme Corp 66,66 Main St,City6,State1,372.83
P-1067,Acme Corp 67,67 Main St,City7,State2,4733.73
P-1068,Acme Corp 68,68 Main St,City8,State3,2250.31
P-1069,Acme Corp 69,69 Main St,City9,State4,418.94
P-1070,Acme Corp 70,70 Main St,City10,State0,3152.99
P-1071,Acme Corp 71,71 Main St,City11,State1,1395.93
P-1072,Acme Corp 72,72 Main St,City12,State2,603.96
P-1073,Acme Corp 73,73 Main St,City13,State3,4322.22
P-1074,Acme Corp 74,74 Main St,City14,State4,348.62
P-1075,Acme Corp 75,75 Main St,City15,State0,3375.55
P-1076,Acme Corp 76,76 Main St,City16,State1,1859.47
P-1077,Acme Corp 77,77 Main St,City17,State2,4793.0
P-1078,Acme Corp 78,78 Main St,City18,State3,3137.53
P-1079,Acme Corp 79,79 Main St,City19,State4,2636.83
P-1080,Acme Corp 80,80 Main St,City0,State0,3685.0
P-1081,Acme Corp 81,81 Main St,City1,State1,2381.9
P-1082,Acme Corp 82,82 Main St,City2,State2,827.54
P-1083,Acme Corp 83,83 Main St,City3,State3,1589.46
P-1084,Acme Corp 84,84 Main St,City4,State4,4247.44
P-1085,Acme Corp 85,85 Main St,City5,State0,2576.1
P-1086,Acme Corp 86,86 Main St,City6,State1,453.14
P-1087,Acme Corp 87,87 Main St,City7,State2,3945.08
P-1088,Acme Corp 88,88 Main St,City8,State3,2016.89
P-1089,Acme Corp 89,89 Main St,City9,State4,4991.85
P-1090,Acme Corp 90,90 Main St,City10,State0,2740.9
P-1091,Acme Corp 91,91 Main St,City11,State1,1392.94
P-1092,Acme Corp 92,92 Main St,City12,State2,2726.99
P-1093,Acme Corp 93,93 Main St,City13,State3,4563.91
P-1094,Acme Corp 94,94 Main St,City14,State4,2969.5
P-1095,Acme Corp 95,95 Main St,City15,State0,3292.04
P-1096,Acme Corp 96,96 Main St,City16,State1,733.76
P-1097,Acme Corp 97,97 Main St,City17,State2,2042.69
P-1098,Acme Corp 98,98 Main St,City18,State3,2817.22
P-1099,Acme Corp 99,99 Main St,City19,State4,213.85
P-1100,Acme Corp 100,100 Main St,City0,State0,1646.02
