PartyNumber,PartyName,Address,City,State,Amount
P-1059,Acme Corp 59,59 Main St,City19,State4,3094.63
P-1060,Acme Corp 60,60 Main St,City0,State0,4437.42
P-1061,Acme Corp 61,61 Main St,City1,State1,1376.53
P-1062,Acme Corp 62,62 Main St,City2,State2,1766.41
P-1063,Acme Corp 63,63 Main St,City3,State3,4831.88
P-1064,Acme Corp 64,64 Main St,City4,State4,4838.89
P-1065,Acme Corp 65,65 Main St,City5,State0,3028.21
P-1066,Acme Corp 66,66 Main St,City6,State1,856.91
P-1067,Acme Corp 67,67 Main St,City7,State2,1252.27
P-1068,Acme Corp 68,68 Main St,City8,State3,3961.04
P-1069,Acme Corp 69,69 Main St,City9,State4,2327.36
P-1070,Acme Corp 70,70 Main St,City10,State0,4640.04
P-1071,Acme Corp 71,71 Main St,City11,State1,3278.67
P-1072,Acme Corp 72,72 Main St,City12,State2,2759.88
P-1073,Acme Corp 73,73 Main St,City13,State3,2981.84
P-1074,Acme Corp 74,74 Main St,City14,State4,2104.23
P-1075,Acme Corp 75,75 Main St,City15,State0,1228.12
P-1076,Acme Corp 76,76 Main St,City16,State1,667.74
P-1077,Acme Corp 77,77 Main St,City17,State2,2174.06
P-1078,Acme Corp 78,78 Main St,City18,State3,810.17
P-1079,Acme Corp 79,79 Main St,City19,State4,4581.4
P-1080,Acme Corp 80,80 Main St,City0,State0,1859.76
P-1081,Acme Corp 81,81 Main St,City1,State1,4370.43
P-1082,Acme Corp 82,82 Main St,City2,State2,3156.78
P-1083,Acme Corp 83,83 Main St,City3,State3,2632.24
P-1084,Acme Corp 84,84 Main St,City4,State4,2240.88
P-1085,Acme Corp 85,85 Main St,City5,State0,1633.77
P-1086,Acme Corp 86,86 Main St,City6,State1,4190.77
P-1087,Acme Corp 87,87 Main St,City7,State2,3181.54
P-1088,Acme Corp 88,88 Main St,City8,State3,2737.71
P-1089,Acme Corp 89,89 Main St,City9,State4,2434.26
P-1090,Acme Corp 90,90 Main St,City10,State0,3886.94
P-1091,Acme Corp 91,91 Main St,City11,State1,1193.32
P-1092,Acme Corp 92,92 Main St,City12,State2,3827.29
P-1093,Acme Corp 93,93 Main St,City13,State3,4110.07
P-1094,Acme Corp 94,94 Main St,City14,State4,1002.37
P-1095,Acme Corp 95,95 Main St,City15,State0,3596.06
P-1096,Acme Corp 96,96 Main St,City16,State1,3623.75
P-1097,Acme Corp 97,97 Main St,City17,State2,2233.51
P-1098,Acme Corp 98,98 Main St,City18,State3,1443.43
P-1099,Acme Corp 99,99 Main St,City19,State4,4864.91
P-1100,Acme Corp 100,100 Main St,City0,State0,1731.77
