row_number,Opco,PartyNumber,entity_name_original,address1_original,address2_original,address3_original,city_original,state_original,zip_original,country_original,AddressBill-to_original,PhoneNumber1_original,PhoneNumber2_original,FaxNumber_original,ContactPerson1_original,TaxIdentifier_original,ContactPerson2_original,EmailAddress1_original,EmailAddress2_original,PaymentTerm_original,ShipTo_original,Bill-to_original,.,entity_name_ora,SITE1_address1_ora,SITE2_address1_ora,address2_ora,address3_ora,city_ora,state_ora,zip_ora,country_ora,PhoneNumber1_ora,PhoneNumber2_ora,FaxNumber_ora,ContactPerson1_ora,TaxIdentifier_ora,ContactPerson2_ora,EmailAddress1_ora,EmailAddress2_ora,PaymentTerm_ora,ShipTo_ora,Bill-to_ora,confidence_level,confidence_score,record_status,validated_at
12,CJBS,,Associated General Contractors of VA,,,,,,,US,,,,,,,,,,,,Y,,ASSOCIATED GENERAL CONTRACTORS OF VA,,,,,,,,US,,,,,,,,,,,Y,LOW,20.0,INVALID,NaT
13,CJBS,,Atlantic Constructors Inc,1401 Battery Brooke Parkway,,,Richmond,VA,23237,US,1401 Battery Brooke Parkway Richmond VA 23237 United States,,,,,,,accounts.payable@acibuilds.com,,,Y,Y,,ATLANTIC CONSTRUCTORS INC,1401 BATTERY BROOKE PKWY,,,,RICHMOND,VA,23237,US,,,,,,,accounts.payable@acibuilds.com,,,Y,Y,LOW,100.0,REVIEW,NaT
14,CJBS,,Blauch Brothers,911 Chicago Avenue,,,Harrisonburg,VA,22802,US,911 Chicago Avenue Harrisonburg Virginia 22802 United States,,,,,,,lveurink@blauchbrothers.com,,,Y,Y,,BLAUCH BROTHERS,911 CHICAGO AVE,,,,HARRISONBURG,VA,22802,US,,,,,,,lveurink@blauchbrothers.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:51:20
15,CJBS,,Broadus Church,5351 POLE GREEN RD,,,MECHANICSVILLE,VA,23116,US,"5351 Pole Green Rd, Mechanicsville, VA 23116, USA Mechanicsville  23116",,,,Broadus Church,,,,,,Y,Y,,BROADUS CHURCH,5351 POLE GREEN RD,,,,MECHANICSVILLE,VA,23116,US,,,,Broadus Church,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:51:22
16,CJBS,,Bruces Auto Body,2551 Homeview Dr,,,Richmond,VA,23294,US,2551 Homeview Dr Richmond VA 23294 United States,,,,Bruces Auto Body,,,,,,Y,Y,,BRUCES AUTO BODY,2551 HOMEVIEW DR,,,,RICHMOND,VA,23294,US,,,,Bruces Auto Body,,,,,,Y,Y,LOW,100.0,REVIEW,NaT
17,CJBS,,CACI INTERNATIONAL INC,1100 N GLEBE RD,,,ARLINGTON,VA,22201,US,,(405) 367-2519,,,,,,g.conway-wolf@caci.com,,,,Y,,CACI INTERNATIONAL INC,1100 N GLEBE RD,,,,ARLINGTON,VA,22201,US,+14053672519,+14053672519,,,,,g.conway-wolf@caci.com,,,,Y,HIGH,80.0,READY,2026-01-11 13:51:27
18,CJBS,,Carpenter Co,2600 Richmond Hwy,,,Richmond,VA,23234,US,2600 Richmond Hwy Richmond Virginia 23234 United States,,,,Carpenter  Co.,,,RTC.Accounts@carpenter.com,,,Y,Y,,CARPENTER CO,2600 RICHMOND HWY,,,,RICHMOND,VA,23234,US,,,,Carpenter Co,,,rtc.accounts@carpenter.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:51:29
19,CJBS,,Cascades,4001 PACKARD ROAD,,,NIAGARA FALLS,NY,14303,US,4001 PACKARD ROAD NIAGARA FALLS NY 14303,,,,,,,documents_suppliers@cascades.com,,,Y,Y,,CASCADES,4001 PACKARD RD,,,,NIAGARA FALLS,NY,14303,US,,,,,,,documents_suppliers@cascades.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:51:31
20,CJBS,,CBRE,,,,,,,US,,,,,,,,,,,,Y,,CBRE,,,,,,,,US,,,,,,,,,,,Y,LOW,20.0,INVALID,NaT
21,CJBS,,Central Virginia Health Services Inc,PO BOX 220,,,New Canton,VA,23123,US,PO Box 220 New Canton Virginia 23123 United States,,,,"Central Virginia Health Services, Inc.",,,cfo@cvhsinc.org,,,Y,Y,,CENTRAL VIRGINIA HEALTH SERVICES INC,PO BOX 220,,,,NEW CANTON,VA,23123,US,,,,,,,cfo@cvhsinc.org,,,Y,Y,MEDIUM,70.0,REVIEW,NaT
22,CJBS,,CGL,1903 Phoenix Blvd,Suite 250,,Atlanta,GA,30349,US,1903 Phoenix BlvdSuite 250 Atlanta GA 30349 USA,,,,,,,apinvoices@cglcompanies.com,,,Y,Y,,CGL,1903 PHOENIX BLVD,,SUITE 250,,ATLANTA,GA,30349,US,,,,,,,apinvoices@cglcompanies.com,,,Y,Y,LOW,100.0,REVIEW,NaT
23,CJBS,,Chamberlain Mechanical Services Inc (C),8444 Erle Rd,,,Mechanicsville,VA,23116,US,8444 Erle Rd Mechanicsville VA 23116 US,,,,,,,,,,Y,Y,,CHAMBERLAIN MECHANICAL SERVICES INC (C),8444 ERLE RD,,,,MECHANICSVILLE,VA,23116,US,,,,,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:51:37
24,CJBS,,Chesterfield County,9800 Government Center PArkway,,,Third Floor Chesterfield,VA,23832,US,"9800 Government Center PArkway
Third Floor Chesterfield VA 23832 USA",(804) 796-7172 ,,,,,,CreswellS@chesterfield.gov,,,Y,Y,,CHESTERFIELD COUNTY,9800 GOVERNMENT CENTER PKWY,,,,THIRD FLOOR CHESTERFIELD,VA,23832,US,+18047967172,+18047967172,,,,,creswells@chesterfield.gov,,,Y,Y,LOW,100.0,REVIEW,NaT
25,CJBS,,City of Richmond,900 E Broad St,,,Richmond,VA,23219,US,900 E Broad St Richmond  23219,,,,City of Richmond,,,accountspayable@richmondgov.com,,,Y,Y,,CITY OF RICHMOND,900 E BROAD ST,,,,RICHMOND,VA,23219,US,,,,,,,accountspayable@richmondgov.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:51:41
26,CJBS,,C&J Building Solutions (C),4957 Cox Rd,,,Glen Allen,VA,23060,US,4957 Cox Rd Glen Allen VA 23060 USA,(804) 283-1496,,,,,,jmartinez@cjbuildingsolutions.com,,,Y,Y,,C&J BUILDING SOLUTIONS (C),4957 COX RD,,,,GLEN ALLEN,VA,23060,US,+18042831496,+18042831496,,,,,jmartinez@cjbuildingsolutions.com,,,Y,Y,LOW,100.0,REVIEW,NaT
27,CJBS,,CMA CGM (America) LLC,,,,,,,US,,,,,,,,,,,,Y,,CMA CGM (AMERICA) LLC,,,,,,,,US,,,,,,,,,,,Y,LOW,20.0,INVALID,NaT
28,CJBS,,Colliers International Asset Services LLC,2221 Edward Holland Dr,Suite 600,,Richmonda,VA,23230,US,"2221 Edward Holland Dr
Suite 600 Richmonda Virginia 23230 United States",,,,,,,,,,Y,Y,,COLLIERS INTERNATIONAL ASSET SERVICES LLC,2221 EDWARD HOLLAND DR,,SUITE 600,,RICHMONDA,VA,23230,US,,,,,,,,,,Y,Y,LOW,100.0,REVIEW,NaT
29,CJBS,,Colonial Webb Contractors,2820 Ackley Ave,,,Richmond,VA,23228,US,2820 Ackley Ave Richmond Virginia 23228 United States,,,,,,,,,,Y,Y,,COLONIAL WEBB CONTRACTORS,2820 ACKLEY AVE,,,,RICHMOND,VA,23228,US,,,,,,,,,,Y,Y,LOW,100.0,REVIEW,NaT
30,CJBS,,Comfort Systems Inc,11081 Air Park Rd,,,Ashland,VA,23005,US,11081 Air Park Rd Ashland  23005,,,,"Comfort Systems, Inc.",,,,,,Y,Y,,COMFORT SYSTEMS INC,11081 AIR PARK RD,,,,ASHLAND,VA,23005,US,,,,Comfort Systems,,,,,,Y,Y,LOW,100.0,REVIEW,NaT
31,CJBS,,Comfort Systems of VA,671 Trampton Rd,Suite D,,Sandston,VA,23150,US,671 Trampton RdSuite D Sandston VA 23150 USA,(804) 326-9457 ,,,,,,,,,Y,Y,,COMFORT SYSTEMS OF VA,671 TRAMPTON RD,,SUITE D,,SANDSTON,VA,23150,US,+18043269457,+18043269457,,,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:52:00
32,CJBS,,Commonwealth Commercial Construction Inc,PO BOX 22,,,Studley,VA,23162,US,PO Box 22 Studley Virginia 23162 USA,,,,,,,,,,Y,Y,,COMMONWEALTH COMMERCIAL CONSTRUCTION INC,PO BOX 22,,,,STUDLEY,VA,23162,US,,,,,,,,,,Y,Y,MEDIUM,70.0,REVIEW,NaT
33,CJBS,,Daikin Applied,PO BOX 1551,,,Minneapolis,MN,55440,US,PO Box 1551 Minneapolis MN 55440 USA,(763) 553-5330 ,,,,,,service.richmond@daikinapplied.com,,,Y,Y,,DAIKIN APPLIED,PO BOX 1551,,,,MINNEAPOLIS,MN,55440,US,+17635535330,+17635535330,,,,,service.richmond@daikinapplied.com,,,Y,Y,MEDIUM,70.0,REVIEW,NaT
34,CJBS,,Davis Brothers CC,2410 Chamberlayne Ave,,,Richmond,VA,23222,US,2410 Chamberlayne Ave. Richmond Virginia 23222 United States,,,,Davis Brothers CC,,,,,,Y,Y,,DAVIS BROTHERS CC,2410 CHAMBERLAYNE AVE,,,,RICHMOND,VA,23222,US,,,,Davis Brothers,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:52:01
35,CJBS,,Davken Mechanical Inc,1640 Dnna Dr,,,#105 Virginia Beach,VA,23451,US,1640 Dnna Dr #105 Virginia Beach VA 23451 USA,,,,,,,pma@davkenmech.com,,,Y,Y,,DAVKEN MECHANICAL INC,1640 DNNA DR,,,,#105 VIRGINIA BEACH,VA,23451,US,,,,,,,pma@davkenmech.com,,,Y,Y,LOW,100.0,REVIEW,NaT
36,CJBS,,Decisions Headquarters,4588 Virginia Beach Blvd,,,Virginia Beach,VA,23462,US,4588 Virginia Beach Blvd. Virginia Beach VA 23462 United States,,,,Decisions  Headquarters,,,,,,Y,Y,,DECISIONS HEADQUARTERS,4588 VIRGINIA BEACH BLVD,,,,VIRGINIA BEACH,VA,23462,US,,,,,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:52:07
37,CJBS,,DG Mabe & Associates Inc,2140 E Hundred Rd,,,Chester,VA,23836,US,2140 E Hundred Rd Chester Virginia 23836 United States,,,,,,,,,,Y,Y,,DG MABE & ASSOCIATES INC,2140 E HUNDRED RD,,,,CHESTER,VA,23836,US,,,,,,,,,,Y,Y,LOW,100.0,REVIEW,NaT
38,CJBS,,Dominion Energy (C),,,,,,,US,,,,,,,,,,,,Y,,DOMINION ENERGY (C),,,,,,,,US,,,,,,,,,,,Y,LOW,20.0,INVALID,NaT
39,CJBS,,Dominion Waterproofing & Construction Services Inc,3903 Carolina Avenue,,,Richmond,VA,23222,US,3903 Carolina Avenue Richmond VA 23222,(804) 355-1440 ,,,,,,salame@dominionwaterproofing.com,,,Y,Y,,DOMINION WATERPROOFING & CONSTRUCTION SERVICES INC,3903 CAROLINA AVE,,,,RICHMOND,VA,23222,US,+18043551440,+18043551440,,,,,salame@dominionwaterproofing.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:52:13
40,CJBS,,Elizabeth River Mechanical LLC,700 Broad Street,,,Portsmouth,VA,23707,US,700 Broad Street Portsmouth VA 23707,,,,,,,brenda@ermechanical.com,,,Y,Y,,ELIZABETH RIVER MECHANICAL LLC,700 BROAD ST,,,,PORTSMOUTH,VA,23707,US,,,,,,,brenda@ermechanical.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:52:15
41,CJBS,,EMC Mechanical Services,1802 Ellen Rd,,,Richmond,VA,23230,US,1802 Ellen Rd Richmond VA 23230,,,,,,,ap@emcmechanical.com,,,Y,Y,,EMC MECHANICAL SERVICES,1802 ELLEN RD,,,,RICHMOND,VA,23230,US,,,,,,,ap@emcmechanical.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:52:17
42,CJBS,,eTEC,8820 Park Central Dr,,,Richmond,VA,23227,US,8820 Park Central Dr Richmond VA 23227 USA,(804) 340-1801 ,,,,,,hadkins@etecmechanical.com,,,Y,Y,,ETEC,8820 PARK CENTRAL DR,,,,RICHMOND,VA,23227,US,+18043401801,+18043401801,,,,,hadkins@etecmechanical.com,,,Y,Y,LOW,100.0,REVIEW,NaT
43,CJBS,,FEDERAL RESERVE BANK OF DALLAS,2200 N PEARL ST,,,DALLAS,TX,75201,US,,,,,,,,dal.apsscinvsub@dal.frb.org,,,,Y,,FEDERAL RESERVE BANK OF DALLAS,2200 N PEARL ST,,,,DALLAS,TX,75201,US,,,,,,,dal.apsscinvsub@dal.frb.org,,,,Y,HIGH,80.0,READY,2026-01-11 13:52:21
44,CJBS,,Feed More,8020 Villa Park Drive,,,Richmond,VA,23228,US,8020 Villa Park Drive Richmond Virginia 23228 United States,,,,,,,,,,Y,Y,,FEED MORE,8020 VILLA PARK DR,,,,RICHMOND,VA,23228,US,,,,,,,,,,Y,Y,LOW,100.0,REVIEW,NaT
45,CJBS,,First Baptist Church Ashland,800 Thompson St,,,Ashland,VA,23005,US,800 Thompson St Ashland Virginia 23005 United States,,,,,,,,,,Y,Y,,FIRST BAPTIST CHURCH ASHLAND,800 THOMPSON ST,,,,ASHLAND,VA,23005,US,,,,,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:52:25
46,CJBS,,Folkes Electrical Construction Co Inc,206 Haley Road,,,,,,US,206 Haley Road,(804) 798-8080 ,,,,,,,,,Y,Y,,FOLKES ELECTRICAL CONSTRUCTION CO INC,206 HALEY RD,,,,MECHANICSVILLE,VA,23111,US,+18047988080,+18047988080,,,,,,,,Y,Y,HIGH,55.0,READY,2026-01-11 13:52:27
47,CJBS,,Fortitude,8540 Sanford Dr,,,Henrico,VA,23228,US,8540 Sanford Dr Henrico VA 23228 US,(804) 955-9776,,,,,,,,,Y,Y,,FORTITUDE,8540 SANFORD DR,,,,HENRICO,VA,23228,US,+18049559776,+18049559776,,,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:52:29
48,CJBS,,Freedom Recovery Center Richmond,300 Gateway Centre Pkwy,,,Richmond,VA,23235,US,300 Gateway Centre Pkwy Richmond VA 23235 USA,,,,,,,,,,Y,Y,,FREEDOM RECOVERY CENTER RICHMOND,300 GATEWAY CENTRE PKWY,,,,RICHMOND,VA,23235,US,,,,,,,,,,Y,Y,LOW,100.0,REVIEW,NaT
49,CJBS,,Gale Welding and Machine Co,415 E Bank St,,,Petersburg,VA,23803,US,415 E Bank St Petersburg Virginia 23803 United States,,,,,,,,,,Y,Y,,GALE WELDING AND MACHINE CO,415 E BANK ST,,,,PETERSBURG,VA,23803,US,,,,,,,,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:52:34
50,CJBS,,GJ Hopkins | Lacy,PO Box 40004,,,Roanoke,VA,24022,US,P.O. Box 40004 Roanoke Virginia 24022 United States,,,,GJHopkins,,,carrie.moran@branchgroup.com,,,Y,Y,,GJ HOPKINS | LACY,PO BOX 40004,,,,ROANOKE,VA,24022,US,,,,Gj Hopkins,,,carrie.moran@branchgroup.com,,,Y,Y,MEDIUM,70.0,REVIEW,NaT
51,CJBS,,Goochland County Public Schools,PO BOX 169,2938-I River Rd W,,Goochland,VA,23063,US,"2938-I River Rd W
P.O. Box 169 Goochland Virginia 23063 United States",,,,,,,tharris@glnd.k12.va.us,,,Y,Y,,GOOCHLAND COUNTY PUBLIC SCHOOLS,PO BOX 169,2938-I RIVER RD W,,,GOOCHLAND,VA,23063,US,,,,,,,tharris@glnd.k12.va.us,,,Y,Y,MEDIUM,70.0,REVIEW,NaT
52,CJBS,,Green Air,11250 Hopson Road Suite,,,B Ashland,VA,23005,US,"11250 Hopson Road, Suite B Ashland VA 23005 USA",(804) 368-8543 ,,,,,,ap@getgreenair.com,,,Y,Y,,GREEN AIR,11250 HOPSON RD STE,,,,B ASHLAND,VA,23005,US,+18043688543,+18043688543,,,,,ap@getgreenair.com,,,Y,Y,LOW,100.0,REVIEW,NaT
53,CJBS,,Greene County Public Schools,PO BOX 1140,40 Celt Road,,Stanardsville,VA,22973,US,PO Box 114040 Celt Road Stanardsville VA 22973 USA,,,,,,,blawhorne@greenecountyschools.com,,,Y,Y,,GREENE COUNTY PUBLIC SCHOOLS,PO BOX 1140,40 CELT RD,,,STANARDSVILLE,VA,22973,US,,,,,,,blawhorne@greenecountyschools.com,,,Y,Y,MEDIUM,70.0,REVIEW,NaT
54,CJBS,,Greenline Technical Group,6611 Dick Woods Rd,,,Charlottesville,VA,22903,US,6611 Dick Woods Rd Charlottesville VA 22903,(434) 806-5530,,,,,,justincallihan@greenlinetechnicalgroup.com,,,Y,Y,,GREENLINE TECHNICAL GROUP,6611 DICK WOODS RD,,,,CHARLOTTESVILLE,VA,22903,US,+14348065530,+14348065530,,,,,justincallihan@greenlinetechnicalgroup.com,,,Y,Y,LOW,100.0,REVIEW,NaT
55,CJBS,,Greenline Technical Group Inc,6611 Dick Woods Rd,,,Charlottesville,VA,22903,US,6611 Dick Woods Rd Charlottesville VA 22903 US,+14342344895 ,,,,,,Accounts@greenlinetechnicalgroup.com,,,Y,Y,,GREENLINE TECHNICAL GROUP INC,6611 DICK WOODS RD,,,,CHARLOTTESVILLE,VA,22903,US,,,,,,,accounts@greenlinetechnicalgroup.com,,,Y,Y,LOW,100.0,REVIEW,NaT
56,CJBS,,Hanover County Municipal Airport,PO BOX 470,,,Hanover,VA,23069,US,PO Box 470 Hanover Virginia 23069 United States,(804) 365-6208 ,,,,,,CJSobrito@hanovercounty.gov,,,Y,Y,,HANOVER COUNTY MUNICIPAL AIRPORT,PO BOX 470,,,,HANOVER,VA,23069,US,+18043656208,+18043656208,,,,,cjsobrito@hanovercounty.gov,,,Y,Y,MEDIUM,70.0,REVIEW,NaT
57,CJBS,,Harris Heating & Plumbing Co,11020 Richardson Rd,,,Ashland,VA,23005,US,11020 Richardson Rd Ashland VA 23005 USA,,,,,,,accountspayable@harrisheating.com,,,Y,Y,,HARRIS HEATING & PLUMBING CO,11020 RICHARDSON RD,,,,ASHLAND,VA,23005,US,,,,,,,accountspayable@harrisheating.com,,,Y,Y,LOW,100.0,REVIEW,NaT
58,CJBS,,Healthcare Realty Services LLC,5875 Bremo Road,Suite 510,,Richmond,VA,23226,US,5875 Bremo RoadSuite 510 Richmond VA 23226 USA,,,,,,,,,,Y,Y,,HEALTHCARE REALTY SERVICES LLC,5875 BREMO RD,,SUITE 510,,RICHMOND,VA,23226,US,,,,,,,,,,Y,Y,LOW,100.0,REVIEW,NaT
59,CJBS,,Henrico Co Public Utilities,4301 E Parham Rd,,,Richmond,VA,23228,US,4301 E Parham Rd Richmond Virginia 23228 United States,,,,,,,,,,Y,Y,,HENRICO CO PUBLIC UTILITIES,4301 E PARHAM RD,,,,RICHMOND,VA,23228,US,,,,,,,,,,Y,Y,LOW,100.0,REVIEW,NaT
60,CJBS,,Henrico County Public Schools,1910 E Parham Rd,,,Richmond,VA,23228,US,1910 E Parham Rd. Richmond Virginia 23228 United States,,,,,,,,,,Y,Y,,HENRICO COUNTY PUBLIC SCHOOLS,1910 E PARHAM RD,,,,RICHMOND,VA,23228,US,,,,,,,,,,Y,Y,LOW,100.0,REVIEW,NaT
61,CJBS,,Henrico Sports & Events,1 All Star Blvd,,,Glen Allen,VA,23059,US,1 All Star Blvd Glen Allen Virginia 23059 United States,,,,,,,hcfinance@henricocenter.com,,,Y,Y,,HENRICO SPORTS & EVENTS,1 ALL STAR BLVD,,,,GLEN ALLEN,VA,23059,US,,,,,,,hcfinance@henricocenter.com,,,Y,Y,LOW,100.0,REVIEW,NaT
62,CJBS,,Hobbs & Associates,4850 Brookside Ct,Suite 100,,Norfolk,VA,23502,US,"4850 Brookside Ct, Suite 100 Norfolk VA 23502 US",+17574688800 ,,,,,,ap@hobbsassociates.com,,,Y,Y,,HOBBS & ASSOCIATES,4850 BROOKSIDE CT,,SUITE 100,,NORFOLK,VA,23502,US,,,,,,,ap@hobbsassociates.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:53:33
63,CJBS,,Hobbs & Associates (C),5400 Byrdhill Rd,,,Richmond,VA,23228,US,5400 Byrdhill Rd Richmond  23228,,,,Hobbs & Associates,,,ap@hobbsassociates.com,,,Y,Y,,HOBBS & ASSOCIATES (C),5400 BYRDHILL RD,,,,RICHMOND,VA,23228,US,,,,Hobbs Associates,,,ap@hobbsassociates.com,,,Y,Y,LOW,100.0,REVIEW,NaT
64,CJBS,,Hourigan,411 East Franklin Street,Suite 400,,Richmond,VA,23219,US,"411 East Franklin Street
Suite 400 Richmond VA 23219 United States",,,,Hourigan,,,Accounting@hourigan.group,,,Y,Y,,HOURIGAN,411 E FRANKLIN ST,,SUITE 400,,RICHMOND,VA,23219,US,,,,Hourigan,,,accounting@hourigan.group,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:53:36
65,CJBS,,Howell's Heating & Air,PO Box 2048,,,Ashland,VA,23005,US,P.O. Box 2048 Ashland VA 23005 USA,(804) 798-1371 ,,,,,,AP@howellsac.com,,,Y,Y,,HOWELL'S HEATING & AIR,PO BOX 2048,,,,ASHLAND,VA,23005,US,+18047981371,+18047981371,,,,,ap@howellsac.com,,,Y,Y,MEDIUM,70.0,REVIEW,NaT
66,CJBS,,Hutchen's Mechanical,9221 Providence Trl,,,Providence Forge,VA,23140,US,9221 Providence Trl Providence Forge Virginia 23140 United States,(804) 516-7752 ,,,,,,ryan@hutchensmechanical.com,,,Y,Y,,HUTCHEN'S MECHANICAL,9221 PROVIDENCE TRL,,,,PROVIDENCE FORGE,VA,23140,US,+18045167752,+18045167752,,,,,ryan@hutchensmechanical.com,,,Y,Y,LOW,100.0,REVIEW,NaT
67,CJBS,,ICE Heating & Cooling,451 Central Rd,,,Fredericksburg,VA,22401,US,451 Central Rd Fredericksburg VA 22401 US,(540) 654-5518 ,,,,,,hhirschberg@ICEHeatingandCooling.com,,,Y,Y,,ICE HEATING & COOLING,451 CENTRAL RD,,,,FREDERICKSBURG,VA,22401,US,+15406545518,+15406545518,,,,,hhirschberg@iceheatingandcooling.com,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:53:41
68,CJBS,,Infinity Group,,,,,,,US,,,,,,,,,,,,Y,,INFINITY GROUP,,,,,,,,US,,,,,,,,,,,Y,LOW,20.0,INVALID,NaT
69,CJBS,,Integrity Construction Management LLC,3810 Indian River Rd,Unit 13884,,Chesapeake,VA,23325,US,3810 Indian River RdUnit 13884 Chesapeake VA 23325,(215) 936-8622 ,,,,,,gmeizinger@icm-va.net,,,Y,Y,,INTEGRITY CONSTRUCTION MANAGEMENT LLC,3810 INDIAN RIVER RD,,UNIT 13884,,CHESAPEAKE,VA,23325,US,+12159368622,+12159368622,,,,,gmeizinger@icm-va.net,,,Y,Y,HIGH,80.0,READY,2026-01-11 13:53:44
