Opco,Bill-to,zip_ora,city_ora,Ship to's,state_ora,row_number,PartyNumber,country_ora,address2_ora,address3_ora,validated_at,zip_original,FaxNumber_ora,city_original,record_status,AddressBill-to,AddressShip-to,state_original,PaymentTerm_ora,entity_name_ora,PhoneNumber1_ora,PhoneNumber2_ora,confidence_level,confidence_score,EmailAddress1_ora,EmailAddress2_ora,TaxIdentifier_ora,address1_original,address2_original,ContactPerson1_ora,ContactPerson2_ora,FaxNumber_original,SITE1_address1_ora,SITE2_address1_ora,entity_name_original,PhoneNumber1_original,PhoneNumber2_original,EmailAddress1_original,EmailAddress2_original,TaxIdentifier_original,ContactPerson1_original,ContactPerson2_original
Airetech,Y,74159,TULSA,,OK,20,1019,US,,,NaT,OK,+19183558821,,READY,,,TULSA,NET 30,ABC AIR CONDITIONING,+19186278745,,MEDIUM,70,,,,PO BOX 4243,,Terry Bell,,918-355-8821,PO BOX 4243,,ABC AIR CONDITIONING,74159,,,,,TERRY BELL,
Airetech,Y,71913,HOT SPRINGS,,AR,21,1020,US,,,NaT,AR,,,READY,,,HOT SPRINGS,NET 30,ABC SERVICES,+15019840987,,HIGH,100,,,,110 NEWBY LANE,,Brian,,,110 NEWBY LN,,ABC SERVICES,71913,,,,,BRIAN,
Airetech,Y,72718,CAVE SPRINGS,Y,AR,22,1021,US,,,2026-01-09 04:27:48,AR,+14799579417,,READY,,,"CAVE SPRINGS,",NET 30,ABSOLUTE HEAT & AIR,+14795311964,,HIGH,80,info@ahahvac.com,,71465649-001,INFO@AHAHVAC.COM *PAYS WITH CC,1083 EAST LOWELL,Rhonda Francis,,479-957-9417,1083 E LOWELL,,ABSOLUTE HEAT AND AIR,72718,,info@ahahvac.com,,71465649-001,RHONDA FRANCIS,
Airetech,Y,72047,ENOLA,N,AR,23,1022,US,,,2026-01-09 04:27:49,AR,+15018492154,,READY,,,ENOLA,NET 30,ABSOLUTE SHEET METAL,+15018494007,,HIGH,80,,,63212074-SLS,277 MT VERNON ROAD,,David Loyd,,501-849-2154,277 MT VERNON RD,,ABSOLUTE SHEET METAL,72047,,,,63212074-SLS,DAVID LOYD,
Airetech,Y,72764,SPRINGDALE,,AR,24,1023,US,,,2026-01-09 04:27:51,AR,,,READY,,,SPRINGDALE,NET 30,AC PROPERTIES,,,HIGH,80,,,,3241 W HUNTSVILLE AVE,,Jessica Maldonado,,,3241 W HUNTSVILLE AVE,,AC PROPERTIES,72764,,,,,JESSICA MALDONADO,
Airetech,Y,72770,TONTITOWN,Y,AR,25,1024,US,,,NaT,AR,,,READY,,,TONTITOWN,NET 30,AC SERVICES & MECHANICAL LLC,+15016801338,,MEDIUM,70,,,77465243-SLS,PO BOX 1389,,,,,PO BOX 1389,,AC SERVICES AND MECHANICAL LLC,72770,,,,77465243-SLS,,
Airetech,Y,72114,NORTH LITTLE ROCK,Y,AR,26,1025,US,,,2026-01-09 04:27:53,AR,+15017962742,,READY,,,NORTH LITTLE ROCK,NET 30,AC SPECIALTIES,+15013721788,,HIGH,80,acsi@a-cspecialties.com,,,ACSI@A-CSPECIALTIES.COM,2201 LINCOLN AVENUE,Brenda,,501-796-2742,2201 LINCOLN AVE,,AC SPECIALTIES,72114,,acsi@a-cspecialties.com,,,BRENDA,
Airetech,Y,00275,DRUMMONDVILLE,,QC,27,1026,CA,,,NaT,QC,,,READY,,,DRUMMONDVILLE,NET 30,ACCORD FINANCIAL ANNEXAIR,+18194753302,,HIGH,100,payable@annexair.com,,,EMAIL PAYABLE@ANNEXAIR.COM,CARL ST LAURENT1125 BERGERON,Nancy,Carl St Laurent,,1125 RUE BERGERON,,ACCORD FINANCIAL ANNEXAIR,J2C 7V5,,PAYABLE@ANNEXAIR.COM,,,NANCY,CARL ST LAURENT
Airetech,Y,74041,KIEFER,,OK,28,1027,US,,,NaT,OK,+19183213697,,READY,,,KIEFER,NET 30,ACCU AIR,+19182300022,,MEDIUM,70,,,,PO BOX 468,,,,918-321-3697,PO BOX 468,,ACCU AIR,74041,,,,,,
Airetech,Y,38118,MEMPHIS,,TN,29,1028,US,,,2026-01-09 04:27:56,TN,,,READY,,,MEMPHIS,NET 30,ACCURATE AIR CO INC,+19013723050,,HIGH,80,,,,4180 PILOT DRIVE,,Brenda Kilpatrick,,,4180 PILOT DR,,ACCURATE AIR CO INC,38118,,,,,BRENDA KILPATRICK,
Airetech,Y,,,N,,30,1029,US,,,NaT,,,,REVIEW,,,,NET 30,ACCUREX COMMISSION,,,LOW,20,,,EXEMPT COMM,,,,,,,,ACCUREX COMMISSION,,,,,EXEMPT COMM,,
Airetech,Y,53288,MILWAUKEE,,WI,31,1030,US,,,NaT,WI,,,READY,,,MILWAUKEE,NET 30,ACCUREX LLC,,,HIGH,100,,,,BIN 145,,,,,BIN 145,,ACCUREX LLC,53288,,,,,,
Airetech,Y,74066,SAPULPA,,OK,32,1031,US,,,2026-01-09 04:28:02,OK,,,READY,,,SAPULPA,NET 30,ACE AIR SAPULPA OK,,,HIGH,80,,,,705 N 9TH STREET,,,,,705 N 9TH ST,,ACE AIR SAPULPA OK,74066,,,,,,
Airetech,Y,72774,WEST FORK,Y,AR,33,1032,US,,,NaT,AR,,,READY,,,WEST FORK,NET 30,ACE REFRIGERATION,+14798393912,,MEDIUM,70,,,00267867-SLS,PO BOX 741,,Anthony Allen,,,PO BOX 741,,ACE REFRIGERATION,72774,,,,00267867-SLS,ANTHONY ALLEN,
Airetech,Y,72118,NORTH LITTLE ROCK,N,AR,34,1033,US,,,2026-01-09 04:28:03,AR,+15015682226,,READY,,,NORTH LITTLE ROCK,NET 30,ACE TECHNOLOGIES,+15015682233,,HIGH,80,,,210189-60-001,7631 NORTHSHORE PLACE,,Bill,,501-568-2226,7631 NSHORE PL,,ACE TECHNOLOGIES,72118,,,,210189-60-001,BILL,
Airetech,Y,72118,NORTH LITTLE ROCK,N,AR,35,1034,US,,,2026-01-09 04:28:05,AR,,,READY,,,NORTH LITTLE ROCK,NET 30,ACE TECHNOLOGIES INS RENT,,,HIGH,80,,,210189-60-001,7631 NORTHSHORE PLACE,,,,,7631 NSHORE PL,,ACE TECHNOLOGIES INS RENT,72118,,,,210189-60-001,,
Airetech,Y,74014,BROKEN ARROW,,OK,36,1035,US,,,2026-01-09 04:28:06,OK,,,READY,,,BROKEN ARROW,NET 30,ACG MECHANICAL,+19188131528,,HIGH,80,,,,24301 E 96TH STREET SOUTH,,Lee Dameron,,,24301 E 96TH ST S,,ACG MECHANICAL,74014,,,,,LEE DAMERON,
Airetech,Y,74402,MUSKOGEE,,OK,37,1036,US,,,NaT,OK,+19186840541,,READY,,,MUSKOGEE,NET 30,ACME ENGINEERING & MFG CORP,+19186827791,,MEDIUM,70,,,,PO BOX 978,,,,918-684-0541,PO BOX 978,,ACME ENGINEERING AND MFG CORP,74402,,,,,,
Airetech,Y,32401,PANAMA CITY,,FL,38,1037,US,,,2026-01-09 04:28:08,FL,,,READY,,,PANAMA CITY,NET 30,ACRO CONSTRUCTION,+19042192146,,HIGH,80,,,,1700 W 11TH STREET,,Alan Cooper,,,1700 W 11TH ST,,ACRO CONSTRUCTION,32401,,,,,ALAN COOPER,
Airetech,Y,72019,BENTON,Y,AR,39,1038,US,,,2026-01-09 04:28:09,AR,+15016158051,,READY,,,BENTON,NET 30,ACTION ELECTRICAL SERVICES LLC,+15012316204,,HIGH,80,,,,1707 YORKSHIRE DRIVE,,Jackson Moseley,,501-615-8051,1707 YORKSHIRE DR,,ACTION ELECTRICAL SERVICES LLC,72019,,,,,JACKSON MOSELEY,
Airetech,Y,74467,WAGONER,,OK,40,1039,US,,,2026-01-09 04:28:11,OK,+19184850307,,READY,,,WAGONER,NET 30,ACTION HEATING & COOLING LLC,+19184850306,,HIGH,80,,,,415 WEST CHEROKEE,,Nichole,,918-485-0307,415 W CHEROKEE,,ACTION HEATING AND COOLING LLC,74467,,,,,NICHOLE,
Airetech,Y,72923,BARLING,Y,AR,41,1040,US,,,NaT,AR,+14794525931,,READY,,,BARLING,NET 30,ACTION INC,+14794525723,,MEDIUM,70,apclerk@action-mechanical.com,,,APCLERK@ACTION-MECHANICAL.COM,PO BOX 23069,Carla,,479-452-5931,PO BOX 23069,,ACTION INC,72923,,apclerk@action-mechanical.com,,,CARLA,
Airetech,Y,74464,TAHLEQUAH,N,OK,42,1041,US,,,2026-01-09 04:28:13,OK,+19184564903,,READY,,,TAHLEQUAH,NET 30,ADAMS AIR HEAT & REFRIGERATION,+19184561429,,HIGH,80,,,467467,13775 HIGHWAY 62,,,,918-456-4903,13775 HWY 62,,ADAMS AIR HEAT AND REFRIGERATION,74464,,,,467467,,
Airetech,Y,72855,PARIS,,AR,43,1042,US,,,NaT,AR,+14799633045,,READY,,,PARIS,NET 30,ADAMS PLUMBING & ELECTRIC CO INC,+14799633255,,MEDIUM,70,,,,206 WEST MAIN,PO BOX 388,Stephen Adams,,479-963-3045,PO BOX 388,206 W MAIN,ADAMS PLUMBING AND ELECTRIC CO INC,72855,,,,,STEPHEN ADAMS,
Airetech,Y,30107,BALL GROUND,,GA,44,1043,US,,,NaT,GA,,,READY,,,BALL GROUND,NET 30,ADVANCED RETAIL SOLUTIONS,+18557323676,,HIGH,100,,,,1431 AIRPORT DRIVE,,,,,1431 AIRPORT DR,,ADVANCED RETAIL SOLUTIONS,30107,,,,,,
Airetech,Y,72762,SPRINGDALE,Y,AR,45,1044,US,,,2026-01-09 04:28:17,,,,READY,,,,NET 30,ADVANTAGE AIR & SERVICE,+14793618647,,HIGH,80,,,122763-05-001,228 S 40TH STREET,SPRINGDALE AR,Nicole Gray,,,228 S 40TH ST,,ADVANTAGE AIR & SERVICE,72762,,,,122763-05-001,NICOLE GRAY,
Airetech,Y,72114,NORTH LITTLE ROCK,N,AR,46,1045,US,,,2026-01-09 04:28:18,AR,+15017583583,,READY,,,NORTH LITTLE ROCK,NET 30,ADVANTAGE SERVICE,+15017582404,,HIGH,80,,,032687-60-001,1797 CYPRESS ST,,,,501-758-3583,1797 CYPRESS ST,,ADVANTAGE SERVICE,72114,,,,032687-60-001,,
Airetech,Y,74146,TULSA,N,OK,47,1046,US,,,2026-01-09 04:28:20,OK,+19182545412,,READY,,,TULSA,NET 30,AETHER DBS LLC,+19182506601,,HIGH,80,ap@aetherdbs.com,,OK,EMAIL: AP@AETHERDBS.COM,10810 E 45TH STREET #202,,,918-254-5412,10810 E 45TH ST #202,,AETHER DBS LLC,74146,,ap@aetherdbs.com,,OK,,
Airetech,Y,74012,BROKEN ARROW,N,OK,48,1047,US,,,2026-01-09 04:28:22,OK,+19182589276,,READY,,,BROKEN ARROW,NET 30,AIR ASSURANCE,+19182582665,,HIGH,80,,,894927,1301 SW EXPRESSWAY DR,,Accounts Payable,,918-258-9276,1301 SW EXPRESSWAY DR,,AIR ASSURANCE,74012,,,,894927,ACCOUNTS PAYABLE,
Airetech,Y,74012,BROKEN ARROW,Y,OK,49,1048,US,,,2026-01-09 04:28:24,OK,,,READY,,,BROKEN ARROW,NET 30,AIR CLEANING TECHNOLOGIES,+19182518000,,HIGH,80,,,987611136,1300 WEST DETROIT,,Accounts Payables,,,1300 W DETROIT,,AIR CLEANING TECHNOLOGIES,74012,,,,987611136,ACCOUNTS PAYABLES,
Airetech,Y,74107,TULSA,Y,OK,90,1089,US,,,2026-01-09 04:29:24,OK,,,READY,,,TULSA,NET 30,ALLIED REFRIGERATION,+19185827121,,HIGH,80,,,66367,1525 W 36TH PL,,,,,1525 W 36TH PL,,ALLIED REFRIGERATION,74107,,,,66367,,
Airetech,Y,74037,JENKS,Y,OK,50,1049,US,,,2026-01-09 04:28:26,OK,+19182999491,,READY,,,JENKS,NET 30,AIR COMFORT INC,+19182999401,,HIGH,80,,,730739626,,517 WEST H STREET,Debby/Cathy/Wanda,,918-299-9491,517 W H ST,,AIR COMFORT INC,74037,,,,730739626,DEBBY/CATHY/WANDA,
Airetech,Y,38133,BARTLETT,Y,TN,51,1050,US,STE 110,,2026-01-09 04:28:27,TN,+19013827940,,READY,,,BARTLETT,NET 30,AIR COMPONENTS INC,+19013821884,,HIGH,80,,,11391276001,3150 STAGE POST DR,SUITE 110,,,901-382-7940,3150 STAGE POST DR,,AIR COMPONENTS INC,38133,,,,11391276001,,
Airetech,Y,38133,BARTLETT,Y,TN,52,1051,US,STE 110,,2026-01-09 04:28:29,TN,,,READY,,,BARTLETT,NET 30,AIR COMPONENTS INC COMMISSION,+19013821884,,HIGH,80,,,EXEMPT COMM,3150 STAGE POST DR,SUITE 110,,,,3150 STAGE POST DR,,AIR COMPONENTS INC COMMISSION,38133,,,,EXEMPT COMM,,
Airetech,Y,71909,HOT SPRINGS VILLAGE,,AR,53,1052,US,,,NaT,AR,,,READY,,,HOT SPRINGS VILLAGE,NET 30,AIR CONTROL LLC,+15019841183,,HIGH,100,,,,4 ALMENARA LANE,,Cheri Wheeler,,,4 ALMENARA LN,,AIR CONTROL LLC,71909,,,,,CHERI WHEELER,
Airetech,Y,74107,TULSA,,OK,54,1053,US,,,2026-01-09 04:28:32,OK,,,READY,,,TULSA,NET 30,AIR DUCT INC,+19184451196,,HIGH,80,,,,4434 SOUTH JACKSON,,Shirley,,,4434 S JACKSON,,AIR DUCT INC,74107,,,,,SHIRLEY,
Airetech,Y,74145,TULSA,Y,OK,55,1054,US,STE 7102,,2026-01-09 04:28:34,OK,,,READY,,,"TULSA,",NET 30,AIR MASTERS INC OK,+19182997287,,HIGH,80,contact@airmastersinc.net,,,CONTACT@AIRMASTERSINC.NET,7101 E 38TH ST SUITE 7102,,,,7101 E 38TH ST,,AIR MASTERS INC OK,74145,,contact@airmastersinc.net,,,,
Airetech,Y,72917,FORT SMITH,N,AR,56,1055,US,,,NaT,,+14796465457,,READY,,,AIRPRO.GUYMON@GMAIL.COM,NET 30,AIR PRO HEATING & AIR COND INC,+14796469699,,MEDIUM,40,airpro.guymon@gmail.com,,,PO BOX 11527,PO BOX 11527,Leisa Walker,,479-646-5457,PO BOX 11527,,AIR PRO HEATING AND AIR COND INC,72917,,AIRPRO.GUYMON@GMAIL.COM,,,LEISA WALKER,
Airetech,Y,73401,ARDMORE,N,OK,57,1056,US,,,NaT,OK,,,READY,,,ARDMORE,NET 30,AIR SOLUTIONS,+15802229283,,HIGH,100,,,,704 AKRON DR,,Eric Burkhart,,,704 AKRON DR,,AIR SOLUTIONS,73401,,,,,ERIC BURKHART,
Airetech,Y,74008,BIXBY,,OK,58,1057,US,,,2026-01-09 04:28:37,OK,,,READY,,,BIXBY,NET 30,AIR TECH SERVICES,+19188557741,,HIGH,80,,,,14869 S 68TH E AVENUE,,Larry,,,14869 S 68TH E AVE,,AIR TECH SERVICES,74008,,,,,LARRY,
Airetech,Y,72764,SPRINGDALE,N,AR,59,1058,US,,,2026-01-09 04:28:39,AR,,,READY,,,SPRINGDALE,NET 30,AIR TEMP MECNANICAL,+14793618153,,HIGH,80,,,12198187-001,1215-B ESI DRIVE,,,,,1215-B ESI DR,,AIR TEMP MECNANICAL,72764,,,,12198187-001,,
Airetech,Y,72765,SPRINGDALE,N,AR,60,1059,US,,,NaT,AR,+14799274265,,READY,,,SPRINGDALE,NET 30,AIR WORKS INC,+14797517411,,MEDIUM,70,,,039822-72-002,PO BOX 1760,,Dale Boatright,,479-927-4265,PO BOX 1760,,AIR WORKS INC,72765,,,,039822-72-002,DALE BOATRIGHT,
Airetech,Y,74146,TULSA,Y,OK,61,1060,US,,,2026-01-09 04:28:40,OK,+19182506693,,READY,,,TULSA,NET 30,AIRCO SERVICE,+19182525666,,HIGH,80,,,,,11331 E 58TH STREET,Accounts Payables,,918-250-6693,11331 E 58TH ST,,AIRCO SERVICE                    OK,74146,,,,,ACCOUNTS PAYABLES,
Airetech,Y,72227,LITTLE ROCK,,AR,62,1061,US,STE 109,,2026-01-09 04:28:42,AR,+15013764493,,READY,,,LITTLE ROCK,NET 30,AIRCON EXPERTS INC,+15013767154,,HIGH,80,,,,2724 FOXCROFT ROAD,SUITE #109,Jim Monk,,501-376-4493,2724 FOXCROFT RD,,AIRCON EXPERTS INC,72227,,,,,JIM MONK,
Airetech,Y,75503,TEXARKANA,,TX,63,1062,US,STE B,,2026-01-09 04:28:44,TX,+19037921015,,READY,,,TEXARKANA,NET 30,AIRE ONE SERVICES I INC,+19037920977,,HIGH,80,,,,4507 WILLOW BEND STREET,SUITE B,Patty Whitehead,,903-792-1015,4507 WILLOW BEND ST,,AIRE ONE SERVICES I INC,75503,,,,,PATTY WHITEHEAD,
Airetech,Y,72118,NORTH LITTLE ROCK,Y,AR,64,1063,US,,,2026-01-09 04:28:45,AR,,,READY,,,NORTH LITTLE ROCK,NET 30,AIRETECH PROPERTIES,,,HIGH,80,,,,***NOT FOR INTERNAL BILLING***,7636 NORTHSHORE PLACE,Jessica Maldonado,,,7636 NSHORE PL,,AIRETECH PROPERTIES,72118,,,,,JESSICA MALDONADO,
Airetech,Y,71901,HOT SPRINGS,N,AR,65,1064,US,,,2026-01-09 04:28:47,AR,+15016253170,,READY,,,HOT SPRINGS,NET 30,AIRFX INC,+15016253900,,HIGH,80,,,69814076-SLS,340 PARK AVE,,Cynia Morgan,,501-625-3170,340 PARK AVE,,AIRFX INC,71901,,,,69814076-SLS,CYNIA MORGAN,
Airetech,Y,72712,BENTONVILLE,,AR,66,1065,US,,,2026-01-09 04:28:49,AR,,,READY,,,BENTONVILLE,NET 30,AIRMEN HVAC,+14799250961,,HIGH,80,,,,14051 MARIANO ROAD,,Scott Wood,,,14051 MARIANO RD,,AIRMEN HVAC,72712,,,,,SCOTT WOOD,
Airetech,Y,74074,STILLWATER,Y,OK,67,1066,US,,,2026-01-09 04:28:50,OK,,,READY,,,STILLWATER,NET 30,AIRO HEATING & COOLING,+14053773910,,HIGH,80,ap@airohvac.com,,,AP@AIROHVAC.COM,3518 S BOOMER ROAD,Jeremy Day,,,3518 S BOOMER RD,,AIRO HEATING AND COOLING,74074,,ap@airohvac.com,,,JEREMY DAY,
Airetech,Y,70835,BATON ROUGE,,LA,68,1067,US,,,NaT,LA,+12252756555,,READY,,,BATON ROUGE,NET 30,AIRSIDE EQUIPMENT INC,+12252756930,,MEDIUM,70,,,,PO BOX 40014,,Anita Graves,,225-275-6555,PO BOX 40014,,AIRSIDE EQUIPMENT INC,70835,,,,,ANITA GRAVES,
Airetech,Y,72712,BENTONVILLE,N,AR,69,1068,US,,,NaT,AR,+14794195894,,READY,,,"BENTONVILLE,",NET 30,AIRTECH HEATING & AIR COND,+14795828788,,HIGH,100,ap@airtechnwa.com,,74164915-SLS,AP@AIRTECHNWA.COM,"12912 GRANT PLACE, STE 100",Jake Knoedl,,479-419-5894,12912 GRANT PL STE 100,,AIRTECH HEATING AND AIR COND,72712,,ap@airtechnwa.com,,74164915-SLS,JAKE KNOEDL,
Airetech,Y,72701,FAYETTEVILLE,N,AR,70,1069,US,,,2026-01-09 04:28:55,AR,+14799359503,,READY,,,FAYETTEVILLE,NET 30,AIRTECH ORSBURNE INC,+14795828788,,HIGH,80,,,266713-72-001,2210 S SCHOOL AVE,,Nicholas Fischer,,479-935-9503,2210 S SCHOOL AVE,,AIRTECH ORSBURNE INC DBA,72701,,,,266713-72-001,NICHOLAS FISCHER,
Airetech,Y,,,N,,71,1070,US,,,NaT,,,,REVIEW,,,,NET 30,AIRXCHANGE COMMISSION,,,LOW,20,,,EXEMPT COMM,,,,,,,,AIRXCHANGE COMMISSION,,,,,EXEMPT COMM,,
Airetech,Y,72145,SEARCY,,AR,72,1071,US,,,NaT,AR,+15012687913,,READY,,,SEARCY,NET 30,AK INDUSTRIAL CONTRACTORS INC,+15012687827,,MEDIUM,70,,,,PO BOX 1444,,Myra Spence,,501-268-7913,PO BOX 1444,,AK INDUSTRIAL CONTRACTORS INC,72145,,,,,MYRA SPENCE,
Airetech,Y,72223,LITTLE ROCK,,AR,73,1072,US,,,NaT,AR,,,READY,,,LITTLE ROCK,NET 30,ALAN BENNETT BENNETT'S AT FERNCLIFF,+15019441946,,HIGH,100,,,,1720 FERNCLIFF ROAD,,Alan Bennett,,,1720 FERNCLIFF RD,,ALAN BENNETT BENNETT'S AT FERNCLIFF,72223,,,,,ALAN BENNETT,
Airetech,Y,71753,MAGNOLIA,N,AR,74,1073,US,,,NaT,AR,,,READY,,,MAGNOLIA,NET 30,ALBEMARLE,+18702356133,,HIGH,100,tracy.rabb@albemarle.com,,150976-80-001,TRACY.RABB@ALBEMARLE.COM,2270 HWY 79 SOUTH,Tracy Rabb,,,2270 HWY 79 S,,ALBEMARLE,71753,,tracy.rabb@albemarle.com,,150976-80-001,TRACY RABB,
Airetech,Y,,ROYCE CITY,,TX,75,1074,US,,,NaT,TX,+19726369980,,READY,,,ROYCE CITY,NET 30,ALCATEX INC,+19722260047,,HIGH,75,,,,669 FM 1138,,Shelley Wagner,,972-636-9980,669 FM 1138,,ALCATEX INC,,,,,,SHELLEY WAGNER,
